game_id,season,game_type,week,gameday,home_team,away_team,home_score,away_score,roof,surface,div_game,spread_line,total_line,temp,wind,result
2019_04_CIN_PIT,2019,REG,4,2019-09-30,PIT,CIN,27,3,outdoors,grass,1,3.5,45.5,76.0,1.0,24
2019_04_CLE_BAL,2019,REG,4,2019-09-29,BAL,CLE,25,40,outdoors,grass,1,7.5,47.0,83.0,8.0,-15
2019_04_DAL_NO,2019,REG,4,2019-09-29,NO,DAL,12,10,dome,astroturf,0,-2.5,47.0,,,2
2019_04_KC_DET,2019,REG,4,2019-09-29,DET,KC,30,34,dome,fieldturf,0,-7.5,54.5,,,-4
2019_04_LAC_MIA,2019,REG,4,2019-09-29,MIA,LAC,10,30,outdoors,grass,0,-15.0,43.5,88.0,15.0,-20
2019_04_MIN_CHI,2019,REG,4,2019-09-29,CHI,MIN,16,6,outdoors,grass,1,-1.0,38.0,67.0,8.0,10
2019_04_OAK_IND,2019,REG,4,2019-09-29,IND,OAK,24,31,closed,fieldturf,0,5.5,46.0,,,-7
2019_04_SEA_ARI,2019,REG,4,2019-09-29,ARI,SEA,10,27,closed,grass,1,-5.5,49.0,,,-17
2019_04_TB_LA,2019,REG,4,2019-09-29,LA,TB,40,55,outdoors,grass,0,9.0,48.5,74.0,2.0,-15
2019_04_TEN_ATL,2019,REG,4,2019-09-29,ATL,TEN,10,24,closed,fieldturf,0,3.5,46.0,,,-14
2019_05_ARI_CIN,2019,REG,5,2019-10-06,CIN,ARI,23,26,outdoors,grass,0,3.0,45.0,76.0,6.0,-3
2019_05_ATL_HOU,2019,REG,5,2019-10-06,HOU,ATL,53,32,closed,grass,0,4.0,49.0,,,21
2019_05_BAL_PIT,2019,REG,5,2019-10-06,PIT,BAL,23,26,outdoors,grass,1,-3.5,44.0,70.0,7.0,-3
2019_05_BUF_TEN,2019,REG,5,2019-10-06,TEN,BUF,7,14,outdoors,grass,0,3.5,39.5,77.0,13.0,-7
