season,player_id,player,pos,team,grp,group,is_rookie,norm_name,adp_half_ppr,adp_overall_rank,adp_pos_rank,pred,sleeper,y,model
2025,00-0033217,Mo Alie-Cox,TE,IND,vet,veteran,0,mo aliecox,559.4,724.0,141.0,30.3,3.0,24.2,lightgbm
2025,00-0034270,Tyler Conklin,TE,LAC,vet,veteran,0,tyler conklin,293.9,318.0,55.0,70.3,49.5,13.8,lightgbm
2025,00-0038589,Josh Whyle,TE,GB,vet,veteran,0,josh whyle,651.3,1186.0,226.0,34.6,4.6,12.1,lightgbm
2025,00-0039359,Cade Stover,TE,HOU,vet,veteran,0,cade stover,675.0,1406.0,275.0,33.5,47.6,13.9,lightgbm
2025,00-0036887,Luke Farrell,TE,SF,vet,veteran,0,luke farrell,697.0,1764.0,341.0,16.4,8.5,24.0,lightgbm
2025,00-0038783,Nate Adkins,TE,DEN,vet,veteran,0,nate adkins,660.8,1256.0,242.0,22.1,,13.8,lightgbm
2025,00-0034365,Ian Thomas,TE,LV,vet,veteran,0,ian thomas,519.5,617.0,123.0,13.4,4.4,17.9,lightgbm
2025,00-0038547,Luke Schoonmaker,TE,DAL,vet,veteran,0,luke schoonmaker,687.4,1598.0,309.0,36.7,27.5,20.200000000000003,lightgbm
2025,00-0039530,Brevyn Spann-Ford,TE,DAL,vet,veteran,0,brevyn spannford,611.5,930.0,182.0,9.5,23.5,19.5,lightgbm
2025,00-0037086,Grant Calcaterra,TE,PHI,vet,veteran,0,grant calcaterra,693.0,1694.0,322.0,35.1,19.0,18.1,lightgbm
2025,00-0036590,Quintin Morris,TE,JAX,vet,veteran,0,quintin morris,603.0,891.0,173.0,10.6,2.9,14.5,lightgbm
2025,00-0037475,Stone Smartt,TE,NYJ,vet,veteran,0,stone smartt,693.3,1699.0,324.0,19.2,4.6,8.7,lightgbm
2025,00-0033246,Johnny Mundt,TE,JAX,vet,veteran,0,johnny mundt,644.5,1129.0,214.0,30.7,22.6,15.6,lightgbm
2025,00-0036741,Jack Stoll,TE,NO,vet,veteran,0,jack stoll,641.9,1110.0,208.0,7.1,4.5,13.6,lightgbm
