gsis_id,name,position,team,entry_class,draft_round,draft_pick,hit_prob_draft,hit_prob_college,hit_prob_full,proj_ppg,talent_score,draft_pick,age,forty,vertical,broad_jump,wt,bmi,speed_score,cfb_final_dom,cfb_scrim_ypg,pct_draft_pick,pct_age,pct_forty,pct_vertical,pct_broad_jump,pct_wt,pct_bmi,pct_speed_score,pct_cfb_final_dom,pct_cfb_scrim_ypg
00-0040225,Thomas Fidone,TE,NYG,2025,7,219,1.1,8.7,4.7,0.4452256294219836,,219,22.0,,,,,,,0.0385674931129476,36.4,86.0,49.0,,,,,,,34.0,47.0
00-0040203,Will Howard,QB,PIT,2025,6,185,1.7,13.7,4.2,,,185,23.0,,31.5,112.0,236.0,28.723684210526315,,0.1965926223387017,32.9375,74.0,76.0,,49.0,36.0,96.0,85.0,,68.0,48.0
00-0040240,Caleb Lohner,TE,DEN,2025,7,241,1.2,6.0,3.8,,,241,24.0,,,,,,,0.1178375685102142,13.5,92.0,97.0,,,,,,,81.0,6.0
00-0040653,Ricky White,WR,SEA,2025,7,238,1.3,19.2,3.7,,,238,23.0,4.61,36.0,123.0,184.0,24.273221992869207,81.47870486647932,0.1847349978098992,75.46153846153847,93.0,94.0,95.0,51.0,45.0,16.0,5.0,2.0,83.0,53.0
00-0040014,Kyle McCord,QB,PHI,2025,6,181,2.1,11.9,3.6,,,181,22.0,,,,218.0,27.245155555555556,,0.1352582159624413,15.0,72.0,40.0,,,,48.0,37.0,,43.0,22.0
00-0040247,Junior Bergen,WR,SFO,2025,7,252,2.2,11.2,3.4,,,252,,,,,,,,0.047752808988764,45.333333333333336,97.0,,,,,,,,8.0,14.0
00-0040222,Cam Miller,QB,LVR,2025,6,215,1.4,10.7,3.3,,,215,24.0,,,,,,,0.2461919879062736,52.75,85.0,94.0,,,,,,,84.0,72.0
00-0040211,Graham Mertz,QB,HOU,2025,6,197,1.4,6.6,3.2,,,197,24.0,,,,212.0,26.49528888888889,,0.0779709072978303,30.0,79.0,94.0,,,,17.0,15.0,,25.0,45.0
00-0040242,Jacory Croskey-Merritt,RB,WAS,2025,7,245,6.1,15.1,3.2,1.15681472428993,,245,24.0,,,,,,,,,96.0,99.0,,,,,,,,
00-0040184,KeAndre Lambert-Smith,WR,LAC,2025,5,158,11.2,11.3,3.1,1.1610932048643334,,158,23.0,4.37,34.5,124.0,190.0,25.064740101332333,104.19763186926541,,,61.0,94.0,15.0,31.0,58.0,29.0,12.0,67.0,,
00-0040220,Tommy Mellott,QB,LVR,2025,6,213,1.3,16.1,3.1,,,213,,,,,,,,0.215670645437698,69.6,83.0,,,,,,,,74.0,87.0
00-0040234,Quinn Ewers,QB,MIA,2025,7,231,1.8,8.4,2.7,4.125716725816463,,231,22.0,,,,214.0,27.472972972972972,,0.0573990900322483,34.92857142857143,91.0,40.0,,,,27.0,43.0,,14.0,55.0
00-0040237,Tez Johnson,WR,TAM,2025,7,235,1.3,21.4,2.7,2.3876921520420904,,235,23.0,4.51,37.0,131.0,154.0,22.094285714285714,74.44654528547949,0.0680872315631763,68.16666666666667,92.0,94.0,71.0,66.0,89.0,0.0,0.0,1.0,21.0,44.0
00-0040589,Kurtis Rourke,QB,SFO,2025,7,227,1.6,7.9,2.1,,,227,24.0,,,,220.0,26.776315789473685,,0.0753735155152598,13.75,90.0,94.0,,,,56.0,24.0,,24.0,19.0
00-0040239,Kaden Prather,WR,BUF,2025,7,240,1.5,11.2,1.7,,,240,,,,,,,,,,94.0,,,,,,,,,
