player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status,pred_qb_pass_yards,pred_qb_rush_yards,pred_qb_receptions,pred_rush_yards,pred_rec_yards,pred_rb_receptions,pred_wr_rec_yards,pred_wr_receptions,pred_te_rec_yards,pred_te_receptions,off_epa_rank,implied_team_total,injury_status_score
sleeper:13347,Demond Claiborne,RB,MIN,TB,2026,3,0.6083622023527281,,13347,synthetic_sleeper,2026_03_MIN_TB,2026-09-27 16:05:00-04:00,2.0,2.0,2.27,none,,,,2.423193937715503,0.35256536698562824,0.06712916028563035,,,,,23.0,22.0,1.0
sleeper:13337,Emmett Johnson,RB,KC,MIA,2026,3,0.606169203093516,,13337,synthetic_sleeper,2026_03_KC_MIA,2026-09-27 13:00:00-04:00,2.0,2.0,4.03,none,,,,7.699658502317276,0.6760834361068566,0.10584049357384336,,,,,32.0,28.75,1.0
00-0040142,Kaleb Johnson,RB,GB,ATL,2026,3,0.5609816540154626,00-0040142,12504,historical_crosswalk,2026_03_ATL_GB,2026-09-24 20:15:00-04:00,3.0,3.0,3.96,none,,,,8.949907161111078,0.3947888150027276,0.0,,,,,24.0,25.5,1.0
sleeper:13286,Jadarian Price,RB,SEA,WAS,2026,3,0.5472341934350999,,13286,synthetic_sleeper,2026_03_SEA_WAS,2026-09-27 13:00:00-04:00,1.0,1.0,10.63,Questionable,,,,6.959556398212384,0.4901560965836818,0.07160249244197371,,,,,16.0,23.75,0.5
00-0040177,Jordan James,RB,SF,ARI,2026,3,0.5159588814043259,00-0040177,12467,historical_crosswalk,2026_03_ARI_SF,2026-09-27 16:05:00-04:00,4.0,4.0,0.65,none,,,,6.209540782128054,0.3132637541547261,0.057659695598971106,,,,,13.0,28.0,1.0
sleeper:13345,Jonah Coleman,RB,DEN,LA,2026,3,0.49767650709829936,,13345,synthetic_sleeper,2026_03_LA_DEN,2026-09-27 20:20:00-04:00,3.0,3.0,6.88,none,,,,4.157034773900405,0.4548102291083377,0.013719271345365675,,,,,20.0,21.5,1.0
00-0040719,Bhayshul Tuten,RB,JAX,NE,2026,3,0.4459837332206968,00-0040719,12490,historical_crosswalk,2026_03_NE_JAX,2026-09-27 13:00:00-04:00,1.0,1.0,10.95,none,,,,7.188749673525359,1.6464726247742751,0.44934558182985396,,,,,3.0,24.25,1.0
sleeper:13288,Nicholas Singleton,RB,TEN,NYG,2026,3,0.37373299498600054,,13288,synthetic_sleeper,2026_03_TEN_NYG,2026-09-27 13:00:00-04:00,3.0,3.0,1.84,none,,,,0.9405332795941477,0.3823924690582851,0.00860551190129908,,,,,27.0,18.75,1.0
00-0038896,Jacob Saylors,RB,DET,NYJ,2026,3,0.3459871347034305,00-0038896,11237,historical_crosswalk,2026_03_NYJ_DET,2026-09-27 13:00:00-04:00,3.0,3.0,1.08,none,,,,1.9610087867048718,0.0035316465883899395,0.015535103729464152,,,,,18.0,27.25,1.0
00-0033376,Patrick Ricard,RB,NYG,TEN,2026,3,0.34426762029598723,00-0033376,4353,sleeper_gsis,2026_03_TEN_NYG,2026-09-27 13:00:00-04:00,5.0,5.0,0.11,none,,,,0.0,0.5449347550309969,0.0,,,,,9.0,21.75,1.0
