season,team,week,game_id,head_coach,hc_person_id,pc_person_id
2023,LAC,18,2023_18_KC_LAC,Giff Smith,giff_smith,kellen_moore
2023,LV,18,2023_18_DEN_LV,Antonio Pierce,antonio_pierce,josh_mcdaniels
2023,MIA,18,2023_18_BUF_MIA,Mike McDaniel,mike_mcdaniel,mike_mcdaniel
2023,MIN,18,2023_18_MIN_DET,Kevin O'Connell,kevin_oconnell,kevin_oconnell
2023,NE,18,2023_18_NYJ_NE,Bill Belichick,bill_belichick,bill_obrien
2023,NO,18,2023_18_ATL_NO,Dennis Allen,dennis_allen,pete_carmichael
2023,NYG,18,2023_18_PHI_NYG,Brian Daboll,brian_daboll,mike_kafka
2023,NYJ,18,2023_18_NYJ_NE,Robert Saleh,robert_saleh,nathaniel_hackett
2023,PHI,18,2023_18_PHI_NYG,Nick Sirianni,nick_sirianni,brian_johnson
2023,PIT,18,2023_18_PIT_BAL,Mike Tomlin,mike_tomlin,matt_canada
2023,SEA,18,2023_18_SEA_ARI,Pete Carroll,pete_carroll,shane_waldron
2023,SF,18,2023_18_LA_SF,Kyle Shanahan,kyle_shanahan,kyle_shanahan
2023,TB,18,2023_18_TB_CAR,Todd Bowles,todd_bowles,dave_canales
2023,TEN,18,2023_18_JAX_TEN,Mike Vrabel,mike_vrabel,tim_kelly
2023,WAS,18,2023_18_DAL_WAS,Ron Rivera,ron_rivera,eric_bieniemy
2024,ARI,1,2024_01_ARI_BUF,Jonathan Gannon,jonathan_gannon,drew_petzing
2024,ATL,1,2024_01_PIT_ATL,Raheem Morris,raheem_morris,zac_robinson
2024,BAL,1,2024_01_BAL_KC,John Harbaugh,john_harbaugh,todd_monken
2024,BUF,1,2024_01_ARI_BUF,Sean McDermott,sean_mcdermott,joe_brady
2024,CAR,1,2024_01_CAR_NO,Dave Canales,dave_canales,dave_canales
2024,CHI,1,2024_01_TEN_CHI,Matt Eberflus,matt_eberflus,shane_waldron
2024,CIN,1,2024_01_NE_CIN,Zac Taylor,zac_taylor,zac_taylor
2024,CLE,1,2024_01_DAL_CLE,Kevin Stefanski,kevin_stefanski,kevin_stefanski
2024,DAL,1,2024_01_DAL_CLE,Mike McCarthy,mike_mccarthy,mike_mccarthy
2024,DEN,1,2024_01_DEN_SEA,Sean Payton,sean_payton,sean_payton
2024,DET,1,2024_01_LA_DET,Dan Campbell,dan_campbell,ben_johnson
2024,GB,1,2024_01_GB_PHI,Matt LaFleur,matt_lafleur,matt_lafleur
2024,HOU,1,2024_01_HOU_IND,DeMeco Ryans,demeco_ryans,bobby_slowik
2024,IND,1,2024_01_HOU_IND,Shane Steichen,shane_steichen,shane_steichen
2024,JAX,1,2024_01_JAX_MIA,Doug Pederson,doug_pederson,press_taylor
2024,KC,1,2024_01_BAL_KC,Andy Reid,andy_reid,andy_reid
2024,LA,1,2024_01_LA_DET,Sean McVay,sean_mcvay,sean_mcvay
2024,LAC,1,2024_01_LV_LAC,Jim Harbaugh,jim_harbaugh,greg_roman
2024,LV,1,2024_01_LV_LAC,Antonio Pierce,antonio_pierce,luke_getsy
2024,MIA,1,2024_01_JAX_MIA,Mike McDaniel,mike_mcdaniel,mike_mcdaniel
2024,MIN,1,2024_01_MIN_NYG,Kevin O'Connell,kevin_oconnell,kevin_oconnell
2024,NE,1,2024_01_NE_CIN,Jerod Mayo,jerod_mayo,alex_van_pelt
2024,NO,1,2024_01_CAR_NO,Dennis Allen,dennis_allen,klint_kubiak
2024,NYG,1,2024_01_MIN_NYG,Brian Daboll,brian_daboll,brian_daboll
2024,NYJ,1,2024_01_NYJ_SF,Robert Saleh,robert_saleh,nathaniel_hackett
2024,PHI,1,2024_01_GB_PHI,Nick Sirianni,nick_sirianni,kellen_moore
2024,PIT,1,2024_01_PIT_ATL,Mike Tomlin,mike_tomlin,arthur_smith
2024,SEA,1,2024_01_DEN_SEA,Mike Macdonald,mike_macdonald,ryan_grubb
2024,SF,1,2024_01_NYJ_SF,Kyle Shanahan,kyle_shanahan,kyle_shanahan
2024,TB,1,2024_01_WAS_TB,Todd Bowles,todd_bowles,liam_coen
