season,team,plays,games,epa_play,success_rate,yards_play,explosive_rate,pass_rate,plays_per_game,proe,neutral_pass_rate,early_down_pass_rate,redzone_pass_rate,drive_scoring_points_per_drive_proxy,n_drives,redzone_td_rate,seconds_per_play
2001,IND,1021,16,-0.005940879958911392,0.4446620959843291,5.833496571988247,0.10871694417238002,0.5905974534769833,63.8125,,0.5821782178217821,0.5315203955500618,0.5,1.9743589743589745,195,0.6170212765957447,
2001,JAX,969,16,-0.3031461161663588,0.4004127966976264,4.994840041279669,0.0846233230134159,0.6491228070175439,60.5625,,0.6455696202531646,0.5936675461741425,0.5684931506849316,0.7916666666666666,193,0.24528301886792453,
2001,KC,1012,16,0.00845012261176178,0.43478260869565216,5.605731225296442,0.11166007905138339,0.5849802371541502,63.25,,0.5402061855670103,0.5336658354114713,0.4429530201342282,1.631578947368421,190,0.48148148148148145,
2001,LA,1006,16,0.1324732557803954,0.48656716417910445,6.651093439363817,0.1272365805168986,0.5984095427435387,62.875,,0.6682808716707022,0.5610972568578554,0.4722222222222222,2.585635359116022,181,0.671875,
2001,LAC,1009,16,-0.017557314302807787,0.39544103072348863,5.153617443012884,0.08225966303270565,0.6065411298315163,63.0625,,0.6055555555555555,0.5555555555555556,0.5168539325842697,1.5025641025641026,195,0.38461538461538464,
2001,LV,1029,16,0.07047541736319067,0.4577259475218659,5.210884353741497,0.0728862973760933,0.6015549076773566,64.3125,,0.6295620437956204,0.550185873605948,0.53125,1.9623655913978495,186,0.5737704918032787,
2001,MIA,953,16,-0.021551953285001483,0.4092339979013641,5.0587618048268626,0.07869884575026233,0.5435466946484785,59.5625,,0.5146726862302483,0.48204419889502764,0.5347222222222222,1.6593406593406594,182,0.5333333333333333,
2001,MIN,977,16,-0.05773637243036922,0.42374616171954965,5.30706243602866,0.07881269191402251,0.6704196519959058,61.0625,,0.6074561403508771,0.6136363636363636,0.6728971962616822,1.5164835164835164,182,0.4634146341463415,
2001,NE,1000,16,-0.03545351849381911,0.40540540540540543,4.883,0.078,0.536,62.5,,0.5362318840579711,0.48556430446194226,0.4676258992805755,1.7608695652173914,184,0.4807692307692308,
2001,NO,1031,16,-0.07273878174659373,0.3773035887487876,5.06886517943744,0.09020368574199807,0.6362754607177498,64.4375,,0.5525210084033614,0.5750636132315522,0.6206896551724138,1.663265306122449,196,0.5178571428571429,
2001,NYG,1028,16,-0.04484185411865668,0.39980544747081714,5.189688715953308,0.10116731517509728,0.5982490272373541,64.25,,0.5341130604288499,0.5320754716981132,0.5934959349593496,1.4307692307692308,195,0.5238095238095238,
