season,team,prior_qb_id,prior_qb_epa_play,prior_qb_cpoe,qb_returns,ret_qb_attempt_share,ret_rb_carry_share,ret_wrte_target_share,relocated,vacated_rush_share,vacated_target_share,ret_skill_fantasy_share,prior_epa_play,prior_success_rate,prior_points_per_drive,prior_plays,prior_pass_rate,prior_ol_sack_rate
2021,GB,00-0023459,0.32497538246578656,7.1855550427398756,1.0,1.0,0.9658792650918635,1.0,0.0,0.034120734908136496,0.0,0.9829396325459318,0.218215183044494,0.5067357512953368,3.379084967320261,965.0,0.5886010362694301,0.0386029411764705
2021,HOU,00-0033537,0.19741228278988412,6.522549013562686,1.0,1.0,1.0,0.8827586206896552,0.0,0.0,0.11724137931034484,0.9413793103448276,0.1009697624438313,0.4773706896551724,2.49685534591195,928.0,0.7068965517241379,0.0836120401337792
2021,IND,00-0022942,0.16767377120102267,0.744591627899112,0.0,0.01929824561403509,1.0,0.8827930174563591,0.0,0.0,0.11720698254364093,0.9413965087281795,0.078713815855747,0.4657398212512413,2.6604938271604937,1007.0,0.5680238331678252,0.0367132867132867
2021,JAX,00-0035289,0.05597434376491795,4.274421293758651,1.0,1.0,0.9750889679715302,0.8720682302771855,0.0,0.02491103202846978,0.1279317697228145,0.9235785991243579,-0.0567953657607087,0.4153225806451613,1.828402366863905,992.0,0.6915322580645161,0.0661654135338345
2021,KC,00-0033873,0.2708936467844478,2.8343997555866576,1.0,1.0,0.9904153354632588,1.0,0.0,0.009584664536741228,0.0,0.9952076677316294,0.1811849409774998,0.4995187680461982,2.8846153846153846,1039.0,0.6669874879692012,0.0365853658536585
2021,LA,00-0033106,0.023054707859733133,0.924395583924793,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.0161971710059243,0.4443405051449953,2.209039548022599,1069.0,0.5958840037418148,0.0407166123778501
2021,LAC,00-0036355,0.12883101889808093,0.011846217615851041,1.0,1.0,1.0,0.9868131868131869,0.0,0.0,0.01318681318681314,0.9934065934065934,0.027632350979538,0.4325539568345323,2.429411764705882,1112.0,0.6151079136690647,0.0515151515151515
2021,LV,00-0031280,0.0760210284291924,2.5728009777739187,1.0,1.0,1.0,0.9537712895377128,0.0,0.0,0.04622871046228716,0.9768856447688564,0.0442990371525926,0.4643206256109481,2.8,1023.0,0.5884652981427175,0.048695652173913
2021,MIA,00-0036212,-0.06118281772701615,-1.208095448721346,1.0,1.0,0.9195402298850575,0.9908675799086758,0.0,0.08045977011494254,0.0091324200913242,0.9552039048968666,0.0048334206711775,0.4586241276171485,2.310734463276836,1003.0,0.6211365902293121,0.0572390572390572
2021,MIN,00-0029604,0.14723198598819456,4.5845363404332975,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.092311005808289,0.4906219151036525,2.7052023121387285,1013.0,0.5616979269496545,0.0697674418604651
