season,team,week,plays,games,epa_sum,epa_n,succ_sum,succ_n,yds_sum,yds_n,expl_sum,expl_n,pass_sum,neu_pass,neu_n,ear_pass,ear_n,rz_pass,rz_n,proe_sum,proe_n,adot_sum,adot_n,gap_sum,gap_n,drive_pts,drives,rz_td,rz_drives,car_tot,car_RB,car_WR,car_TE,car_QB,tgt_tot,tgt_RB,tgt_WR,tgt_TE,tgt_QB,rzo_tot,rzo_RB,rzo_WR,rzo_TE,rzo_QB
2013,BUF,1,61,1,-6.077960727270693,61,26.0,61,286.0,61,2.0,61,30.0,18.0,44.0,19.0,48,2.0,2.0,-390.18973857164383,61,194.0,27,1073.0,47,14.0,14,2.0,2.0,34,30,1.0,0.0,3.0,27,11.0,10,6.0,0.0,2.0,0.0,2.0,0.0,0.0
2013,BUF,2,72,1,2.536823890038108,72,36.0,72,437.0,72,6.0,72,43.0,30.0,57.0,33.0,58,9.0,13.0,-68.98315399885178,72,245.0,39,1320.0,61,26.0,11,2.0,4.0,32,28,1.0,0.0,3.0,39,12.0,19,6.0,0.0,13.0,4.0,5.0,2.0,2.0
2013,BUF,3,74,1,-15.337425308126775,74,22.0,74,328.0,74,6.0,74,52.0,14.0,32.0,37.0,55,3.0,10.0,212.0589479804039,74,460.0,41,1243.0,57,19.0,15,1.0,4.0,25,19,0.0,0.0,6.0,41,7.0,28,6.0,0.0,10.0,6.0,2.0,0.0,2.0
2013,BUF,4,74,1,-11.925071546808967,74,29.0,74,366.0,74,9.0,74,26.0,12.0,30.0,13.0,57,4.0,11.0,-1158.061820268631,74,313.0,22,1611.0,57,23.0,16,1.0,4.0,50,42,2.0,0.0,6.0,22,0.0,17,5.0,0.0,10.0,7.0,1.0,1.0,1.0
2013,BUF,5,75,1,-7.368997010990318,75,28.0,75,343.0,75,4.0,75,45.0,24.0,48.0,29.0,57,0.0,4.0,-485.82106977701187,75,325.0,40,1408.0,61,38.0,14,2.0,2.0,31,30,0.0,0.0,1.0,40,6.0,27,7.0,0.0,4.0,4.0,0.0,0.0,0.0
2013,BUF,6,68,1,3.5112118711790288,68,30.0,68,323.0,68,9.0,68,41.0,15.0,36.0,27.0,49,3.0,9.0,-59.18775349855423,68,250.0,32,1332.0,57,24.0,11,1.0,2.0,31,24,1.0,0.0,6.0,32,10.0,18,4.0,0.0,8.0,6.0,0.0,0.0,2.0
2013,BUF,7,65,1,-3.418315071280166,65,23.0,65,269.0,65,5.0,65,37.0,19.0,35.0,22.0,46,6.0,16.0,-9.314273297786713,65,223.0,32,1387.0,53,16.0,12,1.0,4.0,29,23,0.0,0.0,4.0,32,9.0,19,4.0,0.0,15.0,10.0,2.0,1.0,2.0
2013,BUF,8,68,1,-11.821218896246265,68,25.0,68,299.0,68,5.0,68,44.0,20.0,35.0,32.0,54,4.0,8.0,-189.8433655500412,68,398.0,39,1491.0,56,20.0,12,2.0,3.0,25,22,0.0,0.0,2.0,39,4.0,23,11.0,0.0,8.0,5.0,1.0,1.0,1.0
2013,BUF,9,77,1,-13.229404285592015,77,32.0,77,470.0,77,8.0,77,41.0,19.0,45.0,29.0,62,7.0,14.0,-379.48283702135086,77,403.0,39,1654.0,64,27.0,12,1.0,3.0,38,33,1.0,0.0,3.0,39,6.0,24,9.0,0.0,14.0,7.0,5.0,1.0,1.0
2013,BUF,10,64,1,-14.234627301116623,64,23.0,64,227.0,64,3.0,64,44.0,18.0,32.0,30.0,49,8.0,12.0,-7.307995855808258,64,218.0,39,1253.0,51,10.0,12,1.0,2.0,22,20,0.0,0.0,2.0,38,7.0,21,10.0,0.0,11.0,5.0,4.0,1.0,1.0
2013,BUF,11,64,1,2.267816629439187,64,21.0,64,316.0,64,5.0,64,31.0,16.0,30.0,16.0,45,0.0,2.0,-356.21298756450415,64,276.0,28,1635.0,51,30.0,13,1.0,1.0,35,27,2.0,0.0,4.0,28,5.0,17,5.0,0.0,2.0,1.0,0.0,0.0,0.0
2013,BUF,13,63,1,4.85719425309827,63,26.0,63,405.0,63,6.0,63,33.0,12.0,21.0,20.0,49,4.0,10.0,-354.97073382139206,63,316.0,32,1243.0,49,31.0,14,2.0,3.0,31,27,0.0,0.0,4.0,32,8.0,17,6.0,0.0,10.0,4.0,3.0,0.0,3.0
2013,BUF,14,61,1,-28.795901956699495,61,18.0,61,218.0,61,2.0,61,44.0,10.0,16.0,33.0,50,1.0,2.0,404.76013123989105,61,204.0,33,1317.0,47,6.0,14,0.0,1.0,21,17,0.0,0.0,4.0,33,9.0,20,4.0,0.0,1.0,1.0,0.0,0.0,0.0
