season,posteam,drives,ppd_buggy,ppd_fixed,rz,rztd_buggy,rztd_fixed,ppd_delta,rz_rate_buggy,rz_rate_fixed,rz_delta,rank_buggy,rank_fixed,rank_moved
2025,CIN,182,2.631868131868132,2.2472527472527473,67,51,48,-0.3846153846153846,0.7611940298507462,0.7164179104477612,-0.04477611940298509,6.0,13.0,7.0
2025,CLE,199,1.5125628140703518,1.2663316582914572,49,28,26,-0.24623115577889454,0.5714285714285714,0.5306122448979592,-0.04081632653061218,31.0,32.0,1.0
2025,DAL,180,2.5722222222222224,2.4944444444444445,79,50,48,-0.07777777777777795,0.6329113924050633,0.6075949367088608,-0.025316455696202556,7.0,6.0,1.0
2025,DEN,192,2.0677083333333335,1.9947916666666667,70,45,43,-0.07291666666666674,0.6428571428571429,0.6142857142857143,-0.02857142857142858,23.0,19.0,4.0
2025,DET,189,2.5291005291005293,2.492063492063492,80,56,55,-0.0370370370370372,0.7,0.6875,-0.012499999999999956,10.0,7.0,3.0
2025,GB,168,2.375,2.375,68,43,43,0.0,0.6323529411764706,0.6323529411764706,0.0,13.0,8.0,5.0
2025,HOU,198,2.1414141414141414,1.9646464646464648,69,36,34,-0.17676767676767668,0.5217391304347826,0.4927536231884058,-0.028985507246376774,20.0,21.0,1.0
2025,IND,174,2.8275862068965516,2.706896551724138,77,53,52,-0.1206896551724137,0.6883116883116883,0.6753246753246753,-0.012987012987012991,2.0,2.0,0.0
2025,JAX,193,2.533678756476684,2.316062176165803,82,55,51,-0.21761658031088116,0.6707317073170732,0.6219512195121951,-0.04878048780487809,9.0,9.0,0.0
2025,KC,170,2.164705882352941,2.123529411764706,67,39,38,-0.04117647058823515,0.582089552238806,0.5671641791044776,-0.014925373134328401,18.0,15.0,3.0
2025,LA,184,2.983695652173913,2.755434782608696,94,65,63,-0.2282608695652173,0.6914893617021277,0.6702127659574468,-0.021276595744680882,1.0,1.0,0.0
2025,LAC,177,2.2033898305084745,2.0847457627118646,69,36,36,-0.11864406779660985,0.5217391304347826,0.5217391304347826,0.0,16.0,16.0,0.0
2025,LV,182,1.445054945054945,1.3296703296703296,45,25,25,-0.11538461538461542,0.5555555555555556,0.5555555555555556,0.0,32.0,31.0,1.0
2025,MIA,178,2.067415730337079,1.949438202247191,59,38,37,-0.11797752808988782,0.6440677966101694,0.6271186440677966,-0.016949152542372836,24.0,23.0,1.0
2025,MIN,189,2.005291005291005,1.783068783068783,58,36,33,-0.2222222222222221,0.6206896551724138,0.5689655172413793,-0.051724137931034475,26.0,27.0,1.0
2025,NE,180,2.783333333333333,2.55,86,58,54,-0.2333333333333334,0.6744186046511628,0.627906976744186,-0.046511627906976716,3.0,4.0,1.0
2025,NO,180,1.7833333333333334,1.5888888888888888,59,31,28,-0.19444444444444464,0.5254237288135594,0.4745762711864407,-0.050847457627118675,28.0,28.0,0.0
2025,NYG,174,2.3448275862068964,2.1839080459770117,75,45,43,-0.16091954022988464,0.6,0.5733333333333334,-0.026666666666666616,14.0,14.0,0.0
2025,NYJ,187,1.6844919786096257,1.53475935828877,54,30,27,-0.14973262032085577,0.5555555555555556,0.5,-0.05555555555555558,30.0,29.0,1.0
2025,PHI,182,2.1043956043956045,1.989010989010989,60,45,43,-0.11538461538461542,0.75,0.7166666666666667,-0.033333333333333326,22.0,20.0,2.0
2025,PIT,182,2.241758241758242,2.0494505494505493,67,45,42,-0.1923076923076925,0.6716417910447762,0.6268656716417911,-0.04477611940298509,15.0,18.0,3.0
2025,SEA,193,2.5595854922279795,2.2694300518134716,78,51,45,-0.2901554404145079,0.6538461538461539,0.5769230769230769,-0.07692307692307698,8.0,12.0,4.0
2025,SF,172,2.63953488372093,2.5174418604651163,72,49,48,-0.12209302325581373,0.6805555555555556,0.6666666666666666,-0.01388888888888895,5.0,5.0,0.0
2025,TB,188,2.148936170212766,1.9627659574468086,67,42,39,-0.18617021276595747,0.6268656716417911,0.582089552238806,-0.04477611940298509,19.0,22.0,3.0
2025,TEN,187,1.7005347593582887,1.4385026737967914,44,28,25,-0.26203208556149726,0.6363636363636364,0.5681818181818182,-0.06818181818181812,29.0,30.0,1.0
2025,WAS,170,2.176470588235294,2.052941176470588,58,41,39,-0.12352941176470589,0.7068965517241379,0.6724137931034483,-0.03448275862068961,17.0,17.0,0.0
