season,team,person_id,role,games,team_games,exposure
2023,MIN,kevin_oconnell,caller,17,17,1.0
2023,NE,bill_obrien,caller,17,17,1.0
2023,NO,pete_carmichael,caller,17,17,1.0
2023,NYG,mike_kafka,caller,17,17,1.0
2023,NYJ,nathaniel_hackett,caller,17,17,1.0
2023,PHI,brian_johnson,caller,17,17,1.0
2023,PIT,matt_canada,caller,17,17,1.0
2023,SEA,shane_waldron,caller,17,17,1.0
2023,SF,kyle_shanahan,caller,17,17,1.0
2023,TB,dave_canales,caller,17,17,1.0
2023,TEN,tim_kelly,caller,17,17,1.0
2023,WAS,eric_bieniemy,caller,17,17,1.0
2024,ARI,drew_petzing,caller,17,17,1.0
2024,ATL,zac_robinson,caller,17,17,1.0
2024,BAL,todd_monken,caller,17,17,1.0
2024,BUF,joe_brady,caller,17,17,1.0
2024,CAR,dave_canales,caller,17,17,1.0
2024,CHI,shane_waldron,caller,17,17,1.0
2024,CIN,zac_taylor,caller,17,17,1.0
2024,CLE,kevin_stefanski,caller,17,17,1.0
2024,DAL,mike_mccarthy,caller,17,17,1.0
2024,DEN,sean_payton,caller,17,17,1.0
2024,DET,ben_johnson,caller,17,17,1.0
2024,GB,matt_lafleur,caller,17,17,1.0
2024,HOU,bobby_slowik,caller,17,17,1.0
2024,IND,shane_steichen,caller,17,17,1.0
2024,JAX,press_taylor,caller,17,17,1.0
2024,KC,andy_reid,caller,17,17,1.0
2024,LA,sean_mcvay,caller,17,17,1.0
2024,LAC,greg_roman,caller,17,17,1.0
2024,LV,luke_getsy,caller,17,17,1.0
2024,MIA,mike_mcdaniel,caller,17,17,1.0
2024,MIN,kevin_oconnell,caller,17,17,1.0
2024,NE,alex_van_pelt,caller,17,17,1.0
2024,NO,klint_kubiak,caller,17,17,1.0
2024,NYG,brian_daboll,caller,17,17,1.0
2024,NYJ,nathaniel_hackett,caller,17,17,1.0
2024,PHI,kellen_moore,caller,17,17,1.0
2024,PIT,arthur_smith,caller,17,17,1.0
2024,SEA,ryan_grubb,caller,17,17,1.0
2024,SF,kyle_shanahan,caller,17,17,1.0
2024,TB,liam_coen,caller,17,17,1.0
2024,TEN,brian_callahan,caller,17,17,1.0
2024,WAS,kliff_kingsbury,caller,17,17,1.0
2025,ARI,drew_petzing,caller,17,17,1.0
2025,ATL,zac_robinson,caller,17,17,1.0
2025,BAL,todd_monken,caller,17,17,1.0
2025,BUF,joe_brady,caller,17,17,1.0
2025,CAR,dave_canales,caller,17,17,1.0
2025,CHI,ben_johnson,caller,17,17,1.0
2025,CIN,zac_taylor,caller,17,17,1.0
2025,CLE,kevin_stefanski,caller,17,17,1.0
2025,DAL,brian_schottenheimer,caller,17,17,1.0
2025,DEN,sean_payton,caller,17,17,1.0
2025,DET,john_morton,caller,17,17,1.0
2025,GB,matt_lafleur,caller,17,17,1.0
2025,HOU,nick_caley,caller,17,17,1.0
2025,IND,shane_steichen,caller,17,17,1.0
2025,JAX,liam_coen,caller,17,17,1.0
2025,KC,andy_reid,caller,17,17,1.0
2025,LA,sean_mcvay,caller,17,17,1.0
2025,LAC,greg_roman,caller,17,17,1.0
2025,LV,chip_kelly,caller,17,17,1.0
2025,MIA,mike_mcdaniel,caller,17,17,1.0
2025,MIN,kevin_oconnell,caller,17,17,1.0
2025,NE,josh_mcdaniels,caller,17,17,1.0
2025,NO,kellen_moore,caller,17,17,1.0
2025,NYG,mike_kafka,caller,17,17,1.0
2025,NYJ,tanner_engstrand,caller,17,17,1.0
2025,PHI,kevin_patullo,caller,17,17,1.0
2025,PIT,arthur_smith,caller,17,17,1.0
2025,SEA,klint_kubiak,caller,17,17,1.0
2025,SF,kyle_shanahan,caller,17,17,1.0
2025,TB,josh_grizzard,caller,17,17,1.0
2025,TEN,brian_callahan,caller,17,17,1.0
2025,WAS,kliff_kingsbury,caller,17,17,1.0
2026,ARI,mike_lafleur,caller,17,17,1.0
2026,ATL,tommy_rees,caller,17,17,1.0
2026,BAL,declan_doyle,caller,17,17,1.0
2026,BUF,joe_brady,caller,17,17,1.0
2026,CAR,dave_canales,caller,17,17,1.0
2026,CHI,ben_johnson,caller,17,17,1.0
2026,CIN,zac_taylor,caller,17,17,1.0
2026,CLE,todd_monken,caller,17,17,1.0
2026,DAL,brian_schottenheimer,caller,17,17,1.0
2026,DEN,sean_payton,caller,17,17,1.0
2026,DET,drew_petzing,caller,17,17,1.0
2026,GB,matt_lafleur,caller,17,17,1.0
2026,HOU,nick_caley,caller,17,17,1.0
2026,IND,shane_steichen,caller,17,17,1.0
