season,week,team,head_coach,game_id
1999,16,DET,Bobby Ross,1999_16_DEN_DET
1999,16,GB,Ray Rhodes,1999_16_GB_TB
1999,16,IND,Jim Mora,1999_16_IND_CLE
1999,16,JAX,Tom Coughlin,1999_16_JAX_TEN
1999,16,KC,Gunther Cunningham,1999_16_KC_SEA
1999,16,LA,Dick Vermeil,1999_16_CHI_STL
1999,16,LAC,Mike Riley,1999_16_OAK_SD
1999,16,LV,Jon Gruden,1999_16_OAK_SD
1999,16,MIA,Jimmy Johnson,1999_16_NYJ_MIA
1999,16,MIN,Dennis Green,1999_16_MIN_NYG
1999,16,NE,Pete Carroll,1999_16_BUF_NE
1999,16,NO,Mike Ditka,1999_16_DAL_NO
1999,16,NYG,Jim Fassel,1999_16_MIN_NYG
1999,16,NYJ,Bill Parcells,1999_16_NYJ_MIA
1999,16,PIT,Bill Cowher,1999_16_CAR_PIT
1999,16,SEA,Mike Holmgren,1999_16_KC_SEA
1999,16,SF,Steve Mariucci,1999_16_WAS_SF
1999,16,TB,Tony Dungy,1999_16_GB_TB
1999,16,TEN,Jeff Fisher,1999_16_JAX_TEN
1999,16,WAS,Norv Turner,1999_16_WAS_SF
1999,17,ARI,Vince Tobin,1999_17_ARI_GB
1999,17,ATL,Dan Reeves,1999_17_SF_ATL
1999,17,BAL,Brian Billick,1999_17_BAL_NE
1999,17,BUF,Wade Phillips,1999_17_IND_BUF
1999,17,CAR,George Seifert,1999_17_NO_CAR
1999,17,CHI,Dick Jauron,1999_17_TB_CHI
1999,17,CIN,Bruce Coslet,1999_17_CIN_JAX
1999,17,DAL,Chan Gailey,1999_17_NYG_DAL
1999,17,DEN,Mike Shanahan,1999_17_SD_DEN
1999,17,DET,Bobby Ross,1999_17_DET_MIN
