player_id,player,position,espn_id,espn_adp,espn_pos_rank,refreshed_at,adp_source,adp_matched
00-0040734,TreVeyon Henderson,RB,4432710,76.86,25,2026-09-07,fresh,True
00-0039032,Tyjae Spears,RB,4428557,151.18,43,2026-09-07,fresh,True
00-0037263,Tyler Allgeier,RB,4373626,163.87,49,2026-09-07,fresh,True
00-0039384,Tyrone Tracy,RB,4360516,170.33,58,2026-09-07,fresh,True
00-0040583,Woody Marks,RB,4429059,152.22,44,2026-09-07,fresh,True
00-0039165,Zach Charbonnet,RB,4426385,155.82,45,2026-09-07,fresh,True
00-0039793,AJ Barner,TE,4576297,169.73,22,2026-09-07,fresh,True
00-0038935,Brenton Strange,TE,4430539,168.58,20,2026-09-07,fresh,True
00-0039338,Brock Bowers,TE,4432665,23.91,2,2026-09-07,fresh,True
00-0037809,Chig Okonkwo,TE,4360635,170.14,23,2026-09-07,fresh,True
00-0040126,Colston Loveland,TE,4723086,42.3,3,2026-09-07,fresh,True
00-0034351,Dallas Goedert,TE,3121023,101.24,11,2026-09-07,fresh,True
00-0038933,Dalton Kincaid,TE,4385690,131.64,15,2026-09-07,fresh,True
00-0034383,Dalton Schultz,TE,3117256,168.86,21,2026-09-07,fresh,True
00-0033288,George Kittle,TE,3040151,69.31,6,2026-09-07,fresh,True
00-0040663,Harold Fannin,TE,5083076,70.7,7,2026-09-07,fresh,True
00-0033090,Hunter Henry,TE,3046439,152.86,16,2026-09-07,fresh,True
00-0037838,Isaiah Likely,TE,4361050,122.27,13,2026-09-07,fresh,True
00-0038041,Jake Ferguson,TE,4242355,114.47,12,2026-09-07,fresh,True
00-0036040,Juwan Johnson,TE,3929645,157.26,18,2026-09-07,fresh,True
SAD482340,Kenyon Sadiq,TE,5083315,166.62,19,2026-09-07,fresh,True
00-0036970,Kyle Pitts,TE,4360248,68.78,5,2026-09-07,fresh,True
00-0034753,Mark Andrews,TE,3116365,126.34,14,2026-09-07,fresh,True
00-0040189,Oronde Gadsden,TE,4595342,170.29,24,2026-09-07,fresh,True
00-0039065,Sam LaPorta,TE,4430027,75.11,8,2026-09-07,fresh,True
00-0035229,T.J. Hockenson,TE,4036133,154.17,17,2026-09-07,fresh,True
00-0030506,Travis Kelce,TE,15847,93.96,10,2026-09-07,fresh,True
00-0037744,Trey McBride,TE,4361307,23.4,1,2026-09-07,fresh,True
00-0038996,Tucker Kraft,TE,4572680,91.05,9,2026-09-07,fresh,True
00-0040128,Tyler Warren,TE,4431459,51.55,4,2026-09-07,fresh,True
00-0035676,A.J. Brown,WR,4047646,21.37,8,2026-09-07,fresh,True
00-0039890,Adonai Mitchell,WR,4597500,171.28,72,2026-09-07,fresh,True
00-0037664,Alec Pierce,WR,4360078,105.2,38,2026-09-07,fresh,True
00-0036963,Amon-Ra St. Brown,WR,4374302,8.45,4,2026-09-07,fresh,True
WIL143106,Antonio Williams,WR,5081432,170.39,67,2026-09-07,fresh,True
00-0036261,Brandon Aiyuk,WR,4360438,169.96,64,2026-09-07,fresh,True
00-0039893,Brian Thomas,WR,4432773,113.17,40,2026-09-07,fresh,True
00-0034837,Calvin Ridley,WR,3925357,169.92,63,2026-09-07,fresh,True
TAT143045,Carnell Tate,WR,4871023,80.47,29,2026-09-07,fresh,True
00-0036358,CeeDee Lamb,WR,4241389,11.59,5,2026-09-07,fresh,True
00-0040705,Chimere Dike,WR,4431268,169.87,62,2026-09-07,fresh,True
00-0033921,Chris Godwin,WR,3116165,124.2,45,2026-09-07,fresh,True
00-0037239,Chris Olave,WR,4361370,29.65,12,2026-09-07,fresh,True
00-0038124,Christian Watson,WR,4248528,88.46,33,2026-09-07,fresh,True
00-0034348,Courtland Sutton,WR,3128429,81.85,30,2026-09-07,fresh,True
00-0034827,DJ Moore,WR,3915416,58.22,23,2026-09-07,fresh,True
00-0035640,DK Metcalf,WR,4047650,85.74,32,2026-09-07,fresh,True
00-0031381,Davante Adams,WR,16800,45.95,19,2026-09-07,fresh,True
00-0036912,DeVonta Smith,WR,4241478,36.13,14,2026-09-07,fresh,True
00-0035719,Deebo Samuel,WR,3126486,144.64,52,2026-09-07,fresh,True
BOS677861,Denzel Boston,WR,4832800,169.0,60,2026-09-07,fresh,True
00-0037238,Drake London,WR,4426502,20.69,7,2026-09-07,fresh,True
00-0040129,Emeka Egbuka,WR,4567750,45.18,18,2026-09-07,fresh,True
00-0037740,Garrett Wilson,WR,4569618,37.0,15,2026-09-07,fresh,True
00-0037247,George Pickens,WR,4426354,28.21,10,2026-09-07,fresh,True
LAN311008,Ja'Kobi Lane,WR,4870847,169.07,61,2026-09-07,fresh,True
00-0036900,Ja'Marr Chase,WR,4362628,4.22,1,2026-09-07,fresh,True
00-0034960,Jakobi Meyers,WR,3916433,121.06,43,2026-09-07,fresh,True
00-0039491,Jalen Coker,WR,4695883,154.45,55,2026-09-07,fresh,True
00-0039855,Jalen McMillan,WR,4430834,163.41,57,2026-09-07,fresh,True
00-0037240,Jameson Williams,WR,4426388,64.37,25,2026-09-07,fresh,True
00-0036259,Jauan Jennings,WR,3886598,171.11,71,2026-09-07,fresh,True
00-0038543,Jaxon Smith-Njigba,WR,4430878,6.35,3,2026-09-07,fresh,True
00-0039146,Jayden Reed,WR,4362249,139.48,51,2026-09-07,fresh,True
00-0036613,Jaylen Waddle,WR,4372016,53.03,22,2026-09-07,fresh,True
00-0036407,Jerry Jeudy,WR,4241463,168.8,59,2026-09-07,fresh,True
00-0038994,Jordan Addison,WR,4429205,123.9,44,2026-09-07,fresh,True
TYS405541,Jordyn Tyson,WR,4880281,168.06,58,2026-09-07,fresh,True
00-0038997,Josh Downs,WR,4688813,137.41,49,2026-09-07,fresh,True
00-0036322,Justin Jefferson,WR,4262921,12.37,6,2026-09-07,fresh,True
CON046719,KC Concepcion,WR,4870653,148.24,53,2026-09-07,fresh,True
00-0038608,Kayshon Boutte,WR,4429022,170.53,68,2026-09-07,fresh,True
00-0037261,Khalil Shakir,WR,4373678,137.96,50,2026-09-07,fresh,True
00-0039915,Ladd McConkey,WR,4612826,46.12,20,2026-09-07,fresh,True
00-0040735,Luther Burden,WR,4685278,74.56,27,2026-09-07,fresh,True
LEM694125,Makai Lemon,WR,4870795,134.92,48,2026-09-07,fresh,True
00-0039337,Malik Nabers,WR,4595348,35.66,13,2026-09-07,fresh,True
00-0039849,Marvin Harrison,WR,4432708,79.34,28,2026-09-07,fresh,True
00-0040667,Matthew Golden,WR,4701936,114.8,41,2026-09-07,fresh,True
00-0036252,Michael Pittman,WR,4035687,90.15,35,2026-09-07,fresh,True
00-0038559,Michael Wilson,WR,4360761,104.77,37,2026-09-07,fresh,True
00-0031408,Mike Evans,WR,16737,83.37,31,2026-09-07,fresh,True
00-0036554,Nico Collins,WR,4258173,25.87,9,2026-09-07,fresh,True
COO816508,Omar Cooper,WR,4723820,171.08,69,2026-09-07,fresh,True
00-0038606,Parker Washington,WR,4432620,90.01,34,2026-09-07,fresh,True
00-0040134,Pat Bryant,WR,4600981,170.36,66,2026-09-07,fresh,True
00-0039075,Puka Nacua,WR,4426515,5.33,2,2026-09-07,fresh,True
00-0038544,Quentin Johnston,WR,4429025,134.66,47,2026-09-07,fresh,True
00-0039067,Rashee Rice,WR,4428331,29.3,11,2026-09-07,fresh,True
00-0037545,Rashid Shaheed,WR,4032473,160.44,56,2026-09-07,fresh,True
00-0039919,Rome Odunze,WR,4431299,67.27,26,2026-09-07,fresh,True
00-0037816,Romeo Doubs,WR,4361432,148.32,54,2026-09-07,fresh,True
00-0031588,Stefon Diggs,WR,2976212,103.71,36,2026-09-07,fresh,True
00-0036410,Tee Higgins,WR,4239993,52.68,21,2026-09-07,fresh,True
00-0035659,Terry McLaurin,WR,3121422,60.86,24,2026-09-07,fresh,True
00-0040124,Tetairoa McMillan,WR,4685472,42.92,16,2026-09-07,fresh,True
00-0040718,Travis Hunter,WR,4685415,118.37,42,2026-09-07,fresh,True
00-0040727,Tre' Harris,WR,4686612,171.08,69,2026-09-07,fresh,True
00-0039868,Troy Franklin,WR,4431280,170.06,65,2026-09-07,fresh,True
00-0038117,Wan'Dale Robinson,WR,4569587,110.9,39,2026-09-07,fresh,True
00-0039894,Xavier Worthy,WR,4683062,132.72,46,2026-09-07,fresh,True
00-0039064,Zay Flowers,WR,4429615,43.79,17,2026-09-07,fresh,True
