player,position,team,our_proj,our_rank,adp_rank,value,call,tier,reason,contested,injury_return,years_exp,age,sleeper_rank,sleeper_agrees,actual_rank,actual_total,injured
Jakobi Meyers,WR,JAX,143.2829949214425,25.0,40.0,15.0,,,,rookie,,6,28.810403832991103,40.0,0.0,29.0,138.3,False
Cooper Kupp,WR,SEA,125.3142415844926,38.0,41.0,3.0,,,,,,8,32.2135523613963,45.0,0.0,45.0,92.8,False
Stefon Diggs,WR,NE,108.8154799346789,43.0,42.0,-1.0,,,,,,10,31.756331279945243,41.0,0.0,16.0,167.8,False
Jordan Addison,WR,MIN,156.35476126370904,17.0,43.0,26.0,BUY,HIGH,,,,2,23.59479808350445,42.0,1.0,36.0,114.10000000000001,False
Khalil Shakir,WR,BUF,97.04877699537649,51.0,44.0,-7.0,,,,,,3,25.57700205338809,44.0,0.0,31.0,130.4,False
Chris Godwin Jr.,WR,TB,134.0929465868823,33.0,45.0,12.0,,,,rookie,,8,29.51129363449692,47.0,0.0,55.0,66.5,True
Jauan Jennings,WR,SF,125.18977525409201,39.0,46.0,7.0,BUY,MEDIUM,,,,4,28.145106091718,48.0,0.0,27.0,145.8,False
Michael Pittman,WR,IND,120.13266431261366,41.0,47.0,6.0,BUY,MEDIUM,,,,5,27.906913073237508,45.0,1.0,20.0,162.4,False
Keon Coleman,WR,BUF,89.35410734090785,57.0,48.0,-9.0,,,,,,1,22.2943189596167,51.0,1.0,47.0,83.4,False
Jayden Reed,WR,GB,129.72010884033415,36.0,49.0,13.0,,,,rookie,,2,25.34428473648186,63.0,0.0,66.0,39.0,True
Josh Downs,WR,IND,127.42770920482091,37.0,50.0,13.0,BUY,HIGH,,,,2,24.05475701574264,49.0,1.0,38.0,109.4,False
Jayden Higgins,WR,HOU,79.8456006299382,59.0,51.0,-8.0,,,,,,0,22.713210130047912,52.0,1.0,39.0,109.0,False
Rashid Shaheed,WR,SEA,97.54768332473665,49.0,52.0,3.0,,,,,,3,27.00342231348392,43.0,1.0,32.0,127.1,False
Darnell Mooney,WR,ATL,104.11871844209372,46.0,53.0,7.0,BUY,MEDIUM,,,,5,27.84120465434634,50.0,1.0,56.0,66.3,False
Keenan Allen,WR,LAC,140.82907978201408,27.0,54.0,27.0,,,,rookie,,12,33.347022587268995,64.0,0.0,28.0,142.2,False
Marvin Mims Jr.,WR,DEN,91.13546600402742,55.0,55.0,0.0,,,,,,2,23.45516769336071,53.0,,50.0,76.5,False
Christian Kirk,WR,HOU,61.636763409756966,63.0,56.0,-7.0,,,,,returning from injury,7,28.78576317590691,56.0,0.0,64.0,43.9,False
Luther Burden III,WR,CHI,91.46997741566287,54.0,57.0,3.0,,,,,,0,21.72210814510609,60.0,0.0,41.0,104.4,False
Rashod Bateman,WR,BAL,97.84185208595632,48.0,58.0,10.0,BUY,HIGH,,,,4,25.75770020533881,54.0,1.0,62.0,45.900000000000006,False
Adam Thielen,WR,PIT,105.19452716391586,45.0,59.0,14.0,,,,new signing,,11,35.0280629705681,69.0,0.0,68.0,30.1,False
Tre Harris,WR,LAC,61.67630691841932,62.0,60.0,-2.0,,,,,,0,23.50718685831622,59.0,0.0,58.0,54.4,False
Isaac TeSlaa,WR,DET,50.30401730921606,66.0,61.0,-5.0,,,,,,0,23.52908966461328,67.0,1.0,54.0,67.9,False
Dont'e Thornton Jr.,WR,LV,50.67384469957346,65.0,62.0,-3.0,,,,,,0,22.75427789185489,66.0,1.0,69.0,18.5,False
Cedric Tillman,WR,CLE,59.499390868181344,64.0,63.0,-1.0,,,,,,2,25.36892539356605,57.0,0.0,60.0,49.5,False
Xavier Legette,WR,CAR,77.32678818593669,60.0,64.0,4.0,,,,,,1,24.588637919233403,55.0,1.0,51.0,71.80000000000001,False
Kyle Williams,WR,NE,42.940251370386115,68.0,65.0,-3.0,,,,,,0,22.80082135523614,68.0,1.0,63.0,44.2,False
DeMario Douglas,WR,NE,99.92192369794161,47.0,66.0,19.0,,,,new signing,,2,24.73100616016427,58.0,1.0,49.0,80.3,False
Marquise Brown,WR,KC,37.12404728015543,69.0,67.0,-2.0,,,,,,6,28.24366872005476,62.0,0.0,37.0,113.2,False
Elic Ayomanor,WR,TEN,48.873562783468046,67.0,68.0,1.0,,,,,,0,22.24777549623545,65.0,1.0,42.0,96.0,False
Romeo Doubs,WR,GB,95.3227643324163,52.0,69.0,17.0,,,,rookie,,3,25.38535249828884,61.0,1.0,30.0,137.9,False
