player,position,team,ppg_pred,games_pred,projected_total,vor,our_overall_rank,our_pos_rank,adp_pos_rank,adp_overall_rank,value_gap,sleeper_pts_half_ppr,age,years_exp,target_ppg,target_games
Daniel Bellinger,TE,NYG,1.4492335066924713,16.2598386077252,23.564302923727222,-71.05279723933512,257.0,70.0,308.0,1596.0,238.0,22.9,24.94182067077344,3,3.13125,16.0
Jahan Dotson,WR,PHI,4.362436175158858,14.076948218404535,61.409788143805976,-71.42408273835534,258.0,83.0,455.0,1091.0,372.0,48.5,25.44558521560575,3,2.288888888888889,18.0
Mitchell Evans,TE,CAR,1.9738289957575952,11.588901282710811,22.874509380786986,-71.74259078227536,259.0,71.0,346.0,1785.0,275.0,9.0,22.458590006844627,0,2.1500000000000004,18.0
Andrew Ogletree,TE,IND,1.4645197585682797,15.451607739254381,22.62918483578459,-71.98791532727776,260.0,72.0,,,,,27.096509240246405,2,0.7133333333333333,15.0
Olamide Zaccheaus,WR,CHI,3.9692464982723066,15.25854105322033,60.56491064423903,-72.26896023792227,261.0,84.0,521.0,1276.0,437.0,23.5,28.109514031485283,6,3.627777777777778,18.0
Lucas Krull,TE,DEN,1.5703239694636444,14.050429337199589,22.0637259694597,-72.55337419360265,262.0,73.0,329.0,1714.0,256.0,4.8,27.143052703627653,2,0.8333333333333334,3.0
Raheem Mostert,RB,LV,4.407599744011569,8.760160167070755,38.6112797098814,-72.68885983621941,263.0,82.0,69.0,203.0,-13.0,35.9,33.39630390143737,10,1.95,12.0
Woody Marks,RB,HOU,3.9446165005580416,9.77361470014972,38.553161816307224,-72.74697772979358,264.0,83.0,57.0,158.0,-26.0,56.5,24.673511293634498,0,7.394444444444444,18.0
Payne Durham,TE,TB,1.3205279580961613,16.339372965936224,21.576598819279383,-73.04050134378296,265.0,74.0,180.0,925.0,106.0,17.8,25.21286789869952,2,0.0941176470588235,17.0
Darius Slayton,WR,NYG,3.9945410884941723,14.95939931885393,59.75593523835376,-73.07793564380755,266.0,85.0,100.0,249.0,15.0,97.5,28.635181382614647,6,5.735714285714286,14.0
Tip Reiman,TE,ARI,1.2330766400986182,16.832478323517595,20.755735815695896,-73.86136434736645,267.0,75.0,31.0,237.0,-44.0,7.4,23.956194387405887,1,0.825,4.0
Gunnar Helm,TE,TEN,1.5283201558339041,13.42736975530044,20.52131983686022,-74.09578032620213,268.0,76.0,339.0,1755.0,263.0,35.0,22.98699520876112,0,4.35625,16.0
Julian Hill,TE,MIA,1.2775100509447246,15.915015041106022,20.33159167594941,-74.28550848711293,269.0,77.0,337.0,1735.0,260.0,25.0,25.14715947980835,2,1.6785714285714286,14.0
Jalen Nailor,WR,MIN,3.6717421545187956,15.733794137245377,57.77043518424453,-75.06343569791677,270.0,86.0,433.0,1050.0,347.0,34.1,26.50239561943874,3,5.070588235294117,17.0
Emeka Egbuka,WR,TB,4.005859158628682,14.383858798694456,57.61971250517194,-75.21415837698936,271.0,87.0,38.0,85.0,-49.0,158.2,22.882956878850106,0,9.658823529411764,17.0
Kendrick Bourne,WR,SF,4.852853567176393,11.84784928578217,57.49587766987628,-75.33799321228503,272.0,88.0,647.0,1606.0,559.0,3.7,30.078028747433265,8,4.0888888888888895,18.0
Dyami Brown,WR,JAX,3.610820868513183,15.908662607785793,57.443330934328294,-75.39053994783302,273.0,89.0,85.0,221.0,-4.0,81.0,25.83436002737851,4,2.835714285714286,14.0
Chris Brooks,RB,GB,3.4370290368629375,10.434230899170435,35.86275457778126,-75.43738496831955,274.0,84.0,341.0,1433.0,257.0,30.3,25.639972621492127,2,1.4555555555555555,18.0
Clyde Edwards-Helaire,RB,KC,3.893890671359548,9.187678175891634,35.77581434055814,-75.52432520554267,275.0,85.0,335.0,1407.0,250.0,,26.392881587953458,5,,2.0
Tyler Warren,TE,IND,1.3088049325742137,14.361343503564928,18.796197215858417,-75.82090294720393,276.0,78.0,9.0,87.0,-69.0,121.6,23.274469541409992,0,8.852941176470589,17.0
Luke Farrell,TE,SF,1.1366858638413877,16.20053859520603,18.414923207787506,-76.20217695527484,277.0,79.0,341.0,1766.0,262.0,8.5,27.88227241615332,4,1.263157894736842,19.0
Eric Saubert,TE,SEA,1.1947831520604202,15.276313882995462,18.251882452989676,-76.36521771007267,278.0,80.0,279.0,1443.0,199.0,5.9,31.31553730321697,8,0.5071428571428571,14.0
