player,position,team,ppg_pred,games_pred,projected_total,vor,our_overall_rank,our_pos_rank,blend_rank,blend_pos_rank,adp_pos_rank,adp_overall_rank,value_gap,sleeper_pts_half_ppr,age,years_exp,target_ppg,target_games
George Pickens,WR,DAL,11.320172535232935,15.955076395753387,180.6142176127508,60.43451617065706,19.0,6.0,22.0,8.0,10.0,24.0,4.0,197.9,25.49486652977413,4.0,,0.0
Travis Etienne,RB,NO,11.499977841765933,15.218703655546406,175.01475481918587,60.290585273153866,20.0,11.0,28.0,14.0,18.0,36.0,7.0,195.9,27.59753593429158,4.0,,0.0
Nico Collins,WR,HOU,11.506989395476635,15.402909460748857,177.24111582432383,57.0614143822301,21.0,7.0,21.0,7.0,9.0,22.0,2.0,198.0,27.45516769336071,5.0,,0.0
Ashton Jeanty,RB,LV,11.194616571401415,15.320336869657279,171.50529700051746,56.78112745448546,22.0,12.0,13.0,7.0,7.0,12.0,-5.0,234.5,22.748802190280628,1.0,,0.0
Drake Maye,QB,NE,16.853555667014156,16.65390452210051,280.67750693635975,56.716193533567235,23.0,4.0,7.0,2.0,3.0,45.0,-1.0,320.76,24.005475701574262,2.0,,0.0
Zay Flowers,WR,BAL,11.250356684742115,15.657656546261192,176.15422099262574,55.97451955053201,24.0,8.0,42.0,13.0,21.0,47.0,13.0,185.2,25.971252566735117,3.0,,0.0
Justin Jefferson,WR,MIN,11.127768608034431,15.813568614247973,175.96973240662714,55.790030964533415,25.0,9.0,19.0,6.0,6.0,14.0,-3.0,202.1,27.211498973305957,6.0,,0.0
CeeDee Lamb,WR,DAL,12.066598215147259,14.383831692075312,173.56391782257452,53.384216380480794,26.0,10.0,16.0,5.0,4.0,10.0,-6.0,222.5,27.40041067761807,6.0,,0.0
Omarion Hampton,RB,LAC,11.591433975854123,14.45570144375344,167.56230885992713,52.83813931389513,27.0,13.0,18.0,10.0,9.0,15.0,-4.0,217.9,23.463381245722108,1.0,,0.0
Chris Olave,WR,NO,10.999260173386459,15.642431119211551,172.0551696244846,51.87546818239086,28.0,11.0,29.0,10.0,11.0,25.0,0.0,191.8,26.17932922655715,4.0,,0.0
A.J. Brown,WR,NE,11.094764060063069,15.312645147817841,169.89018505050853,49.710483608414805,29.0,12.0,30.0,11.0,12.0,30.0,0.0,195.8,29.17180013689254,7.0,,0.0
Josh Allen,QB,BUF,17.21799540579946,15.888818122987342,273.57359744517925,49.61228404238673,30.0,5.0,3.0,1.0,1.0,28.0,-4.0,361.5,30.28062970568104,8.0,,0.0
Josh Jacobs,RB,GB,11.138803090101632,14.540212598405226,161.9605650218508,47.23639547581881,31.0,14.0,34.0,16.0,13.0,23.0,-1.0,186.1,28.553045859000683,7.0,,0.0
Cam Skattebo,RB,NYG,12.132553731177286,13.16087339884357,159.67500366069143,44.95083411465943,32.0,15.0,51.0,19.0,22.0,50.0,7.0,168.7,24.56947296372348,1.0,,0.0
