player_id,player_display_name,position,team,opponent_team,gameday,projected_pts,implied_team_total,depth_chart_position,injury_status_score,is_home,off_epa_roll4,opp_season_win_pct,opp_win_pct_roll4,off_epa_rank,sos_rank
00-0037664,Alec Pierce,WR,IND,ATL,2025-11-09,8.06,21.0,1.0,1.0,1,-0.1099062493798814,0.7333333333333333,0.6739094239094239,24,3
00-0040124,Tetairoa McMillan,WR,CAR,NO,2025-11-09,8.01,16.5,1.0,0.5,1,0.0619172570125864,0.8,0.5463286713286714,12,7
00-0040735,Luther Burden III,WR,CHI,NYG,2025-11-09,7.91,20.5,2.0,1.0,1,0.075685334949902,0.7333333333333333,0.5668914418914419,9,6
00-0039868,Troy Franklin,WR,DEN,LV,2025-11-06,7.89,16.5,2.0,1.0,1,0.1174218214754575,0.4,0.4614968364968364,8,16
00-0039915,Ladd McConkey,WR,LAC,PIT,2025-11-09,7.86,21.25,1.0,1.0,1,0.0667973673123801,0.4285714285714285,0.4346486846486846,11,20
00-0031544,Amari Cooper,WR,BUF,MIA,2025-11-09,7.84,21.0,2.0,1.0,0,0.1692050266074698,0.2142857142857142,0.4848068598068598,2,14
00-0039491,Jalen Coker,WR,CAR,NO,2025-11-09,7.83,16.5,2.0,1.0,1,0.0619172570125864,0.8,0.5463286713286714,12,7
00-0038606,Parker Washington,WR,JAX,HOU,2025-11-09,7.72,18.0,3.0,1.0,0,0.1250437759787225,0.5333333333333333,0.4613719613719613,7,17
00-0038393,Dontayvion Wicks,WR,GB,PHI,2025-11-10,7.54,22.0,4.0,0.5,1,0.1529564013719251,0.7142857142857143,0.7367007992007992,6,1
00-0033555,Mack Hollins,WR,NE,TB,2025-11-09,7.53,25.5,3.0,1.0,0,0.1569497663344893,0.6923076923076923,0.4147435897435897,5,23
00-0039919,Rome Odunze,WR,CHI,NYG,2025-11-09,7.41,20.5,1.0,1.0,1,0.075685334949902,0.6,0.5668914418914419,9,6
00-0033908,Cooper Kupp,WR,SEA,ARI,2025-11-09,7.07,18.75,2.0,0.5,1,-0.0089089855616453,0.5333333333333333,0.5245171495171495,19,11
00-0038997,Josh Downs,WR,IND,ATL,2025-11-09,6.98,21.0,2.0,1.0,1,-0.1099062493798814,0.7333333333333333,0.6739094239094239,24,3
00-0038994,Jordan Addison,WR,MIN,BAL,2025-11-09,6.89,26.5,2.0,1.0,1,-0.0559571697535418,0.5333333333333333,0.3954170829170829,22,25
00-0040129,Emeka Egbuka,WR,TB,NE,2025-11-09,6.83,23.0,2.0,1.0,1,0.0114114413538503,0.4,0.3117715617715617,15,28
00-0040134,Pat Bryant,WR,DEN,LV,2025-11-06,6.8,16.5,3.0,1.0,1,0.1174218214754575,0.7142857142857143,0.4614968364968364,8,16
00-0037261,Khalil Shakir,WR,BUF,MIA,2025-11-09,6.59,21.0,2.0,1.0,0,0.1692050266074698,0.2142857142857142,0.4848068598068598,2,14
00-0036407,Jerry Jeudy,WR,CLE,NYJ,2025-11-09,6.58,18.0,1.0,1.0,0,-0.2035625371766095,0.6,0.5391483516483516,26,9
00-0030279,Keenan Allen,WR,LAC,PIT,2025-11-09,6.54,21.25,2.0,1.0,1,0.0667973673123801,0.6666666666666666,0.4346486846486846,11,20
00-0039901,Keon Coleman,WR,BUF,MIA,2025-11-09,6.5,21.0,4.0,1.0,0,0.1692050266074698,0.3333333333333333,0.4848068598068598,2,14
00-0037545,Rashid Shaheed,WR,SEA,ARI,2025-11-09,6.49,18.75,3.0,1.0,1,-0.0089089855616453,0.5333333333333333,0.5245171495171495,19,11
00-0039424,Devaughn Vele,WR,NO,CAR,2025-11-09,6.31,22.0,2.0,1.0,0,-0.0114811011743694,0.5833333333333334,0.4249292374292374,20,21
00-0039146,Jayden Reed,WR,GB,PHI,2025-11-10,6.29,22.0,2.0,1.0,1,0.1529564013719251,0.7142857142857143,0.7367007992007992,6,1
00-0035359,David Sills,WR,ATL,IND,2025-11-09,6.26,27.5,2.0,1.0,0,0.0221513693594375,0.7333333333333333,0.4211413586413586,14,22
00-0036309,Darnell Mooney,WR,ATL,IND,2025-11-09,6.11,27.5,2.0,1.0,0,0.0221513693594375,0.7333333333333333,0.4211413586413586,14,22
00-0040311,Theo Wease Jr.,WR,MIA,BUF,2025-11-09,5.92,29.5,5.0,1.0,1,-0.0064661809473301,0.4666666666666667,0.3139985014985015,18,27
00-0040648,Tory Horton,WR,SEA,ARI,2025-11-09,5.81,18.75,4.0,0.1,1,-0.0089089855616453,0.4,0.5245171495171495,19,11
00-0034775,Christian Kirk,WR,HOU,JAX,2025-11-09,5.8,19.5,2.0,1.0,1,0.0063511369932493,0.7333333333333333,0.4002247752247752,16,24
00-0035535,Darius Slayton,WR,NYG,CHI,2025-11-09,5.8,25.0,2.0,1.0,0,-0.0875692463965452,0.1333333333333333,0.5231684981684982,23,12
00-0037614,John Metchie III,WR,NYJ,CLE,2025-11-09,5.77,19.5,5.0,1.0,1,-0.2392364677490492,0.8,0.4395812520812521,28,19
00-0032385,Sterling Shepard,WR,TB,NE,2025-11-09,5.76,23.0,2.0,1.0,1,0.0114114413538503,0.2727272727272727,0.3117715617715617,15,28
00-0033591,Noah Brown,WR,WAS,DET,2025-11-09,5.63,29.0,2.0,1.0,1,-0.1204819871553674,0.3333333333333333,0.4870546120546121,25,13
00-0037816,Romeo Doubs,WR,GB,PHI,2025-11-10,5.51,22.0,1.0,1.0,1,0.1529564013719251,0.7142857142857143,0.7367007992007992,6,1
00-0034777,DJ Chark,WR,LAC,PIT,2025-11-09,5.42,21.25,2.0,1.0,1,0.0667973673123801,0.2,0.4346486846486846,11,20
00-0040727,Tre Harris,WR,LAC,PIT,2025-11-09,5.41,21.25,3.0,1.0,1,0.0667973673123801,0.6666666666666666,0.4346486846486846,11,20
00-0035216,Diontae Johnson,WR,BAL,MIN,2025-11-09,5.39,22.0,2.0,1.0,0,-0.0035963003912532,0.7,0.4665334665334665,17,15
00-0032398,Chris Moore,WR,WAS,DET,2025-11-09,5.34,29.0,2.0,1.0,1,-0.1204819871553674,0.6428571428571429,0.4870546120546121,25,13
00-0039880,Malik Washington,WR,MIA,BUF,2025-11-09,5.27,29.5,2.0,1.0,1,-0.0064661809473301,0.4666666666666667,0.3139985014985015,18,27
00-0038544,Quentin Johnston,WR,LAC,PIT,2025-11-09,5.14,21.25,2.0,1.0,1,0.0667973673123801,0.4285714285714285,0.4346486846486846,11,20
00-0039739,Roman Wilson,WR,PIT,LAC,2025-11-09,5.03,24.25,4.0,1.0,0,0.069888843890464,0.7,0.5423326673326674,10,8
00-0036196,Gabe Davis,WR,BUF,MIA,2025-11-09,4.98,21.0,2.0,1.0,0,0.1692050266074698,0.6666666666666666,0.4848068598068598,2,14
00-0038679,Tyrell Shavers,WR,BUF,MIA,2025-11-09,4.92,21.0,5.0,1.0,0,0.1692050266074698,0.2142857142857142,0.4848068598068598,2,14
00-0035500,Greg Dortch,WR,ARI,SEA,2025-11-09,4.91,25.75,2.0,1.0,0,-0.0200817692320336,0.6,0.5669955044955045,21,5
00-0033891,Zay Jones,WR,ARI,SEA,2025-11-09,4.89,25.75,2.0,1.0,0,-0.0200817692320336,0.6,0.5669955044955045,21,5
00-0033375,Tim Patrick,WR,JAX,HOU,2025-11-09,4.82,18.0,2.0,1.0,0,0.1250437759787225,0.5333333333333333,0.4613719613719613,7,17
00-0032543,Alex Erickson,WR,NE,TB,2025-11-09,4.78,25.5,2.0,1.0,0,0.1569497663344893,0.6,0.4147435897435897,5,23
00-0039386,Bub Means,WR,NO,CAR,2025-11-09,4.72,22.0,4.0,1.0,0,-0.0114811011743694,0.5,0.4249292374292374,20,21
00-0037291,Jalen Nailor,WR,MIN,BAL,2025-11-09,4.67,26.5,2.0,1.0,1,-0.0559571697535418,0.5333333333333333,0.3954170829170829,22,25
00-0040130,Jayden Higgins,WR,HOU,JAX,2025-11-09,4.62,19.5,2.0,1.0,1,0.0063511369932493,0.7333333333333333,0.4002247752247752,16,24
00-0040667,Matthew Golden,WR,GB,PHI,2025-11-10,4.61,22.0,3.0,0.5,1,0.1529564013719251,0.4666666666666667,0.7367007992007992,6,1
00-0035406,Lil'Jordan Humphrey,WR,DEN,LV,2025-11-06,4.58,16.5,5.0,1.0,1,0.1174218214754575,0.7142857142857143,0.4614968364968364,8,16
00-0032464,Kalif Raymond,WR,DET,WAS,2025-11-09,4.57,20.5,4.0,1.0,0,0.1573203137248841,0.4666666666666667,0.6192557442557443,4,4
00-0036427,Tyler Johnson,WR,NYJ,CLE,2025-11-09,4.57,19.5,2.0,1.0,1,-0.2392364677490492,0.2857142857142857,0.4395812520812521,28,19
00-0038608,Kayshon Boutte,WR,NE,TB,2025-11-09,4.54,25.5,2.0,0.5,0,0.1569497663344893,0.5,0.4147435897435897,5,23
00-0036988,Josh Palmer,WR,BUF,MIA,2025-11-09,4.5,21.0,3.0,0.5,0,0.1692050266074698,0.6666666666666666,0.4848068598068598,2,14
00-0036527,DJ Turner,WR,LV,DEN,2025-11-06,4.46,26.0,2.0,1.0,0,-0.2095284627489942,0.5454545454545454,0.681984681984682,27,2
00-0033282,Curtis Samuel,WR,BUF,MIA,2025-11-09,4.45,21.0,2.0,1.0,0,0.1692050266074698,0.2222222222222222,0.4848068598068598,2,14
