player_id,player_display_name,position,breakout_prob,breakout_type
00-0038752,Jake Bobo,WR,0.0005798009,none
00-0035544,Tom Kennedy,WR,0.00056916825,none
00-0038824,Ryan Miller,WR,0.0005681371,none
00-0034054,River Cracraft,WR,0.00056014745,none
00-0039451,Isaiah Williams,WR,0.0005034087,none
00-0037093,Dareke Young,WR,0.0005009111,none
00-0037487,Deven Thompkins,WR,0.0004995936,none
00-0039589,Kameron Johnson,WR,0.0004975314,none
00-0035021,Ashton Dulin,WR,0.000497515,none
00-0039650,Bryce Oliver,WR,0.00047355852,none
00-0036331,Devin Duvernay,WR,0.00044613628,none
00-0035602,Alex Bachman,WR,0.00041274162,none
00-0036862,Ben Skowronek,WR,0.00039531547,none
00-0031763,DeAndre Carter,WR,0.00038796218,none
00-0036176,Mason Kinsey,WR,0.00038075162,none
00-0038618,Xavier Hutchinson,WR,0.00037059851,none
00-0036133,James Proche,WR,0.0003688002,none
00-0035891,Cody White,WR,0.00035892613,none
00-0039379,Jamari Thrash,WR,0.00032513874,none
