week,position,slp_proj,name,norm_name
16,QB,18.72,Matthew Stafford,matthew stafford
13,QB,18.72,Aaron Rodgers,aaron rodgers
4,QB,18.72,Kyler Murray,kyler murray
13,QB,18.71,Jared Goff,jared goff
8,RB,18.71,De'Von Achane,devon achane
17,QB,18.71,Caleb Williams,caleb williams
15,QB,18.69,Trevor Lawrence,trevor lawrence
18,QB,18.69,C.J. Stroud,cj stroud
10,QB,18.68,Jordan Love,jordan love
13,RB,18.67,Bijan Robinson,bijan robinson
9,QB,18.66,Joe Flacco,joe flacco
14,QB,18.66,Trevor Lawrence,trevor lawrence
13,QB,18.66,Sam Darnold,sam darnold
9,QB,18.65,J.J. McCarthy,jj mccarthy
2,QB,18.64,Caleb Williams,caleb williams
13,RB,18.64,Christian McCaffrey,christian mccaffrey
7,QB,18.64,Matthew Stafford,matthew stafford
9,RB,18.63,Jahmyr Gibbs,jahmyr gibbs
13,QB,18.62,Brock Purdy,brock purdy
3,QB,18.62,Cam Ward,cam ward
4,QB,18.61,Caleb Williams,caleb williams
4,QB,18.59,Matthew Stafford,matthew stafford
18,QB,18.56,Caleb Williams,caleb williams
4,QB,18.56,Trevor Lawrence,trevor lawrence
7,RB,18.56,De'Von Achane,devon achane
6,QB,18.55,Caleb Williams,caleb williams
12,QB,18.55,Bryce Young,bryce young
5,QB,18.53,Dillon Gabriel,dillon gabriel
16,QB,18.52,C.J. Stroud,cj stroud
10,QB,18.52,Tua Tagovailoa,tua tagovailoa
4,QB,18.52,Joe Flacco,joe flacco
3,RB,18.52,Bijan Robinson,bijan robinson
17,QB,18.5,Geno Smith,geno smith
6,QB,18.47,Matthew Stafford,matthew stafford
11,QB,18.46,Caleb Williams,caleb williams
7,QB,18.45,Mac Jones,mac jones
8,QB,18.45,Tua Tagovailoa,tua tagovailoa
7,QB,18.45,Sam Darnold,sam darnold
2,RB,18.44,De'Von Achane,devon achane
1,RB,18.42,Saquon Barkley,saquon barkley
18,QB,18.42,J.J. McCarthy,jj mccarthy
3,QB,18.4,Daniel Jones,daniel jones
