player_id,player_display_name,position,team,opponent_team,gameday,projected_pts,implied_team_total,depth_chart_position,injury_status_score,is_home,off_epa_roll4,opp_season_win_pct,opp_win_pct_roll4,off_epa_rank,sos_rank,pred_qb_pass_yards,pred_qb_rush_yards,pred_rush_yards,pred_rec_yards,pred_wr_receptions,pred_wr_rec_yards,pred_te_receptions,pred_te_rec_yards
00-0040715,Cam Skattebo,RB,NYG,DET,2025-11-23,9.17,32.25,4.0,1.0,0,-0.0875692463965452,0.6666666666666666,0.5231684981684982,23,14,,,42.34,9.54,,,,
00-0037157,Bam Knight,RB,ARI,JAX,2025-11-23,8.88,25.0,1.0,1.0,1,-0.0200817692320336,0.75,0.5669955044955045,20,5,,,44.62,23.6,,,,
00-0033906,Alvin Kamara,RB,NO,ATL,2025-11-23,8.47,20.0,1.0,0.5,1,-0.0114811011743694,0.5555555555555556,0.4249292374292374,19,22,,,30.89,19.53,,,,
00-0040583,Woody Marks,RB,HOU,BUF,2025-11-20,8.37,24.5,1.0,1.0,1,0.0063511369932493,0.7333333333333333,0.4002247752247752,16,25,,,49.85,9.82,,,,
00-0039032,Tyjae Spears,RB,TEN,SEA,2025-11-23,8.31,27.0,2.0,1.0,1,-0.0600036058434601,0.3333333333333333,0.5018106893106893,22,15,,,31.71,23.04,,,,
00-0036251,Zack Moss,RB,CIN,NE,2025-11-23,8.12,29.0,2.0,1.0,1,0.0448989351680796,0.1666666666666666,0.5255577755577756,13,12,,,32.64,18.36,,,,
00-0035685,David Montgomery,RB,DET,NYG,2025-11-23,7.74,18.25,2.0,1.0,1,0.1573203137248841,0.4666666666666667,0.6192557442557443,4,4,,,43.9,11.78,,,,
00-0040734,TreVeyon Henderson,RB,NE,CIN,2025-11-23,7.64,21.5,2.0,1.0,0,0.1569497663344893,0.2,0.4147435897435897,5,24,,,44.61,8.47,,,,
00-0037263,Tyler Allgeier,RB,ATL,NO,2025-11-23,7.42,21.5,2.0,1.0,0,0.0221513693594375,0.7333333333333333,0.4211413586413586,14,23,,,36.1,16.69,,,,
00-0036924,Michael Carter,RB,ARI,JAX,2025-11-23,7.12,25.0,3.0,1.0,1,-0.0200817692320336,0.3333333333333333,0.5669955044955045,20,5,,,33.77,15.84,,,,
00-0033526,Samaje Perine,RB,CIN,NE,2025-11-23,7.03,29.0,2.0,0.1,1,0.0448989351680796,0.2,0.5255577755577756,13,12,,,38.96,8.09,,,,
00-0037525,Jordan Mason,RB,MIN,GB,2025-11-23,6.78,24.0,2.0,1.0,0,-0.0559571697535418,0.1428571428571428,0.3954170829170829,21,26,,,38.37,8.93,,,,
00-0039165,Zach Charbonnet,RB,SEA,TEN,2025-11-23,6.78,14.5,2.0,1.0,0,-0.0089089855616453,0.5333333333333333,0.5245171495171495,18,13,,,43.98,5.57,,,,
00-0034972,Alexander Mattison,RB,LV,CLE,2025-11-23,6.44,16.25,4.0,1.0,1,-0.2095284627489942,0.3333333333333333,0.681984681984682,27,2,,,22.86,14.42,,,,
00-0038454,Keaton Mitchell,RB,BAL,NYJ,2025-11-23,6.38,15.25,3.0,1.0,1,-0.0035963003912532,0.6,0.4665334665334665,17,18,,,28.91,10.2,,,,
00-0036555,Chuba Hubbard,RB,CAR,SF,2025-11-24,6.26,28.0,2.0,1.0,0,0.0619172570125864,0.8,0.5463286713286714,11,8,,,33.13,11.87,,,,
00-0034975,Justice Hill,RB,BAL,NYJ,2025-11-23,5.88,15.25,2.0,1.0,1,-0.0035963003912532,0.5,0.4665334665334665,17,18,,,7.95,13.79,,,,
