season,team,win_total_line,price_over,price_under,book,market_source,as_of_date,source,source_url,retrieved_at,raw_team_name,point_in_time_status
2016,CLE,4.5,-150,130,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Cleveland Browns,strictly_before_week1
2016,DAL,8.5,110,-130,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Dallas Cowboys,strictly_before_week1
2016,DEN,9.5,130,-150,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Denver Broncos,strictly_before_week1
2016,DET,7.0,-150,130,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Detroit Lions,strictly_before_week1
2016,GB,10.5,-170,150,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Green Bay Packers,strictly_before_week1
2016,HOU,8.5,-120,100,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Houston Texans,strictly_before_week1
2016,IND,9.0,120,-140,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Indianapolis Colts,strictly_before_week1
2016,JAX,7.5,-125,105,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Jacksonville Jaguars,strictly_before_week1
2016,KC,9.5,-140,120,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Kansas City Chiefs,strictly_before_week1
2016,LA,7.5,175,-200,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Los Angeles Rams,strictly_before_week1
2016,LAC,7.0,-185,165,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,San Diego Chargers,strictly_before_week1
2016,LV,8.5,-110,-110,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Oakland Raiders,strictly_before_week1
2016,MIA,7.0,120,-140,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Miami Dolphins,strictly_before_week1
2016,MIN,8.5,115,-135,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Minnesota Vikings,strictly_before_week1
2016,NE,10.5,-120,100,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,New England Patriots,strictly_before_week1
2016,NO,7.0,-140,120,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,New Orleans Saints,strictly_before_week1
2016,NYG,8.5,100,-120,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,New York Giants,strictly_before_week1
2016,NYJ,8.0,150,-170,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,New York Jets,strictly_before_week1
2016,PHI,6.5,130,-150,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Philadelphia Eagles,strictly_before_week1
2016,PIT,10.5,110,-130,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Pittsburgh Steelers,strictly_before_week1
2016,SEA,10.5,-145,125,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Seattle Seahawks,strictly_before_week1
2016,SF,5.5,110,-130,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,San Francisco 49ers,strictly_before_week1
2016,TB,7.0,-140,120,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Tampa Bay Buccaneers,strictly_before_week1
2016,TEN,6.0,-150,130,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Tennessee Titans,strictly_before_week1
2016,WAS,7.5,-120,100,,Covers Sports Odds History,2016-09-05,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2016,2026-08-03T02:32:36.497679+00:00,Washington Redskins,strictly_before_week1
2017,ARI,8.5,-160,140,,Covers Sports Odds History,2017-09-04,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2017,2026-08-03T02:32:40.219515+00:00,Arizona Cardinals,strictly_before_week1
2017,ATL,9.5,-110,-110,,Covers Sports Odds History,2017-09-04,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2017,2026-08-03T02:32:40.219515+00:00,Atlanta Falcons,strictly_before_week1
2017,BAL,8.5,130,-150,,Covers Sports Odds History,2017-09-04,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2017,2026-08-03T02:32:40.219515+00:00,Baltimore Ravens,strictly_before_week1
2017,BUF,6.5,130,-150,,Covers Sports Odds History,2017-09-04,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2017,2026-08-03T02:32:40.219515+00:00,Buffalo Bills,strictly_before_week1
2017,CAR,9.0,-120,100,,Covers Sports Odds History,2017-09-04,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2017,2026-08-03T02:32:40.219515+00:00,Carolina Panthers,strictly_before_week1
2017,CHI,5.5,105,-125,,Covers Sports Odds History,2017-09-04,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2017,2026-08-03T02:32:40.219515+00:00,Chicago Bears,strictly_before_week1
2017,CIN,8.5,120,-140,,Covers Sports Odds History,2017-09-04,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2017,2026-08-03T02:32:40.219515+00:00,Cincinnati Bengals,strictly_before_week1
2017,CLE,4.5,-180,150,,Covers Sports Odds History,2017-09-04,covers_sportsoddshistory_nfl_win,https://www.covers.com/sportsoddshistory/nfl-win/?sa=nfl&t=win&y=2017,2026-08-03T02:32:40.219515+00:00,Cleveland Browns,strictly_before_week1
