population,universe,panel,threshold,panel_complete_n,perm_observed,perm_null_mean,perm_null_p95,perm_p_value,perm_n,vs_model_alone_hr_a,vs_model_alone_hr_b,vs_model_alone_lift,vs_model_alone_lo,vs_model_alone_hi,vs_model_alone_n_a,vs_model_alone_n_b,vs_model_alone_boot_ok,vs_sleeper_alone_hr_a,vs_sleeper_alone_hr_b,vs_sleeper_alone_lift,vs_sleeper_alone_lo,vs_sleeper_alone_hi,vs_sleeper_alone_n_a,vs_sleeper_alone_n_b,vs_sleeper_alone_boot_ok
drafted_top180,A,pooled_2023_2025,10.0,523,1.0,0.48804210526315783,0.6842105263157895,9.999000099990002e-05,19,1.0,0.5819672131147541,0.4180327868852459,0.33333333333333337,0.5048567720849755,19,122,10000,1.0,0.7837837837837838,0.21621621621621623,0.09090909090909094,0.3513513513513513,19,37,10000
drafted_top180,A,pooled_2021_2025,0.0,867,0.7219512195121951,0.4853509756097561,0.524390243902439,9.999000099990002e-05,410,0.7219512195121951,0.4387254901960784,0.28322572931611667,0.21941669897777077,0.346440642833098,410,408,10000,0.7219512195121951,0.5949720670391061,0.126979152473089,0.06056203711807648,0.19304859015301037,410,358,10000
drafted_top180,A,pooled_2021_2025,5.0,867,0.8380952380952381,0.48317047619047615,0.5619047619047619,9.999000099990002e-05,105,0.8380952380952381,0.556497175141243,0.28159806295399514,0.19439452274259586,0.36566624736848313,105,354,10000,0.8380952380952381,0.7701863354037267,0.0679089026915114,-0.028337760910815926,0.16243518318099223,105,161,10000
drafted_top180,A,pooled_2021_2025,7.5,867,0.8857142857142857,0.4888614285714286,0.5857142857142857,9.999000099990002e-05,70,0.8857142857142857,0.5508771929824562,0.3348370927318295,0.23697545332973446,0.4245399175292791,70,285,10000,0.8857142857142857,0.8125,0.07321428571428568,-0.027778822055137854,0.17224331724043623,70,128,10000
drafted_top180,A,pooled_2021_2025,10.0,867,0.8918918918918919,0.489245945945946,0.6216216216216216,9.999000099990002e-05,37,0.8918918918918919,0.5863874345549738,0.3055044573369181,0.17713621210806435,0.4185636058443477,37,191,10000,0.8918918918918919,0.8571428571428571,0.03474903474903479,-0.09451127819548871,0.15588708323070372,37,77,10000
drafted_top180,B,pooled_2024_2025,0.0,349,0.6583850931677019,0.4851447204968944,0.5527950310559007,9.999000099990002e-05,161,0.6583850931677019,0.44970414201183434,0.20868095115586754,0.10547509854332957,0.3107429210582104,161,169,10000,0.6583850931677019,0.5827814569536424,0.07560363621405952,-0.02940327860782109,0.18423215129177406,161,151,10000
drafted_top180,B,pooled_2024_2025,5.0,349,0.8717948717948718,0.4905282051282051,0.6153846153846154,9.999000099990002e-05,39,0.8717948717948718,0.5140845070422535,0.3577103647526183,0.22298111754174127,0.4864904202147352,39,142,10000,0.8717948717948718,0.676923076923077,0.19487179487179485,0.04039488516947538,0.3541237064554034,39,65,10000
drafted_top180,B,pooled_2024_2025,7.5,349,0.9285714285714286,0.5029071428571429,0.6428571428571429,9.999000099990002e-05,28,0.9285714285714286,0.509090909090909,0.41948051948051956,0.27794757924068275,0.5471698113207547,28,110,10000,0.9285714285714286,0.75,0.1785714285714286,0.020828447467166913,0.33333333333333337,28,48,10000
drafted_top180,B,pooled_2024_2025,10.0,349,1.0,0.49820714285714285,0.7142857142857143,9.999000099990002e-05,14,1.0,0.52,0.48,0.3661971830985915,0.5909090909090908,14,75,10000,1.0,0.72,0.28,0.11111111111111116,0.4722222222222222,14,25,10000
drafted_top180,B,pooled_2023_2025,0.0,523,0.6723404255319149,0.4868825531914894,0.5404255319148936,9.999000099990002e-05,235,0.6723404255319149,0.46511627906976744,0.20722414646214743,0.12357657494975698,0.29065526405420183,235,258,10000,0.6723404255319149,0.5714285714285714,0.10091185410334347,0.012871191265758239,0.18828798509695135,235,217,10000
