player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status,pred_qb_pass_yards,pred_qb_rush_yards,pred_qb_receptions,pred_rush_yards,pred_rec_yards,pred_rb_receptions,pred_wr_rec_yards,pred_wr_receptions,pred_te_rec_yards,pred_te_receptions,off_epa_rank,implied_team_total,injury_status_score
sleeper:13311,Chris Bell,WR,MIA,SF,2026,2,0.4507046714273357,,13311,synthetic_sleeper,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,4.0,4.0,5.31,none,,,,,,,5.893931068120637,0.983054405303373,,,26.0,16.25,1.0
sleeper:13294,Makai Lemon,WR,PHI,TEN,2026,2,0.4424493133132178,,13294,synthetic_sleeper,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,2.0,2.0,5.21,none,,,,,,,3.0576801277800483,0.33804529583356135,,,14.0,23.25,1.0
sleeper:13301,Antonio Williams,WR,WAS,DAL,2026,2,0.4397982631035217,,13301,synthetic_sleeper,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,3.0,3.0,3.8,none,,,,,,,3.820805100552385,0.5514342809591805,,,17.0,23.5,1.0
00-0038519,Nikko Remigio,WR,KC,IND,2026,2,0.436153966252605,00-0038519,11320,historical_crosswalk,2026_02_IND_KC,2026-09-20 20:20:00-04:00,6.0,6.0,0.13,none,,,,,,,1.5264375895446716,0.06873285039772684,,,32.0,27.0,1.0
sleeper:13279,Carnell Tate,WR,TEN,PHI,2026,2,0.4311602957050396,,13279,synthetic_sleeper,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,1.0,1.0,6.93,none,,,,,,,4.240990929688296,0.38145714183259694,,,27.0,16.25,1.0
00-0038840,Brycen Tremayne,WR,CAR,ATL,2026,2,0.42961853234332303,00-0038840,11157,historical_crosswalk,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,6.0,5.0,0.01,none,,,,,,,0.5329082430516899,0.060728299816070204,,,25.0,22.5,1.0
sleeper:13317,Ted Hurst,WR,TB,CLE,2026,2,0.4182725351156378,,13317,synthetic_sleeper,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,4.0,4.0,3.3,none,,,,,,,2.444361645781874,0.3911346999274772,,,11.0,24.5,1.0
00-0040237,Tez Johnson,WR,TB,CLE,2026,2,0.41803402168837656,00-0040237,12485,historical_crosswalk,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,5.0,5.0,1.42,none,,,,,,,2.9260290137519753,0.4295031940788685,,,11.0,24.5,1.0
00-0039751,Jordan Whittington,WR,LA,NYG,2026,2,0.3633971465963525,00-0039751,11623,historical_crosswalk,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,4.0,4.0,1.3,none,,,,,,,3.802521346934968,0.23540900252493088,,,4.0,27.75,1.0
sleeper:13298,KC Concepcion,WR,CLE,TB,2026,2,0.3498736610575914,,13298,synthetic_sleeper,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,2.0,2.0,8.43,none,,,,,,,2.2695556416015306,0.4146345863191326,,,29.0,16.0,1.0
00-0040582,Arian Smith,WR,NYJ,GB,2026,2,0.3482308986417254,00-0040582,12539,historical_crosswalk,2026_02_GB_NYJ,2026-09-20 13:00:00-04:00,5.0,5.0,0.27,none,,,,,,,1.4091760489112235,0.35950915428872804,,,30.0,20.25,1.0
00-0040277,Jahdae Walker,WR,CHI,MIN,2026,2,0.3297141269769109,00-0040277,13079,historical_crosswalk,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,4.0,4.0,1.49,none,,,,,,,7.968717152907584,0.7636194309779203,,,7.0,27.5,1.0
00-0039365,Jacob Cowing,WR,SF,MIA,2026,2,0.3090534339660893,00-0039365,11616,historical_crosswalk,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,7.0,4.0,0.54,none,,,,,,,2.3079643974494517,0.0423629062867528,,,13.0,29.25,1.0
00-0036626,Dyami Brown,WR,WAS,DAL,2026,2,0.3045827845939885,00-0036626,7587,historical_crosswalk,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,5.0,5.0,0.91,none,,,,,,,4.947619741568838,0.4705176484707946,,,17.0,23.5,1.0
00-0036331,Devin Duvernay,WR,ARI,SEA,2026,2,0.30221527144207355,00-0036331,6847,historical_crosswalk,2026_02_SEA_ARI,2026-09-20 16:25:00-04:00,6.0,6.0,0.15,none,,,,,,,0.26028873751908516,0.10202558607994484,,,15.0,18.5,1.0
sleeper:13411,Zavion Thomas,WR,CHI,MIN,2026,2,0.2988743327025511,,13411,synthetic_sleeper,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,3.0,3.0,0.62,none,,,,,,,7.421865887142363,0.38213286831981835,,,7.0,27.5,1.0
00-0036862,Ben Skowronek,WR,PIT,NE,2026,2,0.2745520193875617,00-0036862,7757,historical_crosswalk,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,5.0,5.0,0.18,none,,,,,,,0.7738420131222853,0.19505488234667578,,,10.0,18.25,1.0
00-0038608,Kayshon Boutte,WR,HOU,CIN,2026,2,0.24781504195548684,00-0038608,9504,historical_crosswalk,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,2.0,2.0,5.67,none,,,,,,,9.211754938718451,0.842618054363275,,,21.0,24.75,1.0
00-0038640,Jalen Brooks,WR,ARI,SEA,2026,2,0.24375991079116313,00-0038640,11034,historical_crosswalk,2026_02_SEA_ARI,2026-09-20 16:25:00-04:00,4.0,4.0,0.26,none,,,,,,,2.6140154779163325,0.13302557554368485,,,15.0,18.5,1.0
00-0038573,Derius Davis,WR,LAC,LV,2026,2,0.22747416622360264,00-0038573,10234,historical_crosswalk,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,6.0,5.0,0.16,Questionable,,,,,,,1.3021905282877346,0.05577451029839887,,,28.0,25.25,0.5
sleeper:13274,Germie Bernard,WR,PIT,NE,2026,2,0.204243378103412,,13274,synthetic_sleeper,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,3.0,3.0,1.37,none,,,,,,,4.523766492579874,0.5776659933619036,,,10.0,18.25,1.0
sleeper:13329,Malik Benson,WR,LV,LAC,2026,2,0.1837231821816194,,13329,synthetic_sleeper,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,3.0,3.0,0.01,none,,,,,,,0.8236063954277073,0.10855057529387568,,,31.0,18.25,1.0
00-0040646,Jalen Royals,WR,KC,IND,2026,2,0.17959767873012694,00-0040646,12505,historical_crosswalk,2026_02_IND_KC,2026-09-20 20:20:00-04:00,5.0,5.0,0.21,none,,,,,,,0.6018638493162434,0.08995944775502852,,,32.0,27.0,1.0
sleeper:13333,Deion Burks,WR,IND,KC,2026,2,0.17953939247703202,,13333,synthetic_sleeper,2026_02_IND_KC,2026-09-20 20:20:00-04:00,9.0,5.0,0.15,none,,,,,,,2.0432351863568643,0.0,,,22.0,20.5,1.0
sleeper:13346,Denzel Boston,WR,CLE,TB,2026,2,0.16665655942424443,,13346,synthetic_sleeper,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,3.0,3.0,6.69,none,,,,,,,2.00910015604128,0.3683673799536648,,,29.0,16.0,1.0
00-0035544,Tom Kennedy,WR,DET,BUF,2026,2,0.15616336974167877,00-0035544,6588,sleeper_gsis,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,4.0,4.0,0.38,none,,,,,,,0.9331505096047524,0.06351679809408146,,,18.0,24.5,1.0
sleeper:13264,Dohnte Meyers,WR,CIN,HOU,2026,2,0.1550459939480673,,13264,synthetic_sleeper,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,8.0,5.0,0.41,none,,,,,,,0.26490921387399013,0.011568238212721921,,,5.0,21.75,1.0
sleeper:13285,Malachi Fields,WR,NYG,LA,2026,2,0.14656145354086786,,13285,synthetic_sleeper,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,2.0,2.0,5.21,none,,,,,,,0.5318444941098696,0.2666423990652518,,,9.0,20.75,1.0
00-0037093,Dareke Young,WR,LV,LAC,2026,2,0.11755107312007625,00-0037093,8527,historical_crosswalk,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,7.0,5.0,0.34,none,,,,,,,1.8712646525357721,0.31818520047970844,,,31.0,18.25,1.0
sleeper:13380,Brenen Thompson,WR,LAC,LV,2026,2,0.1122704583204219,,13380,synthetic_sleeper,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,4.0,4.0,1.02,none,,,,,,,2.1115646471628216,0.17231799693178926,,,28.0,25.25,1.0
00-0040506,Myles Price,WR,MIN,CHI,2026,2,0.10075747641716051,00-0040506,13075,historical_crosswalk,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,6.0,5.0,0.1,none,,,,,,,0.528720323355328,0.0,,,23.0,22.0,1.0
00-0039589,Kameron Johnson,WR,TB,CLE,2026,2,0.098777328217238,00-0039589,11994,historical_crosswalk,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,7.0,6.0,0.4,none,,,,,,,0.2763720205387056,0.1777329532021722,,,11.0,24.5,1.0
sleeper:13477,Colbie Young,WR,CIN,HOU,2026,2,0.09848789168653199,,13477,synthetic_sleeper,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,4.0,4.0,0.59,none,,,,,,,0.5356120629438286,0.2645877905544269,,,5.0,21.75,1.0
00-0040075,LaJohntay Wester,WR,BAL,NO,2026,2,0.08498803972012428,00-0040075,12699,historical_crosswalk,2026_02_NO_BAL,2026-09-20 13:00:00-04:00,6.0,5.0,0.19,none,,,,,,,2.840561909170353,0.392588828223678,,,2.0,27.75,1.0
00-0035021,Ashton Dulin,WR,IND,KC,2026,2,0.07000698470284364,00-0035021,6427,sleeper_gsis,2026_02_IND_KC,2026-09-20 20:20:00-04:00,4.0,4.0,0.85,none,,,,,,,2.715788616816721,0.13931526778093467,,,22.0,20.5,1.0
00-0036630,Tylan Wallace,WR,CLE,TB,2026,2,0.04890386861969369,00-0036630,7595,historical_crosswalk,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,6.0,6.0,0.47,none,,,,,,,1.7230639024598027,0.11405709348672302,,,29.0,16.0,1.0
00-0040164,Jaylin Lane,WR,WAS,DAL,2026,2,0.008023392723163235,00-0040164,12641,historical_crosswalk,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,7.0,7.0,1.51,none,,,,,,,1.2596123876607608,0.10992731462364846,,,17.0,23.5,1.0
00-0040154,Tai Felton,WR,MIN,CHI,2026,2,0.0014746627073588389,00-0040154,12496,historical_crosswalk,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,4.0,4.0,1.57,none,,,,,,,1.5661122874784497,0.1501815211511964,,,23.0,22.0,1.0
00-0039739,Roman Wilson,WR,PIT,NE,2026,2,-0.05291370120340681,00-0039739,11630,historical_crosswalk,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,4.0,4.0,3.8,none,,,,,,,2.920785777691214,0.378441973560194,,,10.0,18.25,1.0
00-0037524,Tay Martin,WR,DET,BUF,2026,2,-0.09113773794383098,00-0037524,8250,historical_crosswalk,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,5.0,5.0,0.57,none,,,,,,,1.1299453742658947,0.044383638715146743,,,18.0,24.5,1.0
