player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status,pred_qb_pass_yards,pred_qb_rush_yards,pred_qb_receptions,pred_rush_yards,pred_rec_yards,pred_rb_receptions,pred_wr_rec_yards,pred_wr_receptions,pred_te_rec_yards,pred_te_receptions,off_epa_rank,implied_team_total,injury_status_score,actual_half_ppr,projection_error,absolute_error
sleeper:13311,Chris Bell,WR,MIA,KC,2026,3,0.5560342750504086,,13311,synthetic_sleeper,2026_03_KC_MIA,2026-09-27 13:00:00-04:00,3.0,3.0,2.58,none,,,,,,,8.224099800996814,1.095605038846463,,,26.0,17.25,1.0,,,
sleeper:13279,Carnell Tate,WR,TEN,NYG,2026,3,0.5552776493388852,,13279,synthetic_sleeper,2026_03_TEN_NYG,2026-09-27 13:00:00-04:00,1.0,1.0,8.06,none,,,,,,,3.6876290586489104,0.4705920782880088,,,27.0,18.75,1.0,,,
00-0040277,Jahdae Walker,WR,CHI,PHI,2026,3,0.5495328032566971,00-0040277,13079,historical_crosswalk,2026_03_PHI_CHI,2026-09-28 20:15:00-04:00,4.0,4.0,1.57,none,,,,,,,6.0888213850957325,0.5413384921932708,,,7.0,20.5,1.0,,,
00-0035406,Lil'Jordan Humphrey,WR,DEN,LA,2026,3,0.5419230676161659,00-0035406,5938,sleeper_gsis,2026_03_LA_DEN,2026-09-27 20:20:00-04:00,6.0,6.0,1.42,none,,,,,,,8.266391117878564,0.5733615721083554,,,20.0,21.5,1.0,,,
00-0039739,Roman Wilson,WR,PIT,CIN,2026,3,0.5314517084557061,00-0039739,11630,historical_crosswalk,2026_03_CIN_PIT,2026-09-27 13:00:00-04:00,3.0,3.0,4.5,none,,,,,,,4.777822306682595,0.7320374597971173,,,10.0,19.5,1.0,,,
sleeper:13346,Denzel Boston,WR,CLE,CAR,2026,3,0.4994636615977454,,13346,synthetic_sleeper,2026_03_CAR_CLE,2026-09-27 13:00:00-04:00,1.0,1.0,8.01,none,,,,,,,3.628318070753731,0.2916081900160037,,,29.0,19.5,1.0,,,
00-0040648,Tory Horton,WR,SEA,WAS,2026,3,0.4140697746544374,00-0040648,12497,historical_crosswalk,2026_03_SEA_WAS,2026-09-27 13:00:00-04:00,4.0,4.0,3.1,none,,,,,,,5.907845216823951,0.7050638883301756,,,16.0,23.75,1.0,,,
sleeper:13317,Ted Hurst,WR,TB,MIN,2026,3,0.4124504857219562,,13317,synthetic_sleeper,2026_03_MIN_TB,2026-09-27 16:05:00-04:00,4.0,4.0,5.03,none,,,,,,,6.230415695675366,0.3349219587814804,,,11.0,20.5,1.0,,,
00-0039792,Devontez Walker,WR,BAL,DAL,2026,3,0.4123099661692379,00-0039792,11629,historical_crosswalk,2026_03_BAL_DAL,2026-09-27 16:25:00-04:00,4.0,4.0,2.17,none,,,,,,,7.05299205003656,0.7408975421640469,,,2.0,27.75,1.0,,,
00-0038519,Nikko Remigio,WR,KC,MIA,2026,3,0.3927947268883364,00-0038519,11320,historical_crosswalk,2026_03_KC_MIA,2026-09-27 13:00:00-04:00,6.0,6.0,0.15,none,,,,,,,0.941542015252766,0.1140936853103443,,,32.0,28.75,1.0,,,
00-0038840,Brycen Tremayne,WR,CAR,CLE,2026,3,0.3714399306590108,00-0038840,11157,historical_crosswalk,2026_03_CAR_CLE,2026-09-27 13:00:00-04:00,4.0,4.0,0.87,none,,,,,,,1.1237688798433432,0.1077714807766527,,,25.0,22.5,1.0,,,
sleeper:13294,Makai Lemon,WR,PHI,CHI,2026,3,0.3658158683282979,,13294,synthetic_sleeper,2026_03_PHI_CHI,2026-09-28 20:15:00-04:00,3.0,3.0,6.1,none,,,,,,,3.591082019453893,0.3266746807624281,,,14.0,23.5,1.0,,,
sleeper:13411,Zavion Thomas,WR,CHI,PHI,2026,3,0.334234396910132,,13411,synthetic_sleeper,2026_03_PHI_CHI,2026-09-28 20:15:00-04:00,5.0,5.0,0.22,none,,,,,,,6.086334853996472,0.4119977527999837,,,7.0,20.5,1.0,,,
00-0040582,Arian Smith,WR,NYJ,DET,2026,3,0.3321404129272426,00-0040582,12539,historical_crosswalk,2026_03_NYJ_DET,2026-09-27 13:00:00-04:00,4.0,4.0,0.27,none,,,,,,,0.9231939251602124,0.3241767390647296,,,30.0,20.75,1.0,,,
sleeper:13274,Germie Bernard,WR,PIT,CIN,2026,3,0.3278158747467388,,13274,synthetic_sleeper,2026_03_CIN_PIT,2026-09-27 13:00:00-04:00,4.0,4.0,3.41,none,,,,,,,4.451509102987483,0.9632675860058316,,,10.0,19.5,1.0,,,
