"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Josh Allen","DL","JAC",8,61.4,6.72,0.0414,56,68.4,-6.21,-2.29,-15.7,174,143,265,25,"2",28,NA,9.46,2,6
"Josh Allen","DL","JAC",8,61.4,6.72,0.0414,56,68.4,-6.21,-2.29,-15.7,174,143,265,25,"2",28,NA,9.46,37,6
"Logan Wilson","LB","CIN",10,111,38.7,0.916,81.1,151,-6.24,-10.4,-3.17,176,211,157,13,"1",30,NA,9.7,46,5
"Jared Verse","DL","LAR",8,61.4,16.4,0.0939,49.4,78.8,-6.25,-8.9,-5.34,177,198,170,26,"2",25,NA,NA,42,1
"Jared Verse","DL","LAR",8,61.4,16.4,0.0939,49.4,78.8,-6.25,-8.9,-5.34,177,198,170,26,"2",25,NA,NA,90,1
"Zach Allen","DL","DEN",12,61.3,19.2,1.12,48.2,81.8,-6.34,-10.1,-2.33,178,207,149,27,"2",28,NA,5.86,60,6
"Jordan Mason","RB","MIN",6,109,16.3,0.311,74.1,128,-6.62,-9.83,-24.9,179,206,339,36,"10",27,100,7.64,35,3
"Dak Prescott","QB","DAL",10,264,10.1,4.69,248,279,-6.82,-11.3,-19.8,180,220,300,15,"7",32,90.4,8.72,56,9
"Jacory Croskey-Merritt","RB","WAS",12,109,38.3,6.48,23.2,138,-6.93,-60.8,-15.1,181,581,257,37,"10",25,99,10.8,90,0
"Julian Blackmon","DB","NO",11,98.1,NA,4.48,NA,NA,-6.95,NA,NA,182,NA,NA,20,"2",27,NA,4.54,91,5
"Jordan Addison","WR","MIN",6,120,18.9,0.301,99.5,161,-7.08,-5.3,5.99,183,170,98,40,"7",24,104,4.25,68,2
"Lavonte David","LB","TB",9,110,26.5,0.503,93,138,-7.16,1.48,-16.5,184,123,270,14,"1",36,NA,14.2,7,13
"Bills","DST","BUF",7,88.6,9,2.25,69.4,94.2,-7.23,-17.4,-12.3,185,269,227,8,"6",NA,131,1.32,42,NA
"Keon Coleman","WR","BUF",7,120,18.4,0.78,95.8,142,-7.38,-9.01,-12.5,186,200,231,41,"7",23,117,3.27,79,1
"Will Reichard","K","MIN",6,139,8.78,0.0182,129,154,-7.46,-7.13,-2.22,187,183,147,15,"2",25,166,1.67,84,1
"Travon Walker","DL","JAC",8,60.2,15.7,0.371,50,77,-7.46,-8.3,-7.15,188,192,183,28,"2",25,NA,7.32,31,3
"Travon Walker","DL","JAC",8,60.2,15.7,0.371,50,77,-7.46,-8.3,-7.15,188,192,183,28,"2",25,NA,7.32,77,3
"Daniel Carlson","K","LVR",8,139,8.79,1.9,123,147,-7.47,-13.6,-8.93,189,234,202,16,"2",31,173,1.49,61,7
"Jonnu Smith","TE","PIT",5,80.2,15.8,1.98,56.7,107,-7.51,-18.4,2.09,190,275,115,19,"7",30,143,1.84,83,8
"Nick Bolton","LB","KC",10,109,24.8,0.0643,91.3,136,-7.66,-0.189,-19.1,191,133,294,15,"1",26,NA,7.46,10,4
"Bobby Wagner","LB","WAS",12,109,33.9,0.0352,86.2,145,-7.72,-5.27,-9.33,192,169,204,16,"1",36,NA,12.2,25,13
"T.J. Edwards","LB","CHI",5,109,23.7,0.643,94.1,135,-7.76,2.66,-20.2,193,115,302,17,"1",29,NA,11.1,5,6
"George Karlaftis","DL","KC",10,59.8,13,0.178,47.4,72.2,-7.83,-10.9,-11.9,194,215,224,29,"2",25,NA,7.01,29,3
"Jermaine Johnson","DL","NYJ",9,59.6,15.9,0.552,49.5,76.6,-8.01,-8.81,-7.51,195,197,187,30,"3",27,NA,NA,59,3
"Jermaine Johnson","DL","NYJ",9,59.6,15.9,0.552,49.5,76.6,-8.01,-8.81,-7.51,195,197,187,30,"3",27,NA,NA,78,3
"Rashid Shaheed","WR","NO",11,119,8.16,0.219,105,132,-8.16,0.155,-23.1,196,129,328,42,"7",27,144,2.64,29,3
"Jayden Reed","WR","GB",5,119,18.6,0.63,86.2,151,-8.38,-18.6,-4.39,197,279,164,43,"7",26,125,2.51,81,2
"Bobby Okereke","LB","NYG",14,109,37.8,0.816,84.2,149,-8.4,-7.25,-5.68,198,184,173,18,"1",29,NA,11.5,77,6
"Carl Granderson","DL","NO",11,59.1,15.8,0.358,44.1,74.5,-8.56,-14.2,-9.6,199,242,207,31,"3",29,NA,NA,62,6
"Khalil Mack","DL","LAC",12,58.7,4.67,0.262,55.8,63.7,-8.92,-2.49,-20.4,200,146,305,32,"3",35,NA,4.8,1,11
"Khalil Mack","DL","LAC",12,58.7,4.67,0.262,55.8,63.7,-8.92,-2.49,-20.4,200,146,305,32,"3",35,NA,4.8,33,11
"Cooper Kupp","WR","SEA",8,118,17.9,0.685,101,152,-9.01,-3.9,-2.82,201,155,153,44,"7",33,104,7.32,56,8
"Kobie Turner","DL","LAR",8,58.4,18.3,0.511,44.5,77.7,-9.18,-13.8,-6.39,202,236,177,33,"3",27,NA,8.02,48,2
"Blake Cashman","LB","MIN",6,108,43.2,0.579,81.2,154,-9.22,-10.3,-0.707,203,209,133,19,"1",30,NA,16.6,69,6
"Joshua Karty","K","LAR",8,137,6.87,0.187,130,146,-9.37,-6.36,-10.2,204,177,210,17,"2",24,164,1.49,23,1
"49ers","DST","SF",14,86.4,9.99,0.0147,68,95.6,-9.48,-18.7,-10.9,205,282,218,9,"6",NA,147,0.893,87,NA
"Cade Otton","TE","TB",9,78.2,8.2,3.18,67.4,90,-9.49,-7.69,-15.2,206,188,258,20,"7",27,160,1.49,34,3
"Cowboys","DST","DAL",10,86.4,12.2,0.405,73.2,104,-9.49,-13.5,-2.76,207,233,151,10,"6",NA,156,0.65,94,NA
"Cam Little","K","JAC",8,137,10.4,1.76,121,156,-9.56,-15.1,-0.187,208,253,131,18,"2",22,157,2.17,74,1
"Stefon Diggs","WR","NE",14,118,12.9,2.56,97.5,140,-9.69,-7.33,-15.2,209,185,259,45,"7",32,96.7,8.36,40,10
"Byron Young","DL","LAR",8,57.9,18.9,0.0145,44.3,70.3,-9.69,-14,-13.8,210,238,243,34,"3",28,NA,NA,94,2
"Zach Sieler","DL","MIA",12,57.9,23.7,0.679,39.2,82.8,-9.71,-19.1,-1.29,211,285,137,35,"3",30,NA,NA,85,7
"Azeez Al-Shaair","LB","HOU",6,107,36.2,1.35,85.1,146,-9.8,-6.34,-8.8,212,176,197,20,"1",28,NA,21.1,38,6
"Seahawks","DST","SEA",8,86,5.47,0.182,78.4,92.6,-9.9,-8.41,-14,213,193,247,11,"6",NA,156,1.1,19,NA
"Steelers","DST","PIT",5,85.8,5.57,0.0487,77.8,93.6,-10.1,-8.94,-12.9,214,199,237,12,"6",NA,124,2.13,6,NA
"Commanders","DST","WAS",12,85.7,12.1,0.263,65.3,96.2,-10.1,-21.5,-10.3,215,314,213,13,"7",NA,161,0.75,84,NA
"Giants","DST","NYG",14,85.5,14.1,0.299,66.5,102,-10.4,-20.2,-4.73,217,298,166,14,"7",NA,152,0.6,99,NA
"Kyle Van Noy","DL","BAL",7,57.2,6.36,1.89,52.6,61.4,-10.4,-5.66,-22.7,216,174,326,36,"3",35,NA,3.26,36,11
"Kyle Van Noy","DL","BAL",7,57.2,6.36,1.89,52.6,61.4,-10.4,-5.66,-22.7,216,174,326,36,"3",35,NA,3.26,72,11
"Chiefs","DST","KC",10,85.2,8.24,0.197,72.5,93.9,-10.7,-14.3,-12.6,218,243,233,15,"7",NA,158,0.685,35,NA
"Lions","DST","DET",8,85,10.3,1.08,65.6,93.8,-10.9,-21.2,-12.7,219,309,236,16,"8",NA,153,1.25,48,NA
"Jack Campbell","LB","DET",8,106,43,1.05,79.2,152,-11.1,-12.3,-2.94,220,226,154,21,"1",25,NA,NA,66,2
"Jason Myers","K","SEA",8,135,3.21,0.553,130,139,-11.3,-6.01,-16.9,221,175,274,19,"2",35,165,1.69,6,NA
"Coby Bryant","DB","SEA",8,93.6,24.7,0.815,66.9,113,-11.4,-20.6,-14.8,222,306,252,21,"2",27,NA,5.52,59,3
"C.J. Stroud","QB","HOU",6,259,15.3,0.496,235,281,-11.5,-24.1,-17.1,223,341,275,16,"7",24,126,3.84,58,2
"Jake Moody","K","SF",14,134,7.88,0.384,126,149,-11.9,-10.2,-7.07,224,208,182,20,"2",26,167,1.68,52,2
"J.J. McCarthy","QB","MIN",6,259,15.9,1.65,238,283,-12,-20.5,-15.3,226,305,260,17,"7",23,129,3.23,81,1
"Chargers","DST","LAC",12,83.9,8.57,0.0552,72.4,94.5,-12,-14.4,-12,225,246,226,17,"8",NA,163,0.5,58,NA
"Cardinals","DST","ARI",8,83.8,12.4,0.448,62.1,95.7,-12,-24.6,-10.8,227,349,217,18,"9",NA,161,0.877,97,NA
"Tyrel Dodson","LB","MIA",12,105,30.1,0.181,80.5,136,-12.2,-11,-18.5,228,216,284,22,"1",28,NA,6.34,20,6
"Chamarri Conner","DB","KC",10,92.8,10.1,0.665,85.5,99.4,-12.2,-1.96,-27.8,229,140,361,22,"2",26,NA,NA,95,2
"Michael Pittman","WR","IND",11,115,9.28,1.29,101,128,-12.3,-3.71,-26.6,230,154,351,46,"7",28,115,5.26,15,5
"Cairo Santos","K","CHI",5,134,6.61,1.74,125,142,-12.3,-10.8,-13.4,231,214,239,21,"3",34,173,0.946,35,11
"Keion White","DL","NE",14,55.3,15,0.731,44.5,65.2,-12.3,-13.8,-18.9,232,235,292,37,"3",27,NA,NA,74,2
"Keion White","DL","NE",14,55.3,15,0.731,44.5,65.2,-12.3,-13.8,-18.9,232,235,292,37,"3",27,NA,NA,95,2
"Alex Anzalone","LB","DET",8,105,26.3,1.93,86.8,133,-12.4,-4.65,-22,233,162,320,23,"1",31,NA,6.22,21,8
"Browns","DST","CLE",9,83.4,11.9,0.223,64.4,97.5,-12.5,-22.4,-9.05,234,323,203,19,"9",NA,167,0,90,NA
"Chigoziem Okonkwo","TE","TEN",10,75,8.26,0.118,65.7,90.6,-12.7,-9.37,-14.6,235,202,250,21,"7",26,172,2.13,37,3
"Bengals","DST","CIN",10,83.2,6.57,0.582,72.7,90.6,-12.7,-14.1,-15.9,236,239,267,20,"10",NA,158,0,32,NA
"Brenton Strange","TE","JAC",8,74.9,9.78,1.62,60.4,89.6,-12.8,-14.7,-15.6,237,248,264,22,"8",25,170,2.69,66,2
"Mike Sainristil","DB","WAS",12,92.1,18.9,0.85,78.1,112,-12.9,-9.43,-15.1,238,203,256,23,"2",25,NA,NA,34,1
"D.J. Wonnum","DL","CAR",14,54.6,12.7,0.991,43.3,67.3,-13,-15,-16.8,239,251,273,38,"3",28,NA,4.99,38,5
"D.J. Wonnum","DL","CAR",14,54.6,12.7,0.991,43.3,67.3,-13,-15,-16.8,239,251,273,38,"3",28,NA,4.99,16,5
"Raiders","DST","LVR",8,82.6,10.8,1.04,66.4,95,-13.3,-20.4,-11.5,240,303,222,21,"11",NA,170,0,39,NA
"Tank Bigsby","RB","JAC",8,102,19.1,0.211,80.8,134,-13.4,-3.14,-19.2,241,149,295,38,"10",23,115,3.5,48,2
"Emeka Egbuka","WR","TB",9,114,16,2.09,96.1,145,-13.5,-8.66,-10.3,242,195,212,47,"7",23,91.7,11.1,63,0
"Joe Mixon","RB","HOU",6,102,49.4,0.983,10.6,181,-13.6,-73.4,28.1,243,654,49,39,"10",29,103,7.4,97,8
"Drake Maye","QB","NE",14,257,15.7,2.26,231,269,-13.7,-28.1,-29.1,244,375,371,18,"7",23,121,4.26,64,1
"Tyrique Stevenson","DB","CHI",5,91.3,14.3,1.09,80.8,106,-13.8,-6.72,-20.9,245,178,309,24,"2",26,NA,NA,74,2
"Chad Ryland","K","ARI",8,132,10.6,0.659,117,150,-14,-19.5,-5.95,246,289,175,22,"3",26,178,0,90,2
"YaYa Diaby","DL","TB",9,53.6,11.2,0.332,43.3,64.6,-14,-15,-19.5,247,252,296,39,"3",27,NA,3.38,24,2
"YaYa Diaby","DL","TB",9,53.6,11.2,0.332,43.3,64.6,-14,-15,-19.5,247,252,296,39,"3",27,NA,3.38,49,2
"Buccaneers","DST","TB",9,81.5,9.63,0.00116,64.3,92.3,-14.3,-22.4,-14.3,249,325,249,22,"11",NA,168,0.2,45,NA
"Bears","DST","CHI",5,81.5,8.98,0.277,68.2,91,-14.3,-18.6,-15.5,250,280,262,23,"11",NA,151,0.767,61,NA
"Josh Sweat","DL","ARI",8,53.3,9.47,0.022,45.2,63,-14.3,-13.1,-21.1,252,231,312,40,"3",29,NA,5.35,20,7
"Josh Sweat","DL","ARI",8,53.3,9.47,0.022,45.2,63,-14.3,-13.1,-21.1,252,231,312,40,"3",29,NA,5.35,57,7
"Edgerrin Cooper","LB","GB",5,103,38.1,0.0199,71.3,142,-14.3,-20.1,-12.4,248,296,229,24,"1",24,NA,NA,54,1
"Patrick Queen","LB","PIT",5,103,35.7,0.391,81.1,141,-14.3,-10.4,-13.9,251,210,246,25,"1",26,NA,13.2,36,5
"Dalton Schultz","TE","HOU",6,73.3,9.75,2.02,56.6,87.9,-14.4,-18.5,-17.3,254,277,277,23,"8",30,164,2.05,54,7
"Jonathon Cooper","DL","DEN",12,53.3,17.1,0.546,37.6,70.4,-14.4,-20.7,-13.7,253,307,241,41,"3",28,NA,NA,56,4
"Jonathon Cooper","DL","DEN",12,53.3,17.1,0.546,37.6,70.4,-14.4,-20.7,-13.7,253,307,241,41,"3",28,NA,NA,70,4
"Jerome Ford","RB","CLE",9,101,24.3,0.0955,80.4,153,-14.6,-3.55,0,256,152,130,40,"10",26,137,3.75,76,3
"Falcons","DST","ATL",5,81.3,9.23,0.523,68.5,93.2,-14.6,-18.3,-13.3,255,274,238,24,"12",NA,170,0,52,NA
"Cam Skattebo","RB","NYG",14,101,18,0.953,79.1,138,-14.7,-4.81,-15.3,258,163,261,41,"10",24,118,4.02,51,0
"Spencer Shrader","K","IND",11,131,18.6,4.65,101,154,-14.7,-35.4,-1.6,257,437,142,23,"3",27,169,0,77,1
"Demario Davis","LB","NO",11,102,38.7,0.063,72.6,143,-14.7,-18.9,-11.7,259,284,223,26,"1",37,NA,4.68,61,13
"Quincy Williams","LB","NYJ",9,102,24.5,0.586,87.1,128,-14.8,-4.37,-26.4,260,161,347,27,"1",29,NA,7.97,3,6
"Xavier McKinney","DB","GB",5,90.2,16.1,1.24,74,105,-14.8,-13.5,-22.1,261,232,322,25,"2",26,NA,8.14,16,5
"Dexter Lawrence","DL","NYG",14,52.7,22.3,1.2,33.2,75.5,-14.9,-25.1,-8.6,262,352,196,42,"3",28,NA,NA,84,6
"Jets","DST","NYJ",9,80.7,9.25,0.301,66.7,90.5,-15.1,-20,-16,263,294,268,25,"12",NA,172,0.3,68,NA
"Colts","DST","IND",11,80.4,3.74,0.556,74.3,84.3,-15.4,-12.5,-22.2,265,227,323,26,"13",NA,166,0.5,26,NA
"Terrel Bernard","LB","BUF",7,102,43.4,2.21,63.3,146,-15.4,-28.2,-8.89,264,377,200,28,"1",27,NA,9.58,79,3
"Chris Godwin","WR","TB",9,112,19.9,0.555,93.2,154,-15.6,-11.6,-1.03,266,221,136,48,"7",30,112,5.38,85,8
"Nick Chubb","RB","HOU",6,100,20.4,2.91,71.1,134,-15.7,-12.8,-19.5,267,229,298,42,"10",30,124,5.21,73,7
"Trevor Lawrence","QB","JAC",8,255,13.9,1.89,230,274,-15.9,-29.3,-24.8,268,387,338,19,"7",26,135,3.59,61,4
"Dolphins","DST","MIA",12,79.9,13,1.55,62.2,94.1,-16,-24.6,-12.4,269,348,230,27,"14",NA,185,0,77,NA
"Adam Butler","DL","LVR",8,51.5,19.4,0.285,38,72.2,-16.1,-20.3,-11.9,271,301,225,43,"3",32,NA,NA,99,NA
"Justin Reid","DB","NO",11,89,23.5,0.0489,70.6,114,-16.1,-16.9,-13.7,270,266,240,26,"2",29,NA,NA,47,7
"Alontae Taylor","DB","NO",11,88.9,15.9,0.0391,75.6,105,-16.1,-11.9,-21.9,272,223,319,27,"2",27,NA,4.97,28,3
"Rashee Rice","WR","KC",10,111,21.3,0.064,88.3,153,-16.2,-16.5,-2.45,274,262,150,49,"7",26,77.6,9.41,89,2
"Quentin Lake","DB","LAR",8,88.9,24.6,0.0389,70.8,115,-16.2,-16.7,-12.3,273,264,228,28,"2",27,NA,NA,57,3
"Calen Bullock","DB","HOU",6,88.8,5.3,0.921,85.3,92.6,-16.2,-2.2,-34.7,275,142,398,29,"2",23,NA,NA,48,1
"Khalil Shakir","WR","BUF",7,111,12.5,3.32,89.4,130,-16.3,-15.4,-24.9,276,256,340,50,"8",26,115,4.28,21,3
"Isaiah Likely","TE","BAL",7,71.3,12.1,0.213,60.4,92.7,-16.4,-14.6,-12.5,278,247,232,24,"8",26,158,2.4,69,3
"Tuli Tuipulotu","DL","LAC",12,51.2,7.33,0.848,44.4,58.5,-16.4,-13.9,-25.6,277,237,345,44,"3",23,NA,NA,10,2
"Tuli Tuipulotu","DL","LAC",12,51.2,7.33,0.848,44.4,58.5,-16.4,-13.9,-25.6,277,237,345,44,"3",23,NA,NA,15,2
"Pat Freiermuth","TE","PIT",5,71.1,10,0.0173,54.8,86.4,-16.6,-20.2,-18.8,279,297,288,25,"8",27,163,2.47,46,4
"Juwan Johnson","TE","NO",11,71.1,11.6,0.0287,52.3,86.6,-16.7,-22.8,-18.6,280,329,286,26,"8",29,170,1.45,74,5
"Mike Gesicki","TE","CIN",10,71,4.85,1.4,66.3,80.5,-16.7,-8.71,-24.7,281,196,337,27,"8",30,169,2.02,20,7
"Jalen Thompson","DB","ARI",8,87.9,28,0.51,64.5,117,-17.1,-23,-10.5,282,330,215,30,"2",27,NA,NA,53,6
"Nolan Smith","DL","PHI",9,50.4,17.4,0.433,36.3,68.5,-17.2,-22,-15.6,283,317,263,45,"3",25,NA,3.43,65,2
"Nolan Smith","DL","PHI",9,50.4,17.4,0.433,36.3,68.5,-17.2,-22,-15.6,283,317,263,45,"3",25,NA,3.43,86,2
"Saints","DST","NO",11,78.3,13.8,1.26,55.8,92.7,-17.5,-30.9,-13.8,284,404,242,28,"15",NA,170,0,65,NA
"Quay Walker","LB","GB",5,99.3,42.7,1.93,72.8,145,-17.6,-18.7,-9.63,285,281,209,29,"1",26,NA,6.02,59,3
"Jalen Pitre","DB","HOU",6,87.4,27,0.0351,60.2,113,-17.6,-27.3,-14.7,286,371,251,31,"2",27,NA,NA,55,3
"Quinnen Williams","DL","NYJ",9,49.9,13.5,0.147,38.5,63.9,-17.7,-19.8,-20.3,287,292,304,46,"3",28,NA,NA,43,6
"Tyler Nubin","DB","NYG",14,87.4,29.2,1.02,67.2,118,-17.7,-20.3,-8.82,288,300,198,32,"2",25,NA,6.58,64,1
"Jordan Love","QB","GB",5,253,12.7,8.23,232,269,-17.8,-26.6,-29.5,289,364,378,20,"8",27,124,4.6,53,5
"Kwity Paye","DL","IND",11,49.8,10.7,0.202,43.1,61.3,-17.8,-15.3,-22.8,290,255,327,47,"3",27,NA,NA,22,4
"Arden Key","DL","TEN",10,49.6,13.3,0.29,41.1,63.9,-18,-17.2,-20.2,291,267,303,48,"3",30,NA,NA,53,7
"Darren Waller","TE","MIA",12,69.6,11.8,0.887,49.4,82.7,-18.1,-25.6,-22.5,292,356,324,28,"8",33,159,2.19,86,10
"Christian Barmore","DL","NE",14,49.3,16.5,0.684,37.2,66.8,-18.3,-21.1,-17.3,293,308,278,49,"3",26,NA,NA,80,4
"Rachaad White","RB","TB",9,97.3,13,3.71,78.6,115,-18.6,-5.38,-37.8,294,171,416,43,"11",27,137,2.77,41,3
"Devon Witherspoon","DB","SEA",8,86.3,19.1,0.858,73.1,107,-18.7,-14.4,-20.6,295,245,307,33,"2",25,NA,6.94,40,2
"Jaguars","DST","JAC",8,77.1,13.7,1.01,52,89.9,-18.8,-34.7,-16.6,296,426,271,29,"16",NA,170,0,71,NA
"Mason Taylor","TE","NYJ",9,68.7,9.22,0.529,56.6,86.2,-19,-18.4,-19,297,276,293,29,"8",22,162,1.76,57,0
"Demarcus Lawrence","DL","SEA",8,48.6,10.1,0.467,38.4,57.6,-19,-20,-26.5,298,293,349,50,"3",34,NA,2.64,35,11
"Blake Grupe","K","NO",11,127,10.5,3.08,112,146,-19.3,-24,-9.61,299,340,208,24,"4",27,170,0,48,2
"Tyler Higbee","TE","LAR",8,68.2,11.9,0.875,52.3,89.1,-19.5,-22.7,-16.1,301,328,269,30,"8",33,183,1.42,77,9
"Braden Fiske","DL","LAR",8,48.2,7.07,0.186,43.1,52.8,-19.5,-15.2,-31.3,300,254,387,51,"3",26,NA,NA,17,1
"Cody Barton","LB","TEN",10,97.4,25.1,1,80.8,124,-19.5,-10.7,-30.4,302,212,380,30,"1",29,NA,8.33,11,6
"Marvin Mims","WR","DEN",12,108,18.2,0.135,88.7,141,-19.6,-16.1,-13.9,304,259,245,51,"8",24,140,2.52,82,2
"B.J. Hill","DL","CIN",10,48,21.9,0.0992,34.1,71.4,-19.6,-24.2,-12.7,305,343,234,52,"3",31,NA,NA,99,7
"Eric Murray","DB","JAC",8,85.5,26.6,0.873,58,108,-19.6,-29.5,-18.9,303,389,291,34,"2",32,NA,3.94,88,9
"Darnell Mooney","WR","ATL",5,108,14,0.41,85.4,131,-19.7,-19.4,-24.3,306,287,334,52,"8",28,137,2.98,47,5
"AShawn Robinson","DL","CAR",14,47.9,17.3,0.0264,37.1,66.4,-19.7,-21.2,-17.7,307,311,282,53,"3",31,NA,2.76,73,9
"Titans","DST","TEN",10,76.1,13.4,3.03,56.7,89,-19.8,-30.1,-17.6,309,393,280,30,"17",NA,170,0,55,NA
"Chris Jones","DL","KC",10,47.8,16,1.27,35.1,64.6,-19.8,-23.2,-19.5,308,337,297,54,"4",32,NA,NA,52,9
"Josh Downs","WR","IND",11,107,13.8,2.65,93.6,133,-20.1,-11.2,-21.8,310,218,318,53,"8",24,133,2.62,34,2
"Theo Johnson","TE","NYG",14,67.3,15.9,4.14,34.2,84.7,-20.4,-40.8,-20.6,311,479,306,31,"9",25,184,1.02,89,1
"Byron Murphy","DB","MIN",6,84.6,13.2,0.0867,73.3,98.1,-20.4,-14.2,-29.2,312,241,375,35,"2",28,NA,5.4,26,6
"Tremaine Edmunds","LB","CHI",5,96.4,32.8,1.5,72.7,131,-20.5,-18.8,-23.4,313,283,330,31,"1",28,NA,6.67,26,7
"Talanoa Hufanga","DB","DEN",12,84.5,22.7,0.124,68.1,109,-20.5,-19.4,-18.6,314,288,287,36,"3",26,NA,3.82,43,4
"Deommodore Lenoir","DB","SF",14,84.4,28.2,0.441,60.3,113,-20.6,-27.2,-13.9,315,367,244,37,"3",26,NA,NA,97,4
"Jonathan Allen","DL","MIN",6,46.6,16.4,0.0287,32.5,63.5,-21,-25.8,-20.7,316,357,308,55,"4",31,NA,NA,64,8
"Zaven Collins","DL","ARI",8,46.5,12.7,0.0242,36.3,59.9,-21.1,-22,-24.2,317,316,333,56,"4",27,NA,NA,81,4
"Grover Stewart","DL","IND",11,46.5,22,0.209,32.8,70.1,-21.1,-25.5,-14,319,354,248,57,"4",32,NA,NA,98,8
"Josh Metellus","DB","MIN",6,84,29.5,0.921,54.9,112,-21.1,-32.6,-15.8,318,412,266,38,"3",28,NA,5.78,67,5
"Jalen Carter","DL","PHI",9,46.3,15.7,0.175,35.9,63.1,-21.3,-22.4,-21,320,324,311,58,"4",25,NA,NA,51,2
"Boye Mafe","DL","SEA",8,46.1,12,0.004,35.7,58.4,-21.5,-22.6,-25.7,321,326,346,59,"4",27,NA,NA,23,3
"Boye Mafe","DL","SEA",8,46.1,12,0.004,35.7,58.4,-21.5,-22.6,-25.7,321,326,346,59,"4",27,NA,NA,47,3
"Jayson Oweh","DL","BAL",7,46.1,6.75,0.477,42,53.3,-21.5,-16.3,-30.8,322,260,385,60,"4",27,NA,NA,7,4
"Jayson Oweh","DL","BAL",7,46.1,6.75,0.477,42,53.3,-21.5,-16.3,-30.8,322,260,385,60,"4",27,NA,NA,19,4
"Carson Schwesinger","LB","CLE",9,94.9,28.7,0.488,76.7,126,-22,-14.8,-29.1,325,250,372,32,"1",23,NA,NA,52,0
"Taron Johnson","DB","BUF",7,83,17.2,0.289,65.4,98.7,-22,-22.1,-28.6,324,318,367,39,"3",29,NA,NA,24,7
"Najee Harris","RB","LAC",12,93.6,18.2,0.304,76.5,124,-22.3,-7.44,-28.9,327,187,369,44,"11",28,133,4.41,65,4
"Amani Hooker","DB","TEN",10,82.8,26.3,0.0356,60.5,110,-22.3,-27,-17.5,328,365,279,40,"3",28,NA,NA,66,6
"Kamren Curl","DB","LAR",8,82.7,24.3,0.0476,59.4,106,-22.3,-28.1,-20.9,329,376,310,41,"3",27,NA,NA,81,5
"Andres Borregales","K","NE",14,124,13.2,1.73,101,137,-22.4,-34.7,-18.5,331,425,285,25,"4",23,170,0,55,0
"Zyon McCollum","DB","TB",9,82.7,18.7,0.0867,71.1,103,-22.4,-16.4,-24.6,330,261,336,42,"3",27,NA,NA,72,3
"Frankie Luvu","LB","WAS",12,94.4,30.2,2.08,74.2,127,-22.5,-17.2,-28,333,268,363,33,"1",29,NA,10.6,15,7
"Tony Adams","DB","NYJ",9,82.6,37.1,0.778,45.3,116,-22.5,-42.2,-11,332,490,219,43,"3",27,NA,6.5,98,3
"Quinshon Judkins","RB","CLE",9,93.3,39.5,0.86,33.2,162,-22.6,-50.7,8.98,334,529,92,45,"11",22,120,3.83,93,0
"Rashod Bateman","WR","BAL",7,105,15.9,3.29,83,130,-22.8,-21.8,-25.2,335,315,343,54,"8",26,145,3.14,71,4
"Patriots","DST","NE",14,73,10.3,1.18,57.5,82.9,-22.8,-29.3,-23.6,336,383,332,31,"18",NA,166,1.05,81,NA
"Marlon Humphrey","DB","BAL",7,81.8,13.9,0.198,71.7,96.5,-23.2,-15.8,-30.7,339,257,384,44,"3",30,NA,NA,19,8
"Trey Benson","RB","ARI",8,92.4,11.5,4.29,71.9,105,-23.4,-12.1,-47.9,341,224,448,46,"11",23,138,3.31,39,1
"Tykee Smith","DB","TB",9,81.6,11.4,0.209,69.5,90.7,-23.4,-18,-36.6,342,272,406,45,"3",25,NA,NA,14,1
"Jaylon Jones","DB","IND",11,81.4,NA,0.147,NA,NA,-23.7,NA,NA,344,NA,NA,46,"3",24,NA,4.34,NA,2
"Paulson Adebo","DB","NYG",14,81.3,31.6,0.17,51.4,112,-23.8,-36.1,-15,345,438,255,47,"3",27,NA,NA,76,4
"Panthers","DST","CAR",14,71.8,12.1,0,57.1,86.7,-24,-29.7,-19.8,349,391,301,32,"18",NA,170,0.1,29,NA
"Isaiah Pola-Mao","DB","LVR",8,81.1,23.3,0.575,63.3,106,-24,-24.2,-21.6,348,342,315,48,"3",27,NA,NA,78,3
"Nick Folk","K","NYJ",9,122,16.7,0.00798,93.1,136,-24.1,-43,-19.6,351,497,299,26,"4",41,170,0.1,71,18
"Joey Slye","K","TEN",10,122,6.31,0.449,111,129,-24.1,-25,-26.4,352,351,348,27,"4",30,170,0,3,6
"Robbie Ouzts","TE","SEA",8,63.2,NA,1.85,NA,NA,-24.5,NA,NA,354,NA,NA,32,"9",23,NA,NA,99,0
"Kenny Moore","DB","IND",11,80.5,4.24,0.296,77.7,83.5,-24.5,-9.82,-43.8,355,205,435,49,"3",30,NA,NA,1,8
"Jason Sanders","K","MIA",12,122,18.2,1.57,101,154,-24.6,-35.4,-2,356,436,145,28,"4",30,149,1.82,99,7
"Christian Rozeboom","LB","CAR",14,92.3,40.7,0.387,66.2,136,-24.6,-25.2,-18.9,357,353,289,34,"1",29,NA,8.62,93,5
"Xavier Woods","DB","TEN",10,80.2,1.77,0.181,79,81.5,-24.8,-8.46,-45.8,358,194,444,50,"3",30,NA,NA,2,8
