player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status
00-0037304,Connor Heyward,RB,LV,LAC,2026,2,0.5398373024116133,00-0037304,8181,historical_crosswalk,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,3.0,3.0,0.72,none
00-0037557,Ronnie Rivers,RB,LA,NYG,2026,2,0.4797357277560255,00-0037557,8195,historical_crosswalk,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,4.0,3.0,0.2,none
sleeper:13516,Max Bredeson,RB,MIN,CHI,2026,2,0.4252250426251444,,13516,synthetic_sleeper,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,4.0,4.0,0.1,none
00-0039364,Sione Vaki,RB,DET,BUF,2026,2,0.3817992641116647,00-0039364,11729,historical_crosswalk,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,4.0,3.0,2.51,none
00-0040719,Bhayshul Tuten,RB,JAX,DEN,2026,2,0.2681292050089095,00-0040719,12490,historical_crosswalk,2026_02_JAX_DEN,2026-09-20 16:05:00-04:00,1.0,1.0,8.23,none
00-0039021,Roschon Johnson,RB,CHI,MIN,2026,2,0.22277519459890807,00-0039021,10235,historical_crosswalk,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,4.0,3.0,0.22,none
00-0033376,Patrick Ricard,RB,NYG,LA,2026,2,0.21826945214230456,00-0033376,4353,sleeper_gsis,2026_02_NYG_LA,2026-09-21 20:15:00-04:00,5.0,5.0,0.1,none
00-0039407,Dylan Laube,RB,LV,LAC,2026,2,0.2067629471705818,00-0039407,11574,historical_crosswalk,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,4.0,4.0,0.39,none
00-0038896,Jacob Saylors,RB,DET,BUF,2026,2,0.2010351481747734,00-0038896,11237,historical_crosswalk,2026_02_DET_BUF,2026-09-17 20:15:00-04:00,2.0,2.0,1.07,none
00-0039746,Will Shipley,RB,PHI,TEN,2026,2,0.18200068154326926,00-0039746,11577,historical_crosswalk,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,3.0,3.0,2.04,none
00-0037594,Julius Chestnut,RB,TEN,PHI,2026,2,0.18074291900009948,00-0037594,8254,historical_crosswalk,2026_02_PHI_TEN,2026-09-20 13:00:00-04:00,5.0,4.0,0.32,none
sleeper:13345,Jonah Coleman,RB,DEN,JAX,2026,2,0.1645471872648549,,13345,synthetic_sleeper,2026_02_JAX_DEN,2026-09-20 16:05:00-04:00,3.0,3.0,2.69,none
00-0040238,LeQuint Allen,RB,JAX,DEN,2026,2,0.15827535826834535,00-0040238,12544,historical_crosswalk,2026_02_JAX_DEN,2026-09-20 16:05:00-04:00,3.0,3.0,1.71,none
00-0039603,British Brooks,RB,HOU,CIN,2026,2,0.13793589406703763,00-0039603,12171,historical_crosswalk,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,4.0,3.0,0.16,none
00-0040208,Tahj Brooks,RB,CIN,HOU,2026,2,0.1265034005689754,00-0040208,12543,historical_crosswalk,2026_02_CIN_HOU,2026-09-20 13:00:00-04:00,3.0,3.0,0.7,none
sleeper:13305,Mike Washington,RB,LV,LAC,2026,2,0.11577583103357847,,13305,synthetic_sleeper,2026_02_LV_LAC,2026-09-20 16:05:00-04:00,2.0,2.0,3.45,none
sleeper:13423,Eli Heidenreich,RB,PIT,NE,2026,2,0.06839465263008539,,13423,synthetic_sleeper,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,4.0,3.0,0.49,none
