market,population,universe,panel,threshold,panel_complete_n,split,split_value,n,hits,misses,ties,hit_rate,wilson_lo,wilson_hi,n_ex_ties,hit_rate_ex_ties,mean_actual_gap,median_actual_gap,spearman_consensus_vs_actual_gap,median_adp_overall,too_small_n_lt_10
sleeper_adp,all_adp,A,season_2023,5.0,284,position,WR,24,20,4,0,0.8333333333333334,0.6414692935030095,0.9332132367136704,24,0.8333333333333334,-1.5416666666666667,-5.5,0.6589582479490227,200.5,False
sleeper_adp,all_adp,A,season_2023,5.0,284,season,2023,54,45,9,0,0.8333333333333334,0.7126348577027084,0.9097560835700274,54,0.8333333333333334,2.111111111111111,7.0,0.6642147219984407,221.45,False
sleeper_adp,all_adp,A,season_2023,5.0,284,group,rookie,6,4,2,0,0.6666666666666666,0.299993315138392,0.9032285888942196,6,0.6666666666666666,-6.0,-7.5,0.753702346348183,179.25,True
sleeper_adp,all_adp,A,season_2023,5.0,284,group,veteran,48,41,7,0,0.8541666666666666,0.7283282347525372,0.9275175067339628,48,0.8541666666666666,3.125,8.5,0.6569690876058025,227.55,False
sleeper_adp,all_adp,A,season_2023,7.5,284,all,all,31,28,3,0,0.9032258064516128,0.7510006155660716,0.9665353558368026,31,0.9032258064516128,2.7419354838709675,10.0,0.6815773550223411,233.5,False
sleeper_adp,all_adp,A,season_2023,7.5,284,direction,buy,19,17,2,0,0.8947368421052632,0.6860591728889099,0.97064143970113,19,0.8947368421052632,19.31578947368421,16.0,0.0549908655370232,512.7,False
sleeper_adp,all_adp,A,season_2023,7.5,284,direction,fade,12,11,1,0,0.9166666666666666,0.646120088858883,0.9851349055950828,12,0.9166666666666666,-23.5,-26.0,0.2821878524157918,157.9,False
sleeper_adp,all_adp,A,season_2023,7.5,284,position,RB,10,9,1,0,0.9,0.5958499732047615,0.9821237869049272,10,0.9,4.5,9.0,0.7134278969833519,184.2,False
sleeper_adp,all_adp,A,season_2023,7.5,284,position,TE,6,6,0,0,1.0,0.6096657120978346,1.0,6,1.0,15.833333333333334,15.5,-0.3714285714285715,585.3,True
sleeper_adp,all_adp,A,season_2023,7.5,284,position,WR,15,13,2,0,0.8666666666666667,0.6211801716767764,0.9626387408969346,15,0.8666666666666667,-3.6666666666666665,-6.0,0.6905899032091436,187.9,False
sleeper_adp,all_adp,A,season_2023,7.5,284,season,2023,31,28,3,0,0.9032258064516128,0.7510006155660716,0.9665353558368026,31,0.9032258064516128,2.7419354838709675,10.0,0.6815773550223411,233.5,False
sleeper_adp,all_adp,A,season_2023,7.5,284,group,rookie,3,3,0,0,1.0,0.4385029682449546,1.0,3,1.0,-16.666666666666668,-27.0,1.0,185.6,True
sleeper_adp,all_adp,A,season_2023,7.5,284,group,veteran,28,25,3,0,0.8928571428571429,0.7280414845132785,0.9628816331707,28,0.8928571428571429,4.821428571428571,12.0,0.6295433109259908,235.2,False
sleeper_adp,all_adp,A,season_2023,10.0,284,all,all,22,21,1,0,0.9545454545454546,0.7820195416134267,0.991930572378736,22,0.9545454545454546,7.818181818181818,15.0,0.4901976565769141,320.9,False
sleeper_adp,all_adp,A,season_2023,10.0,284,direction,buy,16,15,1,0,0.9375,0.7167126242970107,0.9888806552353576,16,0.9375,21.375,23.0,-0.2318857943381586,516.7,False
sleeper_adp,all_adp,A,season_2023,10.0,284,direction,fade,6,6,0,0,1.0,0.6096657120978346,1.0,6,1.0,-28.33333333333333,-33.0,0.1470588235294117,174.7,True
sleeper_adp,all_adp,A,season_2023,10.0,284,position,RB,8,7,1,0,0.875,0.5291118177871464,0.9775825085499432,8,0.875,6.375,13.5,0.6386005678432409,334.79999999999995,True
sleeper_adp,all_adp,A,season_2023,10.0,284,position,TE,5,5,0,0,1.0,0.5655175352168251,1.0,5,1.0,15.8,15.0,-0.4999999999999999,574.7,True
sleeper_adp,all_adp,A,season_2023,10.0,284,position,WR,9,9,0,0,1.0,0.7008549515804559,1.0,9,1.0,4.666666666666667,15.0,0.5774109120414489,236.9,True
sleeper_adp,all_adp,A,season_2023,10.0,284,season,2023,22,21,1,0,0.9545454545454546,0.7820195416134267,0.991930572378736,22,0.9545454545454546,7.818181818181818,15.0,0.4901976565769141,320.9,False
sleeper_adp,all_adp,A,season_2023,10.0,284,group,rookie,2,2,0,0,1.0,0.342380227506653,1.0,2,1.0,-33.0,-33.0,,174.7,True
sleeper_adp,all_adp,A,season_2023,10.0,284,group,veteran,20,19,1,0,0.95,0.763868806553258,0.9911185511992048,20,0.95,11.9,15.5,0.3377696917818246,419.95,False
sleeper_adp,all_adp,A,season_2024,0.0,405,all,all,234,191,41,2,0.8162393162393162,0.7616475702353991,0.8606156833362815,232,0.8232758620689655,4.914529914529915,2.0,0.7691363326364485,293.8,False
sleeper_adp,all_adp,A,season_2024,0.0,405,direction,buy,134,109,23,2,0.8134328358208955,0.7390804592772563,0.8703152966779114,132,0.8257575757575758,23.619402985074625,18.0,0.5918645705085807,609.0,False
sleeper_adp,all_adp,A,season_2024,0.0,405,direction,fade,100,82,18,0,0.82,0.7333264161369926,0.8829977450105364,100,0.82,-20.15,-16.0,0.3378987658719512,227.95,False
sleeper_adp,all_adp,A,season_2024,0.0,405,position,QB,33,23,9,1,0.696969696969697,0.5266186485419944,0.8262446857594641,32,0.71875,2.393939393939394,-1.0,0.7613872310546337,512.3,False
sleeper_adp,all_adp,A,season_2024,0.0,405,position,RB,72,62,10,0,0.8611111111111112,0.762868127494437,0.9227726922970102,72,0.8611111111111112,3.055555555555556,2.0,0.7791135251882303,213.0,False
sleeper_adp,all_adp,A,season_2024,0.0,405,position,TE,44,38,5,1,0.8636363636363636,0.7329054695148456,0.9359704550244412,43,0.8837209302325582,5.75,4.5,0.7452360562321075,428.5,False
sleeper_adp,all_adp,A,season_2024,0.0,405,position,WR,85,68,17,0,0.8,0.7028462911516961,0.8712100185598731,85,0.8,7.035294117647059,4.0,0.7733965939903282,400.0,False
sleeper_adp,all_adp,A,season_2024,0.0,405,season,2024,234,191,41,2,0.8162393162393162,0.7616475702353991,0.8606156833362815,232,0.8232758620689655,4.914529914529915,2.0,0.7691363326364485,293.8,False
sleeper_adp,all_adp,A,season_2024,0.0,405,group,rookie,35,31,4,0,0.8857142857142857,0.7404853135378618,0.9546482066690264,35,0.8857142857142857,-9.457142857142856,-8.0,0.7333945280995727,242.4,False
sleeper_adp,all_adp,A,season_2024,0.0,405,group,veteran,199,160,37,2,0.8040201005025126,0.7433327139667721,0.8531922800038166,197,0.8121827411167513,7.442211055276382,4.0,0.7678929309149685,340.0,False
sleeper_adp,all_adp,A,season_2024,5.0,405,all,all,151,134,17,0,0.8874172185430463,0.8271008348721776,0.9285107493320606,151,0.8874172185430463,8.602649006622517,6.0,0.7976204891103461,535.5,False
