population,universe,panel,threshold,panel_complete_n,vs_model_alone_hr_agree,vs_model_alone_hr_no_agree,vs_model_alone_lift,vs_model_alone_ci_lo,vs_model_alone_ci_hi,vs_model_alone_n_agree,vs_model_alone_n_no_agree,vs_model_alone_boot_usable,vs_model_alone_ci_crosses_zero,vs_sleeper_alone_hr_agree,vs_sleeper_alone_hr_no_agree,vs_sleeper_alone_lift,vs_sleeper_alone_ci_lo,vs_sleeper_alone_ci_hi,vs_sleeper_alone_n_agree,vs_sleeper_alone_n_no_agree,vs_sleeper_alone_boot_usable,vs_sleeper_alone_ci_crosses_zero,perm_n,perm_observed,perm_null_mean,perm_null_p95,perm_p_value
all_adp,B,pooled_2023_2025,7.5,1150,0.8664495114006515,0.5217391304347826,0.3447103809658689,0.28369097717793945,0.40697364818352433,307,391,10000,False,0.8664495114006515,0.7351598173515982,0.13128969404905333,0.06022962678577101,0.20051703459707612,307,219,10000,False,307,0.8664495114006515,0.4938117263843648,0.5407166123778502,9.999000099990002e-05
all_adp,B,pooled_2023_2025,10.0,1150,0.8938775510204081,0.5766871165644172,0.31719043445599093,0.2516905934268763,0.3827879513630215,245,326,10000,False,0.8938775510204081,0.7543859649122807,0.1394915861081274,0.06432733873124856,0.2163878314280835,245,171,10000,False,245,0.8938775510204081,0.49409387755102036,0.5469387755102041,9.999000099990002e-05
all_adp,B,pooled_2021_2025,0.0,1679,0.7508021390374332,0.4298375184638109,0.3209646205736223,0.27463495276770733,0.36530481713205737,935,677,10000,False,0.7508021390374332,0.594855305466238,0.1559468335711952,0.10884962724327904,0.20361934151760164,935,622,10000,False,935,0.7508021390374332,0.48985989304812827,0.5165775401069519,9.999000099990002e-05
all_adp,B,pooled_2021_2025,5.0,1679,0.8257261410788381,0.5016181229773463,0.3241080181014918,0.27357397641674885,0.3754420399779548,482,618,10000,False,0.8257261410788381,0.7311827956989247,0.09454334537991338,0.03948183019346217,0.15229465828927896,482,372,10000,False,482,0.8257261410788381,0.4898352697095436,0.5269709543568465,9.999000099990002e-05
all_adp,B,pooled_2021_2025,7.5,1679,0.85,0.5309090909090909,0.3190909090909091,0.26462192916004146,0.3742740650886922,380,550,10000,False,0.85,0.7592592592592593,0.09074074074074068,0.03382166616097038,0.14899420349391992,380,324,10000,False,380,0.85,0.4909481578947369,0.531578947368421,9.999000099990002e-05
all_adp,B,pooled_2021_2025,10.0,1679,0.8838028169014085,0.5707964601769911,0.31300635672441735,0.25441138697711974,0.3708541495856291,284,452,10000,False,0.8838028169014085,0.7704918032786885,0.11331101362272,0.050388649168873145,0.17759923005637931,284,244,10000,False,284,0.8838028169014085,0.4932447183098591,0.5422535211267606,9.999000099990002e-05
drafted_top180,A,pooled_2024_2025,0.0,349,0.6604938271604939,0.44642857142857145,0.21406525573192242,0.10954001713436166,0.3163214579029695,162,168,10000,False,0.6604938271604939,0.5827814569536424,0.07771237020685151,-0.03217662928532487,0.18387189469781234,162,151,10000,True,162,0.6604938271604939,0.48397962962962965,0.5493827160493827,9.999000099990002e-05
drafted_top180,A,pooled_2024_2025,5.0,349,0.85,0.5177304964539007,0.3322695035460993,0.18589855969760166,0.46686436393851527,40,141,10000,False,0.85,0.696969696969697,0.15303030303030296,-0.00953058368869932,0.3103908591408592,40,66,10000,True,40,0.85,0.48744249999999995,0.625,9.999000099990002e-05
drafted_top180,A,pooled_2024_2025,7.5,349,0.9310344827586207,0.5045871559633027,0.42644732679531794,0.2867593309253526,0.5500006871907642,29,109,10000,False,0.9310344827586207,0.75,0.18103448275862066,0.02528301591769087,0.33131925162746195,29,48,10000,False,29,0.9310344827586207,0.49872068965517247,0.6551724137931034,9.999000099990002e-05
drafted_top180,A,pooled_2024_2025,10.0,349,1.0,0.52,0.48,0.36923076923076925,0.5945945945945945,15,75,10000,False,1.0,0.7307692307692307,0.2692307692307693,0.10344827586206895,0.44999999999999996,15,26,10000,False,15,1.0,0.49196000000000006,0.7333333333333333,9.999000099990002e-05
