Pos,Player,Team,Year,Side
ILB,NaVorro Bowman,SFO,2015,defense
ILB,Bobby Wagner,SEA,2015,defense
MLB,Luke Kuechly,CAR,2015,defense
MLB,Derrick Johnson,KAN,2015,defense
LB,Anthony Barr,MIN,2015,defense
LB,K.J. Wright,SEA,2015,defense
CB,Patrick Peterson,ARI,2015,defense
CB,Josh Norman,CAR,2015,defense
CB,Richard Sherman,SEA,2015,defense
CB,Chris Harris Jr.,DEN,2015,defense
CB,Marcus Peters,KAN,2015,defense
CB,Johnathan Joseph,HOU,2015,defense
S,Tyrann Mathieu,ARI,2015,defense
S,Eric Berry,KAN,2015,defense
S,Earl Thomas,SEA,2015,defense
S,Harrison Smith,MIN,2015,defense
S,Malcolm Jenkins,PHI,2015,defense
S,Reggie Nelson,CIN,2015,defense
S,Charles Woodson,OAK,2015,defense
QB,Matt Ryan,ATL,2016,offense
QB,Tom Brady,NWE,2016,offense
RB,Ezekiel Elliott,DAL,2016,offense
RB,David Johnson,ARI,2016,offense
RB,Le'Veon Bell,PIT,2016,offense
RB,DeMarco Murray,TEN,2016,offense
RB,Jay Ajayi,MIA,2016,offense
FB,Kyle Juszczyk,BAL,2016,offense
FB,James Develin,NWE,2016,offense
WR,Julio Jones,ATL,2016,offense
WR,Antonio Brown,PIT,2016,offense
WR,Mike Evans,TAM,2016,offense
WR,Odell Beckham Jr.,NYG,2016,offense
WR,T.Y. Hilton,IND,2016,offense
TE,Travis Kelce,KAN,2016,offense
TE,Greg Olsen,CAR,2016,offense
LT,David Bakhtiari,GNB,2016,offense
T,Tyron Smith,DAL,2016,offense
T,Trent Williams,WAS,2016,offense
T,Joe Thomas,CLE,2016,offense
T,Donald Penn,OAK,2016,offense
G,Kelechi Osemele,OAK,2016,offense
G,Zack Martin,DAL,2016,offense
G,Marshal Yanda,BAL,2016,offense
G,T.J. Lang,GNB,2016,offense
C,Travis Frederick,DAL,2016,offense
C,Rodney Hudson,OAK,2016,offense
C,Alex Mack,ATL,2016,offense
RG,Kevin Zeitler,CIN,2016,offense
RG,David DeCastro,PIT,2016,offense
RT,Jack Conklin,TEN,2016,offense
RT,Marcus Cannon,NWE,2016,offense
RT,Mitchell Schwartz,KAN,2016,offense
DE,Khalil Mack,OAK,2016,defense
DE,Jadeveon Clowney,HOU,2016,defense
DE,Brandon Graham,PHI,2016,defense
DE,Cliff Avril,SEA,2016,defense
DT,Aaron Donald,LAR,2016,defense
DT,Damon Harrison,NYG,2016,defense
DT,Geno Atkins,CIN,2016,defense
DT,Calais Campbell,ARI,2016,defense
DT,Ndamukong Suh,MIA,2016,defense
DT,Gerald McCoy,TAM,2016,defense
OLB,Von Miller,DEN,2016,defense
OLB,Vic Beasley,ATL,2016,defense
OLB,Lorenzo Alexander,BUF,2016,defense
OLB,Ryan Kerrigan,WAS,2016,defense
MLB,Bobby Wagner,SEA,2016,defense
MLB,Dont'a Hightower,NWE,2016,defense
LB,Luke Kuechly,CAR,2016,defense
LB,Sean Lee,DAL,2016,defense
LB,K.J. Wright,SEA,2016,defense
LB,Paul Posluszny,JAX,2016,defense
LB,Zach Brown,BUF,2016,defense
LB,Zach Orr,BAL,2016,defense
LB,Alec Ogletree,LAR,2016,defense
LB,Lavonte David,TAM,2016,defense
LB,C.J. Mosley,BAL,2016,defense
LB,Whitney Mercilus,HOU,2016,defense
LB,Benardrick McKinney,HOU,2016,defense
CB,Aqib Talib,DEN,2016,defense
CB,Marcus Peters,KAN,2016,defense
CB,Malcolm Butler,NWE,2016,defense
CB,Jackrabbit Jenkins,NYG,2016,defense
CB,Patrick Peterson,ARI,2016,defense
CB,Casey Hayward,SDG,2016,defense
DB,Chris Harris Jr.,DEN,2016,defense
DB,Dominique Rodgers-Cromartie,NYG,2016,defense
S,Landon Collins,NYG,2016,defense
S,Eric Berry,KAN,2016,defense
S,Eric Weddle,BAL,2016,defense
S,Devin McCourty,NWE,2016,defense
S,Ha Ha Clinton-Dix,GNB,2016,defense
S,Kam Chancellor,SEA,2016,defense
EDGE,Cameron Jordan,NOR,2016,defense
EDGE,Cameron Wake,MIA,2016,defense
EDGE,Olivier Vernon,NYG,2016,defense
QB,Tom Brady,NWE,2017,offense
QB,Carson Wentz,PHI,2017,offense
QB,Matt Ryan,ATL,2017,offense
RB,Todd Gurley,LAR,2017,offense
RB,Le'Veon Bell,PIT,2017,offense
RB,Alvin Kamara,NOR,2017,offense
RB,Kareem Hunt,KAN,2017,offense
WR,Antonio Brown,PIT,2017,offense
WR,DeAndre Hopkins,HOU,2017,offense
WR,Julio Jones,ATL,2017,offense
WR,Michael Thomas,NOR,2017,offense
WR,Adam Thielen,MIN,2017,offense
WR,Keenan Allen,LAC,2017,offense
TE,Rob Gronkowski,NWE,2017,offense
TE,Travis Kelce,KAN,2017,offense
TE,Zach Ertz,PHI,2017,offense
TE,Hunter Henry,LAC,2017,offense
LT,David Bakhtiari,GNB,2017,offense
LT,Joe Staley,SFO,2017,offense
OT,Trent Williams,WAS,2017,offense
T,Andrew Whitworth,LAR,2017,offense
T,Lane Johnson,PHI,2017,offense
T,Taylor Lewan,TEN,2017,offense
T,Mitchell Schwartz,KAN,2017,offense
T,Alejandro Villanueva,PIT,2017,offense
LG,Andrew Norwell,CAR,2017,offense
LG,Joel Bitonio,CLE,2017,offense
LG,Rodger Saffold,LAR,2017,offense
G,David DeCastro,PIT,2017,offense
G,Zack Martin,DAL,2017,offense
G,Brandon Brooks,PHI,2017,offense
G,Kelechi Osemele,OAK,2017,offense
C,Jason Kelce,PHI,2017,offense
C,Alex Mack,ATL,2017,offense
C,Maurkice Pouncey,PIT,2017,offense
C,Travis Frederick,DAL,2017,offense
RT,Daryl Williams,CAR,2017,offense
RT,Demar Dotson,TAM,2017,offense
DE,Cameron Jordan,NOR,2017,defense
DE,Calais Campbell,JAX,2017,defense
DE,Everson Griffen,MIN,2017,defense
DE,DeMarcus Lawrence,DAL,2017,defense
DE,Joey Bosa,LAC,2017,defense
DT,Aaron Donald,LAR,2017,defense
DT,Fletcher Cox,PHI,2017,defense
DT,Geno Atkins,CIN,2017,defense
DT,Cameron Heyward,PIT,2017,defense
DT,Malik Jackson,JAX,2017,defense
DT,Ndamukong Suh,MIA,2017,defense
DT,Kawann Short,CAR,2017,defense
OLB,Chandler Jones,ARI,2017,defense
OLB,Von Miller,DEN,2017,defense
OLB,Jadeveon Clowney,HOU,2017,defense
OLB,Ryan Kerrigan,WAS,2017,defense
MLB,Luke Kuechly,CAR,2017,defense
MLB,Ryan Shazier,PIT,2017,defense
LB,Bobby Wagner,SEA,2017,defense
LB,Deion Jones,ATL,2017,defense
LB,Lavonte David,TAM,2017,defense
LB,Telvin Smith,JAX,2017,defense
LB,C.J. Mosley,BAL,2017,defense
CB,Jalen Ramsey,JAX,2017,defense
CB,Xavier Rhodes,MIN,2017,defense
CB,Darius Slay,DET,2017,defense
CB,Casey Hayward,LAC,2017,defense
CB,A.J. Bouye,JAX,2017,defense
CB,Marshon Lattimore,NOR,2017,defense
CB,Tre'Davious White,BUF,2017,defense
DB,Patrick Robinson,PHI,2017,defense
S,Harrison Smith,MIN,2017,defense
S,Kevin Byard,TEN,2017,defense
S,Earl Thomas,SEA,2017,defense
S,Adrian Amos,CHI,2017,defense
S,Eric Weddle,BAL,2017,defense
S,Glover Quin,DET,2017,defense
S,Micah Hyde,BUF,2017,defense
S,Lamarcus Joyner,LAR,2017,defense
QB,Patrick Mahomes,KAN,2018,offense
QB,Drew Brees,NOR,2018,offense
RB,Todd Gurley,LAR,2018,offense
RB,Saquon Barkley,NYG,2018,offense
RB,Ezekiel Elliott,DAL,2018,offense
RB,Phillip Lindsay,DEN,2018,offense
RB,Derrick Henry,TEN,2018,offense
WR,DeAndre Hopkins,HOU,2018,offense
WR,Michael Thomas,NOR,2018,offense
WR,Tyreek Hill,KAN,2018,offense
WR,Julio Jones,ATL,2018,offense
WR,Keenan Allen,LAC,2018,offense
TE,Travis Kelce,KAN,2018,offense
TE,George Kittle,SFO,2018,offense
TE,Zach Ertz,PHI,2018,offense
FLEX,Christian McCaffrey,CAR,2018,offense
FLEX,Alvin Kamara,NOR,2018,offense
LT,Duane Brown,SEA,2018,offense
OT,Tyron Smith,DAL,2018,offense
T,Mitchell Schwartz,KAN,2018,offense
T,David Bakhtiari,GNB,2018,offense
T,Terron Armstead,NOR,2018,offense
T,Taylor Lewan,TEN,2018,offense
LG,Joel Bitonio,CLE,2018,offense
G,Quenton Nelson,IND,2018,offense
G,Zack Martin,DAL,2018,offense
G,Marshal Yanda,BAL,2018,offense
G,Brandon Brooks,PHI,2018,offense
C,Jason Kelce,PHI,2018,offense
C,Maurkice Pouncey,PIT,2018,offense
C,Rodney Hudson,OAK,2018,offense
RG,Shaq Mason,NWE,2018,offense
RT,Ryan Ramczyk,NOR,2018,offense
DE,J.J. Watt,HOU,2018,defense
DE,Danielle Hunter,MIN,2018,defense
DE,Cameron Jordan,NOR,2018,defense
DE,Myles Garrett,CLE,2018,defense
DE,DeMarcus Lawrence,DAL,2018,defense
DE,Trey Flowers,NWE,2018,defense
DT,Fletcher Cox,PHI,2018,defense
DT,Aaron Donald,LAR,2018,defense
DT,Chris Jones,KAN,2018,defense
DT,Geno Atkins,CIN,2018,defense
DT,Akiem Hicks,CHI,2018,defense
OLB,Khalil Mack,CHI,2018,defense
OLB,Von Miller,DEN,2018,defense
OLB,Shaquille Leonard,IND,2018,defense
OLB,Ryan Kerrigan,WAS,2018,defense
MLB,Bobby Wagner,SEA,2018,defense
MLB,C.J. Mosley,BAL,2018,defense
LB,Luke Kuechly,CAR,2018,defense
LB,Leighton Vander Esch,DAL,2018,defense
LB,Zach Brown,WAS,2018,defense
CB,Kyle Fuller,CHI,2018,defense
CB,Stephon Gilmore,NWE,2018,defense
CB,Byron Jones,DAL,2018,defense
CB,Patrick Peterson,ARI,2018,defense
CB,Xavien Howard,MIA,2018,defense
DB,Desmond King,LAC,2018,defense
DB,Kareem Jackson,HOU,2018,defense
S,Eddie Jackson,CHI,2018,defense
S,Derwin James,LAC,2018,defense
S,Jamal Adams,NYJ,2018,defense
S,Harrison Smith,MIN,2018,defense
S,Kevin Byard,TEN,2018,defense
QB,Lamar Jackson,BAL,2019,offense
QB,Russell Wilson,SEA,2019,offense
RB,Christian McCaffrey,CAR,2019,offense
RB,Derrick Henry,TEN,2019,offense
RB,Dalvin Cook,MIN,2019,offense
RB,Nick Chubb,CLE,2019,offense
WR,Michael Thomas,NOR,2019,offense
WR,Julio Jones,ATL,2019,offense
WR,DeAndre Hopkins,HOU,2019,offense
WR,Chris Godwin,TAM,2019,offense
WR,Keenan Allen,LAC,2019,offense
WR,Mike Evans,TAM,2019,offense
TE,George Kittle,SFO,2019,offense
TE,Travis Kelce,KAN,2019,offense
FLEX,Austin Ekeler,LAC,2019,offense
LT,Anthony Castonzo,IND,2019,offense
OT,Laremy Tunsil,HOU,2019,offense
T,Ronnie Stanley,BAL,2019,offense
T,Ryan Ramczyk,NOR,2019,offense
T,David Bakhtiari,GNB,2019,offense
T,Mitchell Schwartz,KAN,2019,offense
LG,Joe Thuney,NWE,2019,offense
LG,Joel Bitonio,CLE,2019,offense
G,Quenton Nelson,IND,2019,offense
G,Zack Martin,DAL,2019,offense
G,Marshal Yanda,BAL,2019,offense
G,Brandon Brooks,PHI,2019,offense
C,Jason Kelce,PHI,2019,offense
C,Rodney Hudson,OAK,2019,offense
C,Ryan Jensen,TAM,2019,offense
DE,Cameron Jordan,NOR,2019,defense
DE,Joey Bosa,LAC,2019,defense
DE,Danielle Hunter,MIN,2019,defense
DE,Za'Darius Smith,GNB,2019,defense
DE,Calais Campbell,JAX,2019,defense
DT,Aaron Donald,LAR,2019,defense
DT,Cameron Heyward,PIT,2019,defense
DT,Grady Jarrett,ATL,2019,defense
DT,Chris Jones,KAN,2019,defense
DT,D.J. Reader,HOU,2019,defense
DT,DeForest Buckner,SFO,2019,defense
OLB,T.J. Watt,PIT,2019,defense
OLB,Chandler Jones,ARI,2019,defense
OLB,Shaquil Barrett,TAM,2019,defense
OLB,Matt Judon,BAL,2019,defense
MLB,Bobby Wagner,SEA,2019,defense
MLB,Shaquille Leonard,IND,2019,defense
LB,Eric Kendricks,MIN,2019,defense
LB,Demario Davis,NOR,2019,defense
LB,Luke Kuechly,CAR,2019,defense
LB,Lavonte David,TAM,2019,defense
CB,Stephon Gilmore,NWE,2019,defense
CB,Tre'Davious White,BUF,2019,defense
CB,Marcus Peters,2TM,2019,defense
CB,Richard Sherman,SFO,2019,defense
CB,Marshon Lattimore,NOR,2019,defense
CB,Quinton Dunbar,WAS,2019,defense
CB,Casey Hayward,LAC,2019,defense
DB,Tyrann Mathieu,KAN,2019,defense
DB,Marlon Humphrey,BAL,2019,defense
DB,Marcus Williams,NOR,2019,defense
S,Jamal Adams,NYJ,2019,defense
S,Minkah Fitzpatrick,2TM,2019,defense
S,Anthony Harris,MIN,2019,defense
S,Justin Simmons,DEN,2019,defense
S,Harrison Smith,MIN,2019,defense
QB,Aaron Rodgers,GNB,2020,offense
QB,Patrick Mahomes,KAN,2020,offense
QB,Josh Allen,BUF,2020,offense
RB,Derrick Henry,TEN,2020,offense
RB,Dalvin Cook,MIN,2020,offense
RB,Alvin Kamara,NOR,2020,offense
RB,Nick Chubb,CLE,2020,offense
WR,Davante Adams,GNB,2020,offense
WR,Stefon Diggs,BUF,2020,offense
WR,Tyreek Hill,KAN,2020,offense
WR,DeAndre Hopkins,ARI,2020,offense
WR,Justin Jefferson,MIN,2020,offense
WR,D.K. Metcalf,SEA,2020,offense
WR,A.J. Brown,TEN,2020,offense
WR,Calvin Ridley,ATL,2020,offense
WR,Cole Beasley,BUF,2020,offense
TE,Travis Kelce,KAN,2020,offense
TE,T.J. Hockenson,DET,2020,offense
TE,Darren Waller,LVR,2020,offense
FLEX,Allen Robinson,CHI,2020,offense
T,Jack Conklin,CLE,2020,offense
T,David Bakhtiari,GNB,2020,offense
T,Trent Williams,SFO,2020,offense
T,Garett Bolles,DEN,2020,offense
G,Quenton Nelson,IND,2020,offense
G,Joel Bitonio,CLE,2020,offense
G,Brandon Scherff,WAS,2020,offense
G,Ali Marpet,TAM,2020,offense
C,Corey Linsley,GNB,2020,offense
C,Jason Kelce,PHI,2020,offense
C,Ryan Kelly,IND,2020,offense
C,Frank Ragnow,DET,2020,offense
RG,Wyatt Teller,CLE,2020,offense
RT,Tristan Wirfs,TAM,2020,offense
RT,Ryan Ramczyk,NOR,2020,offense
DE,Myles Garrett,CLE,2020,defense
DE,Joey Bosa,LAC,2020,defense
DE,Trey Hendrickson,NOR,2020,defense
DE,Cameron Jordan,NOR,2020,defense
DE,Chase Young,WAS,2020,defense
DE,DeMarcus Lawrence,DAL,2020,defense
DT,Aaron Donald,LAR,2020,defense
DT,Chris Jones,KAN,2020,defense
DT,DeForest Buckner,IND,2020,defense
DT,Fletcher Cox,PHI,2020,defense
DT,Cameron Heyward,PIT,2020,defense
OLB,T.J. Watt,PIT,2020,defense
OLB,Khalil Mack,CHI,2020,defense
OLB,Za'Darius Smith,GNB,2020,defense
OLB,Bradley Chubb,DEN,2020,defense
MLB,Fred Warner,SFO,2020,defense
MLB,Shaquille Leonard,IND,2020,defense
LB,Bobby Wagner,SEA,2020,defense
LB,Roquan Smith,CHI,2020,defense
LB,Lavonte David,TAM,2020,defense
LB,Devin White,TAM,2020,defense
LB,Myles Jack,JAX,2020,defense
LB,Eric Kendricks,MIN,2020,defense
LB,Demario Davis,NOR,2020,defense
CB,Xavien Howard,MIA,2020,defense
CB,Jalen Ramsey,LAR,2020,defense
CB,Jaire Alexander,GNB,2020,defense
CB,Tre'Davious White,BUF,2020,defense
CB,James Bradberry,NYG,2020,defense
DB,Bryce Callahan,DEN,2020,defense
DB,Darious Williams,LAR,2020,defense
S,Tyrann Mathieu,KAN,2020,defense
S,Minkah Fitzpatrick,PIT,2020,defense
S,Budda Baker,ARI,2020,defense
S,Jessie Bates III,CIN,2020,defense
S,Adrian Amos,GNB,2020,defense
S,Jamal Adams,SEA,2020,defense
S,Justin Simmons,DEN,2020,defense
S,John Johnson,LAR,2020,defense
QB,Aaron Rodgers,GNB,2021,offense
QB,Tom Brady,TAM,2021,offense
QB,Joe Burrow,CIN,2021,offense
RB,Jonathan Taylor,IND,2021,offense
RB,Nick Chubb,CLE,2021,offense
RB,Joe Mixon,CIN,2021,offense
RB,Antonio Gibson,WAS,2021,offense
RB,Dalvin Cook,MIN,2021,offense
WR,Davante Adams,GNB,2021,offense
WR,Cooper Kupp,LAR,2021,offense
WR,Deebo Samuel,SFO,2021,offense
WR,Ja'Marr Chase,CIN,2021,offense
WR,Tyreek Hill,KAN,2021,offense
WR,Justin Jefferson,MIN,2021,offense
TE,Mark Andrews,BAL,2021,offense
TE,Travis Kelce,KAN,2021,offense
TE,George Kittle,SFO,2021,offense
LT,Jordan Mailata,PHI,2021,offense
T,Tristan Wirfs,TAM,2021,offense
T,Trent Williams,SFO,2021,offense
T,Rashawn Slater,LAC,2021,offense
T,Kolton Miller,LVR,2021,offense
G,Joel Bitonio,CLE,2021,offense
G,Zack Martin,DAL,2021,offense
G,Ali Marpet,TAM,2021,offense
G,Quenton Nelson,IND,2021,offense
C,Jason Kelce,PHI,2021,offense
C,Creed Humphrey,KAN,2021,offense
C,Corey Linsley,LAC,2021,offense
RG,Shaq Mason,NWE,2021,offense
RG,Wyatt Teller,CLE,2021,offense
RT,Lane Johnson,PHI,2021,offense
DL,Jeffery Simmons,TEN,2021,defense
DL,Christian Wilkins,MIA,2021,defense
DE,Myles Garrett,CLE,2021,defense
DE,Nick Bosa,SFO,2021,defense
DE,Maxx Crosby,LVR,2021,defense
DE,Cameron Jordan,NOR,2021,defense
DT,Aaron Donald,LAR,2021,defense
DT,Cameron Heyward,PIT,2021,defense
DT,Chris Jones,KAN,2021,defense
DT,Jonathan Allen,WAS,2021,defense
OLB,Micah Parsons,DAL,2021,defense
OLB,T.J. Watt,PIT,2021,defense
OLB,Robert Quinn,CHI,2021,defense
OLB,Matt Judon,NWE,2021,defense
ILB,De'Vondre Campbell,GNB,2021,defense
MLB,Shaquille Leonard,IND,2021,defense
LB,Demario Davis,NOR,2021,defense
LB,Roquan Smith,CHI,2021,defense
LB,Bobby Wagner,SEA,2021,defense
LB,Lavonte David,TAM,2021,defense
CB,Jalen Ramsey,LAR,2021,defense
CB,Trevon Diggs,DAL,2021,defense
CB,AJ Terrell,ATL,2021,defense
CB,J.C. Jackson,NWE,2021,defense
CB,Xavien Howard,MIA,2021,defense
CB,Chidobe Awuzie,CIN,2021,defense
CB,Darius Slay,PHI,2021,defense
S,Kevin Byard,TEN,2021,defense
S,Jordan Poyer,BUF,2021,defense
S,Derwin James,LAC,2021,defense
S,Antoine Winfield Jr.,TAM,2021,defense
S,Budda Baker,ARI,2021,defense
S,Quandre Diggs,SEA,2021,defense
S,Micah Hyde,BUF,2021,defense
S,Marcus Williams,NOR,2021,defense
S,Justin Simmons,DEN,2021,defense
FLEX-O,Cordarrelle Patterson,ATL,2021,offense
FLEX-D,Jevon Holland,MIA,2021,defense
QB,Patrick Mahomes,KAN,2022,offense
QB,Jalen Hurts,PHI,2022,offense
QB,Joe Burrow,CIN,2022,offense
RB,Josh Jacobs,LVR,2022,offense
RB,Nick Chubb,CLE,2022,offense
RB,Saquon Barkley,NYG,2022,offense
RB,Derrick Henry,TEN,2022,offense
RB,Christian McCaffrey,2TM,2022,offense
FB,Kyle Juszczyk,SFO,2022,offense
WR,Justin Jefferson,MIN,2022,offense
WR,Davante Adams,LVR,2022,offense
WR,Tyreek Hill,MIA,2022,offense
WR,A.J. Brown,PHI,2022,offense
WR,Stefon Diggs,BUF,2022,offense
WR,CeeDee Lamb,DAL,2022,offense
WR,Amon-Ra St. Brown,DET,2022,offense
TE,Travis Kelce,KAN,2022,offense
TE,George Kittle,SFO,2022,offense
LT,Andrew Thomas,NYG,2022,offense
T,Lane Johnson,PHI,2022,offense
T,Trent Williams,SFO,2022,offense
T,Laremy Tunsil,HOU,2022,offense
T,Terron Armstead,MIA,2022,offense
G,Joel Bitonio,CLE,2022,offense
G,Zack Martin,DAL,2022,offense
G,Chris Lindstrom,ATL,2022,offense
G,Joe Thuney,KAN,2022,offense
C,Jason Kelce,PHI,2022,offense
C,Creed Humphrey,KAN,2022,offense
RG,Michael Onwenu,NWE,2022,offense
RT,Tristan Wirfs,TAM,2022,offense
DL,Aaron Donald,LAR,2022,defense
DL,Jeffery Simmons,TEN,2022,defense
DL,Cameron Heyward,PIT,2022,defense
DE,Nick Bosa,SFO,2022,defense
DE,Myles Garrett,CLE,2022,defense
DE,Maxx Crosby,LVR,2022,defense
DE,Brian Burns,CAR,2022,defense
DT,Chris Jones,KAN,2022,defense
DT,Dexter Lawrence,NYG,2022,defense
DT,Quinnen Williams,NYJ,2022,defense
DT,Javon Hargrave,PHI,2022,defense
DT,Daron Payne,WAS,2022,defense
OLB,Micah Parsons,DAL,2022,defense
OLB,Haason Reddick,PHI,2022,defense
OLB,Matt Judon,NWE,2022,defense
OLB,Matt Milano,BUF,2022,defense
OLB,Alex Highsmith,PIT,2022,defense
MLB,Fred Warner,SFO,2022,defense
MLB,Roquan Smith,2TM,2022,defense
LB,Bobby Wagner,LAR,2022,defense
LB,T.J. Edwards,PHI,2022,defense
LB,C.J. Mosley,NYJ,2022,defense
LB,Lavonte David,TAM,2022,defense
LB,Demario Davis,NOR,2022,defense
CB,Patrick Surtain II,DEN,2022,defense
CB,Sauce Gardner,NYJ,2022,defense
CB,Darius Slay,PHI,2022,defense
CB,Jaire Alexander,GNB,2022,defense
CB,James Bradberry,PHI,2022,defense
CB,Patrick Peterson,MIN,2022,defense
DB,Jalen Ramsey,LAR,2022,defense
S,Minkah Fitzpatrick,PIT,2022,defense
S,Derwin James,LAC,2022,defense
S,Talanoa Hufanga,SFO,2022,defense
S,Ryan Neal,SEA,2022,defense
S,C.J. Gardner-Johnson,PHI,2022,defense
S,Justin Simmons,DEN,2022,defense
S,Tyrann Mathieu,NOR,2022,defense
S,Kamren Curl,WAS,2022,defense
QB,Lamar Jackson,BAL,2023,offense
QB,Dak Prescott,DAL,2023,offense
QB,Josh Allen,BUF,2023,offense
RB,Christian McCaffrey,SFO,2023,offense
RB,Kyren Williams,LAR,2023,offense
RB,Raheem Mostert,MIA,2023,offense
RB,Derrick Henry,TEN,2023,offense
FB,Kyle Juszczyk,SFO,2023,offense
FB,Michael Burton,DEN,2023,offense
FB,Patrick Ricard,BAL,2023,offense
FB,Hunter Luepke,DAL,2023,offense
WR,CeeDee Lamb,DAL,2023,offense
WR,Tyreek Hill,MIA,2023,offense
WR,Amon-Ra St. Brown,DET,2023,offense
WR,Brandon Aiyuk,SFO,2023,offense
WR,Nico Collins,HOU,2023,offense
WR,A.J. Brown,PHI,2023,offense
WR,Puka Nacua,LAR,2023,offense
WR,D.J. Moore,CHI,2023,offense
WR,Mike Evans,TAM,2023,offense
TE,George Kittle,SFO,2023,offense
TE,Travis Kelce,KAN,2023,offense
TE,T.J. Hockenson,MIN,2023,offense
TE,Sam LaPorta,DET,2023,offense
LT,Tyron Smith,DAL,2023,offense
LT,Jordan Mailata,PHI,2023,offense
T,Trent Williams,SFO,2023,offense
T,Penei Sewell,DET,2023,offense
T,Dion Dawkins,BUF,2023,offense
T,Laremy Tunsil,HOU,2023,offense
LG,Tyler Smith,DAL,2023,offense
G,Joe Thuney,KAN,2023,offense
G,Zack Martin,DAL,2023,offense
G,Chris Lindstrom,ATL,2023,offense
G,Joel Bitonio,CLE,2023,offense
C,Jason Kelce,PHI,2023,offense
C,Frank Ragnow,DET,2023,offense
C,Creed Humphrey,KAN,2023,offense
RG,Kevin Dotson,LAR,2023,offense
RT,Lane Johnson,PHI,2023,offense
DL,Derrick Brown,CAR,2023,defense
DL,Nnamdi Madubuike,BAL,2023,defense
DE,Myles Garrett,CLE,2023,defense
DE,Maxx Crosby,LVR,2023,defense
DE,Trey Hendrickson,CIN,2023,defense
DE,Nick Bosa,SFO,2023,defense
DE,Aidan Hutchinson,DET,2023,defense
DT,Aaron Donald,LAR,2023,defense
DT,Chris Jones,KAN,2023,defense
DT,Dexter Lawrence,NYG,2023,defense
DT,Quinnen Williams,NYJ,2023,defense
OLB,Micah Parsons,DAL,2023,defense
OLB,T.J. Watt,PIT,2023,defense
OLB,Danielle Hunter,MIN,2023,defense
OLB,Josh Hines-Allen,JAX,2023,defense
MLB,Fred Warner,SFO,2023,defense
MLB,Roquan Smith,BAL,2023,defense
LB,Demario Davis,NOR,2023,defense
LB,Quincy Williams,NYJ,2023,defense
LB,Bobby Wagner,SEA,2023,defense
LB,Patrick Queen,BAL,2023,defense
LB,C.J. Mosley,NYJ,2023,defense
CB,DaRon Bland,DAL,2023,defense
CB,Sauce Gardner,NYJ,2023,defense
CB,Jaylon Johnson,CHI,2023,defense
CB,Patrick Surtain II,DEN,2023,defense
CB,Trent McDuffie,KAN,2023,defense
CB,Devon Witherspoon,SEA,2023,defense
CB,Kendall Fuller,WAS,2023,defense
CB,Charvarius Ward,SFO,2023,defense
CB,Taron Johnson,BUF,2023,defense
S,Jessie Bates III,ATL,2023,defense
S,Kyle Hamilton,BAL,2023,defense
S,Antoine Winfield Jr.,TAM,2023,defense
S,Jevon Holland,MIA,2023,defense
S,Justin Simmons,DEN,2023,defense
QB,Lamar Jackson,BAL,2024,offense
QB,Jared Goff,DET,2024,offense
QB,Josh Allen,BUF,2024,offense
QB,Joe Burrow,CIN,2024,offense
RB,Saquon Barkley,PHI,2024,offense
RB,Derrick Henry,BAL,2024,offense
RB,Jahmyr Gibbs,DET,2024,offense
FB,Kyle Juszczyk,SFO,2024,offense
FB,Patrick Ricard,BAL,2024,offense
WR,Justin Jefferson,MIN,2024,offense
WR,Ja'Marr Chase,CIN,2024,offense
WR,Amon-Ra St. Brown,DET,2024,offense
WR,Brian Thomas,JAX,2024,offense
WR,A.J. Brown,PHI,2024,offense
WR,Nico Collins,HOU,2024,offense
WR,CeeDee Lamb,DAL,2024,offense
WR,Terry McLaurin,WAS,2024,offense
TE,Brock Bowers,LVR,2024,offense
TE,George Kittle,SFO,2024,offense
FLEX,Puka Nacua,LAR,2024,offense
FLEX,Drake London,ATL,2024,offense
LT,Tristan Wirfs,TAM,2024,offense
LT,Jordan Mailata,PHI,2024,offense
T,Penei Sewell,DET,2024,offense
T,Lane Johnson,PHI,2024,offense
T,Rashawn Slater,LAC,2024,offense
T,Dion Dawkins,BUF,2024,offense
LG,Quenton Nelson,IND,2024,offense
G,Joe Thuney,KAN,2024,offense
G,Chris Lindstrom,ATL,2024,offense
G,Quinn Meinerz,DEN,2024,offense
G,Landon Dickerson,PHI,2024,offense
C,Creed Humphrey,KAN,2024,offense
C,Frank Ragnow,DET,2024,offense
RT,Zach Tom,GNB,2024,offense
DL,Zach Allen,DEN,2024,defense
DE,Myles Garrett,CLE,2024,defense
DE,Trey Hendrickson,CIN,2024,defense
DE,Micah Parsons,DAL,2024,defense
DE,Nick Bosa,SFO,2024,defense
DT,Chris Jones,KAN,2024,defense
DT,Cameron Heyward,PIT,2024,defense
DT,Dexter Lawrence,NYG,2024,defense
DT,Jalen Carter,PHI,2024,defense
DT,Leonard Williams,SEA,2024,defense
OLB,T.J. Watt,PIT,2024,defense
OLB,Nik Bonitto,DEN,2024,defense
OLB,Andrew Van Ginkel,MIN,2024,defense
OLB,Jonathan Greenard,MIN,2024,defense
MLB,Fred Warner,SFO,2024,defense
MLB,Roquan Smith,BAL,2024,defense
MLB,Zack Baun,PHI,2024,defense
LB,Bobby Wagner,WAS,2024,defense
LB,Zaire Franklin,IND,2024,defense
LB,Frankie Luvu,WAS,2024,defense
