game_id,stadium_id,kickoff_utc,station_id,station_name,temp_f,wind_mph,precip_in,humidity_pct,source
2014_05_MIN_GB,GNB00,2014-10-03T00:25:00,72645,Austin Straubel International  Airport,63.0,3.4,0.01,93.0,meteostat
2014_05_CHI_CAR,CAR00,2014-10-05T17:00:00,72314,Charlotte/Douglas International Airport,61.0,5.8,0.0,34.0,meteostat
2014_05_BAL_IND,IND00,2014-10-05T17:00:00,72438,Indianapolis International  Airport,54.0,18.3,0.0,41.0,meteostat
2014_05_PIT_JAX,JAX00,2014-10-05T17:00:00,74782,Jacksonville / Hatch Road Mobile Home Park,70.0,10.3,0.0,32.0,meteostat
2014_05_ATL_NYG,NYC01,2014-10-05T17:00:00,KTEB0,Teterboro,57.9,11.4,0.0,37.0,meteostat
2014_05_STL_PHI,PHI00,2014-10-05T17:00:00,72408,Philadelphia International Airport,57.9,12.7,0.0,40.0,meteostat
2014_05_CLE_TEN,NAS00,2014-10-05T17:00:00,72327,Nashville Airport,64.0,10.3,0.0,35.0,meteostat
2014_05_ARI_DEN,DEN00,2014-10-05T20:05:00,KBKF0,Denver / Aurora / Side Creek,71.1,10.3,,22.0,meteostat
2014_05_NYJ_SD,SDG00,2014-10-05T20:25:00,72290,San Diego International Airport,87.1,5.8,0.0,18.0,meteostat
2014_05_KC_SF,SFO01,2014-10-05T20:25:00,KSJC0,San Jose / Santa Clara Trailer Village,82.9,3.4,0.0,22.0,meteostat
2014_05_CIN_NE,BOS00,2014-10-06T00:30:00,KOWD0,Norwood,43.0,0.0,0.0,86.0,meteostat
2014_05_SEA_WAS,WAS00,2014-10-07T00:30:00,74594,Camp Springs / Andrews Air Force Base,63.3,11.4,,57.0,meteostat
2014_06_NE_BUF,BUF00,2014-10-12T17:00:00,72528,Buffalo Airport,55.0,0.0,0.0,43.0,meteostat
2014_06_CAR_CIN,CIN00,2014-10-12T17:00:00,KLUK0,Cincinnati / Columbia,59.0,5.8,0.0,62.0,meteostat
2014_06_PIT_CLE,CLE00,2014-10-12T17:00:00,KBKL0,Brookville / Old Chinatown,59.0,10.3,0.0,42.0,meteostat
2014_06_GB_MIA,MIA00,2014-10-12T17:00:00,KHWO0,Hollywood / Pembroke Pines,87.1,13.9,0.0,61.0,meteostat
2014_06_DET_MIN,MIN98,2014-10-12T17:00:00,KSTP0,Saint Paul,57.9,16.1,0.0,53.0,meteostat
2014_06_DEN_NYJ,NYC01,2014-10-12T17:00:00,KTEB0,Teterboro,61.0,0.0,0.0,38.0,meteostat
2014_06_BAL_TB,TAM00,2014-10-12T17:00:00,72211,Tampa International Airport,84.9,3.4,0.0,53.0,meteostat
2014_06_JAX_TEN,NAS00,2014-10-12T17:00:00,72327,Nashville Airport,68.0,5.8,0.0,87.0,meteostat
2014_06_SD_OAK,OAK00,2014-10-12T20:05:00,72493,Metro Oakland International  Airport,81.0,11.4,0.0,23.0,meteostat
2014_06_DAL_SEA,SEA00,2014-10-12T20:25:00,KBFI0,Seattle / South Park,64.0,7.0,0.0,68.0,meteostat
2014_06_NYG_PHI,PHI00,2014-10-13T00:30:00,72408,Philadelphia International Airport,57.0,5.8,0.0,69.0,meteostat
2014_07_NYJ_NE,BOS00,2014-10-17T00:25:00,KOWD0,Norwood,64.9,5.8,0.04,90.0,meteostat
2014_07_ATL_BAL,BAL00,2014-10-19T17:00:00,KDMH0,Baltimore,53.1,,,38.0,meteostat
2014_07_MIN_BUF,BUF00,2014-10-19T17:00:00,72528,Buffalo Airport,43.0,10.3,0.0,55.0,meteostat
2014_07_MIA_CHI,CHI98,2014-10-19T17:00:00,72534,Chicago Midway Airport,52.0,9.2,0.0,59.0,meteostat
2014_07_CAR_GB,GNB00,2014-10-19T17:00:00,72645,Austin Straubel International  Airport,51.1,8.1,0.0,68.0,meteostat
2014_07_CIN_IND,IND00,2014-10-19T17:00:00,72438,Indianapolis International  Airport,50.0,3.4,0.0,61.0,meteostat
2014_07_CLE_JAX,JAX00,2014-10-19T17:00:00,74782,Jacksonville / Hatch Road Mobile Home Park,75.9,13.9,0.0,50.0,meteostat
2014_07_TEN_WAS,WAS00,2014-10-19T17:00:00,KCGS0,College Park / Lakeland,55.4,12.7,,38.0,meteostat
2014_07_KC_SD,SDG00,2014-10-19T20:05:00,72290,San Diego International Airport,73.0,8.1,0.0,64.0,meteostat
