pff_id,gsis_id,player,team,nfl_seasons,blend,lambda,NFL_RB,college_rb,Talent_RB,score,rank_rb,N_career,z_grades_run,neff_grades_run,r_grades_run,z_RYOE,neff_RYOE,r_RYOE,z_yco_attempt,neff_yco_attempt,r_yco_attempt,z_MTF_rush,neff_MTF_rush,r_MTF_rush,z_success_rate,neff_success_rate,r_success_rate,z_breakaway_pct,neff_breakaway_pct,r_breakaway_pct,z_EPA_rush,neff_EPA_rush,r_EPA_rush,z_grades_pass_route,neff_grades_pass_route,r_grades_pass_route,z_yprr,neff_yprr,r_yprr,z_receiving_EPA_target,neff_receiving_EPA_target,r_receiving_EPA_target,z_YAC_reception,neff_YAC_reception,r_YAC_reception,z_drop_rate,neff_drop_rate,r_drop_rate
97636,00-0038120,Breece Hall,NYJ,4,False,1.0,0.20010097434503296,0.680513822453727,0.20010097434503296,75.8,21,675.0,0.6177,425.4,0.2667,0.2992,425.4,0.1182,0.1129,425.4,0.4846,-0.2454,425.4,0.6107,-0.1878,425.4,0.4199,1.064,425.4,0.6429,-0.3311,425.4,0.382,0.4109,568.8,0.5172,0.835,568.8,0.4303,0.3184,108.5,0.5609,0.2755,90.3,0.5823,-0.0672,108.5,0.7634
78050,00-0036328,Antonio Gibson,NE,6,False,1.0,0.1963550197267392,,0.1963550197267392,75.6,22,185.0,0.0575,85.7,0.0682,0.7343,66.0,0.0204,1.445,85.7,0.1592,1.7637,85.7,0.24,-0.556,85.7,0.1272,0.2801,85.7,0.2661,-0.0825,85.7,0.1107,0.2176,186.4,0.2599,0.3695,186.4,0.1984,0.1582,33.2,0.2811,0.2408,27.2,0.2954,0.0265,33.2,0.4968
98689,00-0036875,Rhamondre Stevenson,NE,5,False,1.0,0.19208996789657518,0.7691399096375513,0.19208996789657518,75.4,23,551.0,0.0847,349.0,0.2298,0.9286,349.0,0.0991,0.3472,349.0,0.4355,0.6915,349.0,0.5627,-0.5375,349.0,0.3726,0.1706,349.0,0.5963,-0.8133,349.0,0.3365,0.2804,570.1,0.5178,0.3384,570.1,0.4309,0.8477,88.0,0.5089,0.1544,73.6,0.5319,0.4132,88.0,0.7235
97630,00-0039165,Zach Charbonnet,SEA,3,True,0.94627622780724,0.15124831597137864,0.9221383812987524,0.19266343822668835,75.4,23,432.0,1.3903,295.9,0.2019,0.1293,295.9,0.0853,0.4884,295.9,0.3954,0.8393,295.9,0.5218,0.1031,295.9,0.3349,0.333,295.9,0.5561,0.3384,295.9,0.3007,-0.0338,441.7,0.4541,-0.3568,441.7,0.3697,-0.1309,61.0,0.4179,-0.4179,53.1,0.4503,0.4142,61.0,0.6445
11917,00-0033955,Jeremy McNichols,WAS,9,False,1.0,0.18674091316109978,0.7460987751003045,0.18674091316109978,75.1,25,104.0,0.7308,77.0,0.0618,,,,1.5629,77.0,0.1454,0.9342,77.0,0.2211,0.8679,77.0,0.1158,1.1531,77.0,0.2458,1.2777,77.0,0.1006,-0.2831,269.8,0.3369,-0.4067,269.8,0.2638,-0.0702,36.5,0.3006,-0.0652,29.9,0.3161,0.4542,36.5,0.5206
99622,00-0040730,RJ Harvey,DEN,1,True,0.8705915023604553,0.0011146326992664008,0.9516982996074934,0.1241282369145494,71.9,26,165.0,-0.633,165.0,0.1236,-1.8003,165.0,0.0494,-0.646,165.0,0.2672,-0.0129,165.0,0.3782,-0.8994,165.0,0.2192,0.0607,165.0,0.4112,-1.3119,165.0,0.1934,0.5692,303.0,0.3633,1.0403,303.0,0.2869,1.0217,68.0,0.4447,-0.2041,56.0,0.4636,-0.2294,68.0,0.6692
77787,00-0038597,Chase Brown,CIN,3,True,0.953682536527184,0.1038719191738094,0.3238113470212871,0.114058955589367,71.4,27,505.0,0.1805,371.3,0.2409,0.033,358.0,0.1014,0.0829,371.3,0.4507,0.2014,371.3,0.5778,-0.1691,371.3,0.3871,0.0406,371.3,0.6111,0.3548,371.3,0.3504,0.8726,597.0,0.5293,0.3214,597.0,0.4422,-0.0867,125.2,0.5959,-0.7287,102.9,0.6137,0.1176,125.2,0.7883
102382,00-0040242,Jacory Croskey-Merritt,WAS,1,True,0.8770772883144289,0.007329246547237214,0.8094314842299685,0.10592582865226302,70.9,28,175.0,0.1019,175.0,0.1301,0.8429,175.0,0.0523,0.8255,175.0,0.2789,0.1137,175.0,0.3922,0.3618,175.0,0.2294,0.1682,175.0,0.4255,0.1443,175.0,0.2027,-1.3045,140.0,0.2087,-1.1964,140.0,0.1568,0.4173,11.0,0.1147,0.2785,9.0,0.122,0.9707,11.0,0.2466
9783,00-0031687,Raheem Mostert,MIA,11,False,1.0,0.09188629546894024,-0.0842990569244948,0.09188629546894024,70.2,29,302.0,0.9525,112.4,0.0877,0.7749,65.6,0.0203,0.2836,112.4,0.199,0.6626,112.4,0.293,0.1874,112.4,0.1605,0.4576,112.4,0.3224,-0.1151,112.4,0.1404,-0.4455,168.7,0.2412,-0.3702,168.7,0.1831,0.6156,20.9,0.1977,-0.1392,18.3,0.2204,0.0168,20.9,0.3837
83639,00-0037263,Tyler Allgeier,ATL,4,False,1.0,0.0915616599407452,,0.0915616599407452,70.2,29,466.0,0.255,274.6,0.1901,-0.4803,274.6,0.0797,0.1611,274.6,0.3777,0.4098,274.6,0.5031,0.3066,274.6,0.3185,-0.3708,274.6,0.5375,0.0073,274.6,0.2852,0.1624,190.8,0.2644,0.0696,190.8,0.2022,0.6874,29.8,0.2598,0.3005,26.6,0.291,0.3236,29.8,0.47
145059,00-0040734,TreVeyon Henderson,NE,1,True,0.8954219030520646,0.01698489515702516,0.6886435926760716,0.08722568354209602,70.0,31,210.0,-0.2402,210.0,0.1522,0.9488,210.0,0.0621,0.3727,210.0,0.317,-0.8086,210.0,0.4364,-0.2742,210.0,0.2632,1.3244,210.0,0.4706,0.4278,210.0,0.2338,-0.2307,276.0,0.342,-0.1395,276.0,0.2682,0.0491,47.0,0.3563,-0.5419,40.0,0.3817,0.2682,47.0,0.583
57488,00-0036223,Jonathan Taylor,IND,6,False,1.0,0.08795909809742475,1.167364808216157,0.08795909809742475,70.0,31,795.0,0.4335,540.8,0.3161,0.5376,540.8,0.1456,0.4014,540.8,0.5445,-0.1271,540.8,0.666,0.274,540.8,0.4792,0.8976,540.8,0.6959,0.79,540.8,0.44,-0.8771,614.3,0.5364,-0.3839,614.3,0.4493,0.3223,77.8,0.478,0.5286,61.6,0.4875,-0.3579,77.8,0.6982
83689,00-0038611,Chris Rodriguez Jr.,WAS,3,True,0.8692113387594723,0.005870528698818404,0.5970868431095904,0.08319491896416216,69.8,33,163.0,0.4632,127.4,0.0982,0.6698,112.0,0.0341,0.8153,127.4,0.2197,0.4184,127.4,0.3196,0.9721,127.4,0.1782,-0.2879,127.4,0.3504,1.1038,127.4,0.1562,-0.544,96.8,0.1542,-1.5294,96.8,0.1139,-2.5572,4.6,0.0514,0.4743,3.6,0.0527,0.9411,4.6,0.1205
123974,00-0038555,Tank Bigsby,PHI,3,True,0.9207617752082978,0.043577203837329666,0.4962523422860479,0.07944637821534412,69.6,34,285.0,0.7079,174.5,0.1298,0.8052,92.4,0.0283,1.0939,174.5,0.2784,1.5466,174.5,0.3915,0.3735,174.5,0.229,0.4155,174.5,0.4249,0.9316,174.5,0.2023,-1.7176,136.7,0.2048,-1.151,136.7,0.1537,-1.3476,11.3,0.1171,1.2608,7.2,0.0994,-2.8825,11.3,0.2509
57121,00-0036893,Najee Harris,PIT,5,False,1.0,0.07202254979695533,1.1681874360291242,0.07202254979695533,69.2,35,536.0,0.3976,228.7,0.1635,-0.1774,228.7,0.0673,-0.0287,228.7,0.3358,0.5544,228.7,0.4575,-0.4048,228.7,0.2801,0.2691,228.7,0.4919,0.0047,228.7,0.2495,-0.0551,195.6,0.2692,0.3596,195.6,0.2062,0.2628,38.1,0.31,0.2961,30.8,0.3224,-0.5096,38.1,0.5315
131633,00-0037256,Rachaad White,TB,4,False,1.0,0.0679535278239297,0.8452746205956195,0.0679535278239297,69.0,36,576.0,0.5591,302.2,0.2053,-0.6742,302.2,0.087,-0.1848,302.2,0.4004,-0.2657,302.2,0.527,0.5292,302.2,0.3396,-0.473,302.2,0.5612,0.4409,302.2,0.3051,0.3839,626.5,0.5413,-0.1009,626.5,0.4541,0.3567,96.9,0.5331,0.4102,90.0,0.5815,0.6763,96.9,0.7425
41668,00-0036906,Khalil Herbert,CHI,5,False,1.0,0.06186147974474996,0.5636029959308626,0.06186147974474996,68.7,37,132.0,0.564,39.9,0.033,0.2607,39.9,0.0124,0.1818,39.9,0.0811,1.1704,39.9,0.1283,-0.2248,39.9,0.0636,0.7803,39.9,0.1446,0.6147,39.9,0.0548,0.4426,44.2,0.0768,-0.286,44.2,0.0554,-1.0393,7.9,0.0848,-0.6872,6.1,0.0854,0.7451,7.9,0.1896
77737,00-0036919,Kenneth Gainwell,PIT,5,False,1.0,0.0583996770853681,0.9021305509191756,0.0583996770853681,68.5,38,296.0,-0.7512,195.0,0.1429,0.4599,120.0,0.0365,-0.1328,195.0,0.3012,-0.2038,195.0,0.4183,-0.1031,195.0,0.2491,0.0881,195.0,0.4522,0.0041,195.0,0.2208,0.5477,499.4,0.4847,0.7588,499.4,0.3988,0.1566,112.2,0.5693,-0.5011,97.1,0.5998,0.4474,112.2,0.7695
11869,00-0033526,Samaje Perine,CIN,9,False,1.0,0.044991849998889104,0.4870457467677341,0.044991849998889104,67.8,39,137.0,-0.3746,100.0,0.0788,,,,0.2631,100.0,0.1811,0.0436,100.0,0.2694,2.1099,100.0,0.1454,-0.7815,100.0,0.2975,0.3371,100.0,0.1269,0.3467,248.9,0.3192,-0.4348,248.9,0.2485,0.0512,36.0,0.2979,-0.2845,32.1,0.3314,0.3193,36.0,0.5174
