gsis_id,display_name,position,score,ci_lo,ci_hi,w,rank_pos,college_share,flag,z_brkTkl_ru,w_brkTkl_ru,z_yac_oe_rec,w_yac_oe_rec,z_explosive,w_explosive,z_YACcon,w_YACcon,z_brkTkl_rec,w_brkTkl_rec,z_success,w_success,z_cp,w_cp,z_yac_oe,w_yac_oe,z_cpoe,w_cpoe,z_bad,w_bad,z_deep,w_deep,z_qsucc,w_qsucc,z_q10,w_q10
00-0038935,Brenton Strange,TE,73.900000,67.200000,80.700000,0.489400,12,0.000000,,,,,,,,,,0.011500,0.157300,,,,,1.176700,0.668200,,,,,,,,,,
00-0037809,Chig Okonkwo,TE,73.900000,68.500000,79.200000,0.604200,13,0.000000,,,,,,,,,,3.132000,0.252600,,,,,0.450500,0.793500,,,,,,,,,,
00-0037112,Jake Tonges,TE,73.100000,63.900000,82.300000,0.340000,14,0.000000,†,,,,,,,,,0.169000,0.081500,,,,,1.390600,0.479200,,,,,,,,,,
00-0040663,Harold Fannin Jr.,TE,72.100000,65.000000,79.100000,0.465200,15,0.000000,,,,,,,,,,3.310100,0.137700,,,,,0.461100,0.641500,,,,,,,,,,
00-0030506,Travis Kelce,TE,71.900000,68.500000,75.400000,0.782400,16,0.000000,,,,,,,,,,2.688900,0.520700,,,,,-0.246300,0.923400,,,,,,,,,,
00-0040126,Colston Loveland,TE,71.300000,64.100000,78.500000,0.457400,17,0.000000,,,,,,,,,,-1.811800,0.134400,,,,,0.897600,0.631400,,,,,,,,,,
00-0036244,Colby Parkinson,TE,71.000000,65.000000,77.000000,0.547900,18,0.000000,,,,,,,,,,0.026200,0.201800,,,,,0.542300,0.734200,,,,,,,,,,
00-0038933,Dalton Kincaid,TE,68.300000,62.800000,73.800000,0.591400,19,0.000000,,,,,,,,,,2.860500,0.241200,,,,,-0.425200,0.780100,,,,,,,,,,
00-0034383,Dalton Schultz,TE,68.100000,63.800000,72.400000,0.702500,20,0.000000,,,,,,,,,,3.320300,0.384600,,,,,-0.772100,0.873700,,,,,,,,,,
00-0039793,AJ Barner,TE,65.700000,58.900000,72.500000,0.486900,21,0.000000,,,,,,,,,,-0.877600,0.154800,,,,,-0.342500,0.665800,,,,,,,,,,
00-0040128,Tyler Warren,TE,65.400000,58.400000,72.300000,0.475700,22,0.000000,,,,,,,,,,-0.380500,0.144300,,,,,-0.483500,0.654200,,,,,,,,,,
00-0036040,Juwan Johnson,TE,63.800000,58.700000,69.000000,0.623300,23,0.000000,,,,,,,,,,0.965800,0.277500,,,,,-0.857100,0.809500,,,,,,,,,,
00-0040737,Terrance Ferguson,TE,63.800000,47.500000,80.100000,0.141400,24,0.000000,‡,,,,,,,,,-6.864100,0.025900,,,,,-2.248300,0.203600,,,,,,,,,,
00-0040736,Mason Taylor,TE,63.300000,54.700000,71.900000,0.371500,25,0.000000,†,,,,,,,,,-5.452400,0.088900,,,,,-0.688700,0.523600,,,,,,,,,,
00-0039338,Brock Bowers,TE,62.900000,57.600000,68.300000,0.604600,26,0.000000,,,,,,,,,,-2.592200,0.256800,,,,,-0.389900,0.791900,,,,,,,,,,
00-0040189,Oronde Gadsden II,TE,61.900000,53.800000,70.000000,0.400900,27,0.000000,,,,,,,,,,-5.093700,0.103400,,,,,-0.923400,0.561000,,,,,,,,,,
00-0040584,Gunnar Helm,TE,59.800000,51.200000,68.400000,0.371500,28,0.000000,†,,,,,,,,,-6.578500,0.088900,,,,,-1.466100,0.523600,,,,,,,,,,
00-0036970,Kyle Pitts,TE,54.300000,49.500000,59.100000,0.654300,29,0.000000,,,,,,,,,,-6.052200,0.315700,,,,,-0.931500,0.836700,,,,,,,,,,
00-0039847,Theo Johnson,TE,50.100000,42.900000,57.300000,0.456100,30,0.000000,,,,,,,,,,1.079000,0.132300,,,,,-3.869700,0.630500,,,,,,,,,,
00-0033090,Hunter Henry,TE,45.000000,40.400000,49.600000,0.673200,31,0.000000,,,,,,,,,,-6.911000,0.342900,,,,,-2.071500,0.851000,,,,,,,,,,
00-0039851,Drake Maye,QB,97.000000,88.400000,99.000000,0.622800,1,0.000000,,,,,,,,,,,,,,,,,,1.926000,0.674800,0.822300,0.567700,0.784600,0.388500,0.550600,0.845700,0.624500,0.777700
00-0033077,Dak Prescott,QB,93.400000,87.300000,99.000000,0.772300,2,0.000000,,,,,,,,,,,,,,,,,,1.122500,0.851700,0.934100,0.782400,0.844600,0.568100,0.389300,0.863100,0.090600,0.800900
00-0036442,Joe Burrow,QB,92.600000,85.800000,99.000000,0.728200,3,0.000000,,,,,,,,,,,,,,,,,,1.177500,0.826700,1.448200,0.749600,0.485300,0.478500,0.134700,0.827500,-0.052600,0.753800
00-0036389,Jalen Hurts,QB,90.200000,84.100000,96.400000,0.765900,4,0.000000,,,,,,,,,,,,,,,,,,1.077400,0.813000,0.704500,0.733500,0.518400,0.547700,0.747200,0.946400,0.072500,0.918500
00-0037834,Brock Purdy,QB,90.200000,82.200000,98.200000,0.660600,5,0.000000,,,,,,,,,,,,,,,,,,1.056400,0.740900,1.002700,0.641500,0.924500,0.411100,0.679800,0.825100,0.179100,0.750600
00-0035710,Daniel Jones,QB,86.000000,78.900000,93.000000,0.714900,6,0.000000,,,,,,,,,,,,,,,,,,0.712200,0.801000,0.982900,0.718600,0.226600,0.410900,0.839900,0.893900,0.349900,0.843100
00-0036355,Justin Herbert,QB,85.800000,79.900000,91.700000,0.781600,7,0.000000,,,,,,,,,,,,,,,,,,0.820600,0.854100,0.796500,0.784800,0.338000,0.570700,0.526400,0.891800,0.278100,0.840200
00-0034857,Josh Allen,QB,82.800000,77.500000,88.000000,0.817900,8,0.000000,,,,,,,,,,,,,,,,,,0.479400,0.861700,0.374900,0.795200,0.429200,0.649300,1.052000,0.946600,0.379000,0.918800
00-0035228,Kyler Murray,QB,80.600000,74.000000,87.200000,0.740900,9,0.000000,,,,,,,,,,,,,,,,,,0.511500,0.812300,0.950100,0.730000,0.114700,0.497900,0.439500,0.896400,0.714700,0.846700
00-0033119,Jacoby Brissett,QB,76.700000,68.300000,85.100000,0.638000,10,0.000000,,,,,,,,,,,,,,,,,,0.729500,0.742300,0.240100,0.647300,0.145400,0.353900,0.903000,0.777500,-0.008900,0.690300
00-0034869,Sam Darnold,QB,76.600000,69.900000,83.400000,0.733100,11,0.000000,,,,,,,,,,,,,,,,,,0.690600,0.810300,0.425300,0.730000,0.649100,0.520300,0.086500,0.849300,-0.071000,0.782400
00-0033873,Patrick Mahomes,QB,75.200000,69.800000,80.600000,0.810500,12,0.000000,,,,,,,,,,,,,,,,,,0.109100,0.874100,0.361200,0.812400,0.451700,0.620600,0.662100,0.912200,0.884000,0.868900
00-0039910,Jayden Daniels,QB,75.100000,65.200000,84.900000,0.562000,13,0.000000,,,,,,,,,,,,,,,,,,0.330200,0.609700,0.850700,0.498100,0.571600,0.255300,0.707900,0.866400,0.288700,0.805400
00-0034796,Lamar Jackson,QB,73.000000,66.900000,79.100000,0.770800,14,0.000000,,,,,,,,,,,,,,,,,,0.226000,0.816200,0.139800,0.737900,0.336400,0.557900,0.595300,0.948700,0.818000,0.921900
00-0036264,Jordan Love,QB,72.200000,64.700000,79.800000,0.684700,15,0.000000,,,,,,,,,,,,,,,,,,0.555100,0.763200,0.272400,0.674800,0.521300,0.504600,0.068700,0.780200,0.165300,0.693600
00-0040691,Jaxson Dart,QB,71.500000,58.900000,84.100000,0.439700,16,0.000000,,,,,,,,,,,,,,,,,,0.140000,0.472100,0.618800,0.366800,0.054500,0.195000,1.180300,0.726800,0.691100,0.629300
00-0034855,Baker Mayfield,QB,71.300000,65.500000,77.200000,0.786100,17,0.000000,,,,,,,,,,,,,,,,,,0.207600,0.859000,0.538500,0.791400,0.209200,0.595600,0.211800,0.876100,0.499900,0.818600
